"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"8 STAR ALASKA LLC / GAS TREATMENT PLANT (GTP)","AK0000000218500146","AK","110070604439","486210",70.3199,-148.557,,"STF","State Government"
"8 STAR ALASKA LLC / LIQUEFACTION PLANT","AK0000000212200115","AK","110071374668","488999",60.6655,-151.359,,,
"AAA VALLEY GRAVEL, LLC / ASPHALT PLANT, AEDCO, PALMER","AK0000000202000049","AK","110010381737","237310",61.589464,-149.258612,,"POF","Privately Owned Facility"
"AAFES ELMENDORF SHOPPETTE & SERVICE STN","1000000002020E0005","AK","110060342179","333913",61.231969,-149.763424,,"POF","Privately Owned Facility"
"AG-PRO WASH PLANT","AK0000000202000054","AK","110006851460","212321 237310",61.157316,-149.883149,,"POF","Privately Owned Facility"
"AHTNA ENGINEERING/ALCANTRA ARMORY","AK0000000217000006","AK","110040482304","221112",61.596921,-149.364919,,"POF","Privately Owned Facility"
"AIRLINE SUPPORT INC/AIRLINE SUPPORT, INC","AK0000000202000057","AK","110070247098","488190",61.18797,-149.98963,,"POF","Privately Owned Facility"
"ALASKA AEROSPACE DEVELOPMENT CORPORATI / KODIAK LAUNCH COMPLEX, NARROW CAPE","AK0000000215000020","AK","110069326884","927110",57.7923169,-152.4040066,,"POF","Privately Owned Facility"
"ALASKA ARMY NATIONAL GUARD / FORT RICHARDSON","AK0000000202000072","AK","110069326768","928110",61.270091,-149.646,,"CTG","Municipality"
"ALASKA CLEANERS, INC. / ALASKA CLEANERS FACILITY","AK0000000202000076","AK","110002332244","812320",61.19864,-149.89533,,"POF","Privately Owned Facility"
"ALASKA ELECTRIC AND ENERGY COOPERATIVE / BERNICE LAKE COMBUSTION TURBINE (BCT) P","AK0000000212200034","AK","110028038923","221112",60.693619,-151.387377,,"POF","Privately Owned Facility"
"ALASKA ELECTRIC AND ENERGY COOPERATIVE / NIKISKI COMBINED CYCLE PLANT","AK0000000212200104","AK","110064626846","221112",60.6766,-151.37705,,"POF","Privately Owned Facility"
"ALASKA ELECTRIC AND ENERGY COOPERATIVE / SOLDOTNA COMBUSTION TURBINE PLANT","AK0000000212200111","AK","110063697227","221112",60.499493,-150.996678,,"POF","Privately Owned Facility"
"ALASKA ELECTRIC LIGHT & POWER / AUKE BAY STANDBY GENERATION STATION","AK0000000211000003","AK","110002003386","221122",58.3873,-134.644,,"POF","Privately Owned Facility"
