"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" PGP OPERATING, LLC, STA NO. 8 (OLD ENERGEN RES.) ","ALJEF0000107300543","AL","110021339737","211111",33.431034,-87.250435,,"POF","Privately Owned Facility"
"$1.49 CLEANERS","AL00000001101DC015","AL","110007232869","812320",32.32724,-86.25374,,"POF","Privately Owned Facility"
"$1.49 CLEANERS","AL00000001101DC014","AL","110007232850","812320",32.3817,-86.21852,,"POF","Privately Owned Facility"
"(PGP OPERATING, LLC STA. NO. 4 (OLD ENERGEN RES.)","ALJEF0000107300540","AL","110025372451","211111",33.43833,-87.17318,,"POF","Privately Owned Facility"
"3 BROTHERS SERVICE CENTER","040000000110140132","AL","110001713245","999999",32.4003,-86.29061,,"POF","Privately Owned Facility"
"3D WOODCRAFT INC","AL0000000102700010","AL","110008056833","337122",33.321299,-85.752738,,"POF","Privately Owned Facility"
"3M COMPANY","AL0000000110300009","AL","110000367567","325998",34.641667,-87.038611,61218,"POF","Privately Owned Facility"
"3M COMPANY","AL0000000109300004","AL","110000589159","327215",33.96672,-87.899855,27940,"POF","Privately Owned Facility"
"43 LIME, INC.","AL0000000112900027","AL","110071092183","327992",31.140122,-88.06318,,,
"5381 SOUTH OATES BODY","0400000001019EPA07","AL","110043974232","441110",31.14925,-85.40241,,"POF","Privately Owned Facility"
"A & B FOUNDRY, INC.","ALJEF0000107300060","AL","110038614238","331511",33.54916,-86.80762,,"POF","Privately Owned Facility"
"A P GREEN REFRACTORIES","AL0000000100500002","AL","110038611598","327120",31.8702531,-85.4051035,,"POF","Privately Owned Facility"
"A&P AUTOMOTIVE INC","040000000110140118","AL","110007232360","532111",32.39346,-86.20983,,"POF","Privately Owned Facility"
"A-1 CLEANERS","AL00000001033D0001","AL","110010315248","812320",32.7396323,-86.8434593,,"POF","Privately Owned Facility"
"A. P. GREEN INDUSTRIES, INC.","ALJEF0000107300142","AL","110001713637","327124",33.403058,-86.948916,,"POF","Privately Owned Facility"
"A.P. PLASMAN","AL0000000104900043","AL","110043730442","336360",34.446418,-85.748901,,"POF","Privately Owned Facility"
"A1 PLATING COMPANY","AL0000000103300046","AL","110001714002","332813",34.69586,-87.66484,,"POF","Privately Owned Facility"
"ABANKS MORTUARY SHIPPING","ALJEF0000107307188","AL","110037997013","812220",33.51042,-86.82422,,"POF","Privately Owned Facility"
"ABBEVILLE FIBER, LLC","AL000000010670S008","AL","110070666852","321113",31.556731,-85.259894,,,
"ABCO DBA IZZY+","AL0000000107700022","AL","110009456855","337214",34.86156,-87.65107,,"POF","Privately Owned Facility"
"ABIBOW US INC.","AL0000000109900032","AL","110043320698","322121",31.571493,-87.493092,,"POF","Privately Owned Facility"
"ACCURATE PLATING & WEAPONRY INC.","AL0000000106700013","AL","110024887826","332813",31.462297,-85.263138,,"POF","Privately Owned Facility"
"ACE PRODUCTS INC","AL0000000102700005","AL","110003375035","326211",33.308549,-85.747757,,"POF","Privately Owned Facility"
