"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"222394536 DELAWARE LLC - GATEWAY","AR0000000511906155","AR","110071314350","812220",34.653334,-92.405704,,,
"3M COMPANY - 3M INDUSTRIAL MINERAL PRODUCTS DIVISION","AR0000000511900003","AR","110040995199","212325",34.708919,-92.239492,59,"POF","Privately Owned Facility"
"A-1 ROOFING & CONSTRUCTION","AR0000000500900204","AR","110039626214","486210",36.331365,-92.974628,,"POF","Privately Owned Facility"
"AA QUARRY, LLC.","AR0000000577701019","AR","110038442628","212319",34.68849,-92.29829,,"POF","Privately Owned Facility"
"AALIA, LLC - J&P CORNER MARKET","AR0000000503500710","AR","110025101903","447110",35.207825,-90.193876,,"POF","Privately Owned Facility"
"AAR COMPONENTS SERVICES-HOT SPRINGS","AR0000000505100273","AR","110000451387","488190",34.518167,-93.127056,,"POF","Privately Owned Facility"
"ABB MOTOR & MECHANICAL, INC.","AR0000000504700114","AR","110000917553","335312",35.494809,-93.846505,6,"POF","Privately Owned Facility"
"ABB MOTORS AND MECHANICAL INC. ","AR0000000513100041","AR","110000453321","335312",35.32785,-94.4287,322,"POF","Privately Owned Facility"
"ABB POWER PROTECTION LLC D/B/A ABB INSTALLATION PRODUCTS, INC.","AR0000000503100275","AR","110000452439","335932",35.82087,-90.62639,2036,"POF","Privately Owned Facility"
"ABIDE FARMS, LLC","AR0000000511904884","AR","110070262498","562213",34.7858878,-92.4150283,,"POF","Privately Owned Facility"
"ACME BRICK - CLARKSVILLE","AR0000000507100004","AR","110000598238","327121",35.460778,-93.421667,,"POF","Privately Owned Facility"
"ACME BRICK COMPANY - FORT SMITH PLANT","AR0000000513100081","AR","110000453483","327121",35.362028,-94.397278,,"POF","Privately Owned Facility"
"ACME BRICK COMPANY - JONESBORO PLANT","AR0000000503100002","AR","110000452484","327120",35.851639,-90.756028,27747,"POF","Privately Owned Facility"
"ACME BRICK COMPANY - OUACHITA PLANT","AR0000000505900086","AR","110000597872","327121",34.362333,-92.899028,1883,"POF","Privately Owned Facility"
"ACME BRICK COMPANY - PERLA PLANT","AR0000000505900008","AR","110000859893","327120",34.365056,-92.780944,21,"POF","Privately Owned Facility"
"ACT HOLDINGS, INC.","AR0000000577701592","AR","110070604404","212311",36.033028,-91.881532,,"POF","Privately Owned Facility"
"ADAMS LAND COMPANY","AR0000000509300266","AR","110002052545","115111",35.9419,-90.25728,,"POF","Privately Owned Facility"
