"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"(OLD) GLOBE MOTEL","0900000004007R9010","AZ","110062724299","999999",33.559004,-110.7691258,,"POF","Privately Owned Facility"
"1405 MINE","AZ000000157538","AZ","110069993253","213115",33.4465287,-112.0903187,,,
"23RD AVE WASTEWATER TREATMENT PLANT","AZMCA004013X001074","AZ","110000509851","221320",33.426667,-112.106389,,"POF","Privately Owned Facility"
"91ST AVE WASTEWATER TREATMENT PLANT","AZMCA004013X001075","AZ","110000510144","221320",33.395,-112.254167,,"FDF","Federal Facility (U.S. Government)"
"A J GILBERT CONSTRUCTION COMPANY-CMI 700","AZ00000004009Z2493","AZ","110027216938","324121",32.801115,-109.707718,,"POF","Privately Owned Facility"
"ABSS MANUFACTURING CO INC","AZMCA004013X103646","AZ","110022882451","325991",33.44979,-112.1449,,"POF","Privately Owned Facility"
"ABUNDIO RECYCLING","0500000004013R5001","AZ","110072155791","423930",33.496053,-112.140742,,"POF","Privately Owned Facility"
"ACI- CCPW","AZ000192167","AZ","110070740394","562213",35.22906,-111.56459,,"CNG","County Government"
"ACI-ZS","AZ000191102","AZ","110070740295","333411",34.54785,-112.45902,,"COR","Corporation"
"ADVANCED MATERIALS TECHNOLOGIES, INC","0900000004013R9876","AZ","110002591883","333319",33.40007,-111.97261,,"POF","Privately Owned Facility"
"ADVANTAGE BOATS","AZ00000004015Z2617","AZ","110010506461","336612",34.50371,-114.348,,"POF","Privately Owned Facility"
"AF LORTS MFG CO INC - GOODYEAR","AZMCA004013X000969","AZ","110000471711","337122",33.40896,-112.39987,,"POF","Privately Owned Facility"
"AIM RECYCLING","0500000004013R5002","AZ","110071725135","423930",33.46587,-112.105115,,"POF","Privately Owned Facility"
"AIM RECYCLING PHOENIX WEST","050000004013R5003","AZ","110072155792","423930",33.50522,-112.14897,,"POF","Privately Owned Facility"
"AIR LIQUIDE CORP","0900000004019R9758","AZ","110009525139","325120",32.10295,-110.80574,,"POF","Privately Owned Facility"
