"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3M AUTO DISMANTLERS","0900000006085R9600","CA","110039628105","999999",37.31443,-121.86347,,"POF","Privately Owned Facility"
"3M COMPANY","CASCA0000606500004","CA","110000477467","324122",33.84916,-117.50607,90,"POF","Privately Owned Facility"
"3M COMPANY","CASCA0000603700811","CA","110000476583","313320",34.13352,-117.99129,351,"POF","Privately Owned Facility"
"3M ESPE DENTAL PRODUCTS DIVISION","CASCA00006059DB004","CA","110000783046","339114",33.691787,-117.843525,,"POF","Privately Owned Facility"
"3M OAK HILLS","CAMDA044701247","CA","110041061739","327910",34.415998,-117.399142,,,
"4 WALL ENTERTAINMENT LIGHTING ","CASCA00006037C0140","CA","110000861041","332321",34.15175,-118.27525,,"POF","Privately Owned Facility"
"4 WHEEL PARK PERFORMANCE CENTER","0900000006073R9995","CA","110027218936","999999",32.601188,-117.077746,,"POF","Privately Owned Facility"
"7-11 MATERIALS INC","CASJV00006099N2158","CA","110001158130","212321",37.642107,-120.638524,,"POF","Privately Owned Facility"
"99 CENT","0900000006013R9998","CA","110028073787","999999",37.96166,-121.9837,,"POF","Privately Owned Facility"
"99 CENT","0900000006081R9996","CA","110028073867","999999",37.666325,-122.45187,,"POF","Privately Owned Facility"
"A & A TOWING & TRANSPORTATION","0900000006067R9901","CA","110037091349","337215",38.72135,-121.32755,,"POF","Privately Owned Facility"
"A & B AUTO ELECTRIC & SMOG CHECK","0900000006073R9980","CA","110027218794","999999",32.6159,-117.08352,,"POF","Privately Owned Facility"
"A GERMAN AUTO PARTS & SERVICE","0900000006085R9540","CA","110001175317","999999",37.3083,-121.87649,,"POF","Privately Owned Facility"
"A L GILBERT COMPANY","CASJV00006099N1940","CA","110000495820","311119",37.76917,-120.84874,,"POF","Privately Owned Facility"
"A LOT GELATO AND MORE","0900000006075R9889","CA","110022397967","311999",37.7272391,-123.0322294,,"POF","Privately Owned Facility"
"A NEW WAY AUTO SERVICE & REPAIR","0900000006073R9605","CA","110055809102","811111",32.806706,-117.216385,,"POF","Privately Owned Facility"
"A SAMBADO & SON INC","CASJV00006077N0717","CA","110002348923","999999",38.0445,-121.11509,,"POF","Privately Owned Facility"
"A TEICHERT & SON","CASAC0000606700257","CA","110001157872","324121",38.547084,-121.376044,0,"POF","Privately Owned Facility"
"A&H AUTO SERVICE","0900000006081R9553","CA","110009551350","811111",37.69172,-122.46543,,"POF","Privately Owned Facility"
"A- AUTO SALVAGE","0900000006029R9003","CA","110014448339","999999",35.33167,-119.00311,,"POF","Privately Owned Facility"
"A-1 AUTO SALES AND DISMANTLER","0900000006067R9626","CA","110042261110","999999",38.579285,-121.262861,,"POF","Privately Owned Facility"
"A-1 AUTO WRECKING","0900000006029R9002","CA","110014448311","999999",35.3309,-119.00311,,"POF","Privately Owned Facility"
"A. C. PLATING","0900000006029R9001","CA","110000831011","332813",35.35916,-118.96746,,"POF","Privately Owned Facility"
"A. J. DIANI CONSTRUCTION (UNION SCHOOL)","0900000006083R9861","CA","110013689641","236220",34.44716,-119.82037,,"POF","Privately Owned Facility"
"A. LA ROCCA SEAFOOD","0900000006075R9805","CA","110022572474","114111",37.8019622,-122.4109997,,"POF","Privately Owned Facility"
"AAA DODGE TRUCK & VAN","0900000006067R9641","CA","110042261263","999999",38.5684,-121.25372,,"POF","Privately Owned Facility"
"AAA FURNACE & AC CO","0900000006085R9174","CA","110001193949","335312",37.2955986,-121.8940712,,"POF","Privately Owned Facility"
"AAA TRUCK PARTS WRECKING","0900000006001R9705","CA","110002719023","999999",37.637902,-122.13447,,"POF","Privately Owned Facility"
"AB&I FOUNDRY","CABAA00006001A0062","CA","110070790129","331511",37.75029,-122.19299,,"POF","Privately Owned Facility"
"ABBOTT CARDIOVASCULAR SYSTEMS","CASCA00006065CA057","CA","110022667265","339112",33.51794,-117.15613,241,"POF","Privately Owned Facility"
"ABSOLUTE PACKAGING INC.                 ","CASCA00006059CB035","CA","110001178074","332813",33.8573,-117.84818,,"POF","Privately Owned Facility"
"AC&S- CONTRACTOR","0900000006113R9667","CA","110062687301","238910",38.58116,-121.56243,,"POF","Privately Owned Facility"
"ACCESS BUSINESS GRP LLC-NUTRILITE","CASCA0000606500025","CA","110001186877","325412",33.83622,-117.11101,,"POF","Privately Owned Facility"
"ACCURATE METAL FABRICATORS INC","CASCA00006059CB355","CA","110013850751","332312",33.75348,-118.08672,,"POF","Privately Owned Facility"
"ACCURATE METAL SOLUTIONS ANAHEIM LLC","CASCA00006059CB281","CA","110017206753","332812",33.796074,-117.888522,,"POF","Privately Owned Facility"
"ACE COGENERATION CO.","CAMDA00006071M0202","CA","110000481924","221112",35.76518,-117.37522,,"POF","Privately Owned Facility"
"ACME FILL CORPORATION","CABAA00006013A1464","CA","110017973399","562211",38.013699,-122.081077,,"POF","Privately Owned Facility"
"ACTION ENVIRONMENTAL ENTERPRISES","0900000006025R9500","CA","110028243238","999999",32.7928,-115.57075,,"POF","Privately Owned Facility"
"ACTOKLEEN","0900000006037R9853","CA","110002900763","325612",33.97456,-118.11245,,"POF","Privately Owned Facility"
"ACURA HONDA DISMANTLING INC","0900000006067R9659","CA","110042261405","999999",38.5622013,-121.2047003,,"POF","Privately Owned Facility"
"ADAMS SPECIALTY OILS INC.","CACUS0000601100250","CA","110040367260","311224",38.93023,-121.992858,,"POF","Privately Owned Facility"
