"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"139 CENTER ST ASSOC","CT0000000900300730","CT","110001758438","999999",41.67606,-72.9456,,"POF","Privately Owned Facility"
"35 GLOVER PARTNERS, LLC","CT0000900107564","CT","110063226655","561110",41.144779,-73.426292,,,
"375 FAIRFIELD AVE ASSOC","CT0000000900106534","CT","110001746923","531120",41.03777,-73.55128,,"POF","Privately Owned Facility"
"3M PURIFICATION INC.","CT0000000901300055","CT","110000315463","333999",41.94935,-72.30447,,"POF","Privately Owned Facility"
"A & D COMPONENTS, INC","CT0000000900300705","CT","110007246774","332611",41.677819,-72.903278,,"POF","Privately Owned Facility"
"A & W FURNITURE RESTORATION, INC","CT0000000900108898","CT","110001405970","811420",41.0442,-73.535983,,"POF","Privately Owned Facility"
"A AIUDI & SONS","CT0000000900307871","CT","110001731378","327320",41.73716,-72.72373,,"POF","Privately Owned Facility"
"A ANATASIO & SONS TRUCKING","CT0000000900908567","CT","110007242037","999999",41.32075,-72.89095,,"POF","Privately Owned Facility"
"A DUIE PYLE COMPANY","CT0000000900306490","CT","110037124661","999999",41.63959,-72.87744,,"POF","Privately Owned Facility"
"A E N ASPHALT, INC","CT0000000901105028","CT","110007247032","324121",41.587328,-72.156723,,"POF","Privately Owned Facility"
"A+ AUTO SERVICES","CT0000000900309265","CT","110007019378","811121",41.757996,-72.685283,,"POF","Privately Owned Facility"
"A-1 CHROME & POLISHING CORP","CT0000000900308999","CT","110001407004","332813",41.67429,-72.74912,,"POF","Privately Owned Facility"
"A-1 KARS","CT0000000900908722","CT","110001408058","999999",41.28532,-72.95318,,"POF","Privately Owned Facility"
"A.E.N. ASPHALT, INC.","CT0000000901105200","CT","110044123659","324121",41.57305,-72.13527,,,
"A.N. DESIGNS, INC.","CT0000000900504502","CT","110039132872","332212",41.87844,-73.06961,,"POF","Privately Owned Facility"
"AAA AUTO REPAIR","CT0000000900309192","CT","110001735123","811121",41.77641,-72.69186,,"POF","Privately Owned Facility"
"ABATE'S GULF","CT0000000900908701","CT","110001407727","999999",41.34084,-73.07317,,"POF","Privately Owned Facility"
"ABB BUSINESS SERVICES, INC","CT0000000900308965","CT","110001406639","334513",41.8655,-72.66616,,"POF","Privately Owned Facility"
"ABBOTT BALL CO","CT0000000900309056","CT","110000581629","332991",41.72892,-72.72635,0,"POF","Privately Owned Facility"
"ABBOTT R.V.T. SCHOOL, HENRY","CT0000000900108940","CT","110005285743","999999",41.41279,-73.45397,,"POF","Privately Owned Facility"
"ABC AUTO","CT0000000900309166","CT","110001734892","811111",41.65639,-72.86777,,"POF","Privately Owned Facility"
"ABCO REFRIDGERATION SUPPY CORPORATION","CT0000000900106901","CT","110027223494","999999",41.04323,-73.53219,,"POF","Privately Owned Facility"
