"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"1007 MARKET CONDOMINIUM ASSOCIATION","DE0000001000300049","DE","110024268246","531120 561439",39.74598,-75.54744,,,
"1743 HOLDINGS LLC","DE0000001000300128","DE","110000338643","336111",39.663333,-75.765277,,,
"3 D FABRICATIONS, INC","DE0000001000300794","DE","110040491571","337122 337212",39.6866,-75.70423,,,
"A PLUS CLEANERS","DE0000001000300574","DE","110001748707","812310",39.666807,-75.667936,,,
"A-1 CLEANERS (1660 SOUTH GOVERNORS AVE)","DE0000001000100184","DE","110017780098","812320",39.163409,-75.515419,,,
"A-1 CLEANERS (428 N. DUPONT HWY)","DE0000001000100144","DE","110038640744","812320",39.172536,-75.522357,,,
"ACE CLEANERS","DE0000001000100146","DE","110001736827","812320",39.15884,-75.54405,,,
"AEARO TECHNOLOGIES LLC","DE0000001000300073","DE","110040984165","326150",39.65057,-75.73165,5,,
"AIR LIQUIDE ADVANCED SEPARATIONS, NEWPORT PLANT","DE0000001000300383","DE","110000338796","325220 326199",39.71178,-75.60399,3698,,
"AIR LIQUIDE INDUSTRIAL US LP","DE0000001000300064","DE","110007354246","325120",39.583012,-75.639122,,,
"AIR PRODUCTS & CHEMICALS, INC (CLOSED)","DE0000001000300440","DE","110054486999","325120",39.59816,-75.63822,,,
"AIRPORT CLEANERS","DE0000001000300518","DE","110001736667","812320",39.671345,-75.597275,,"POF","Privately Owned Facility"
"AIRPORT CLEANERS - BEAVER BROOK PLAZA","DE0000001000300640","DE","110064121409","812320",39.64134,-75.62491,,,
"ALFRED I DUPONT HOSPITAL FOR CHILDREN","DE0000001000300131","DE","110021673170","622110",39.792745,-75.572468,,,
"ALLAN MYERS DE, INC. WILMINGTON","DE0000001000300933","DE","110070029128","324121",39.74032,-75.52318,,,
"ALLAN MYERS, DELAWARE, INC - DOVER","DE0000001000100006","DE","110006845682","324121",39.13498,-75.49426,,,
"ALLAN MYERS, DELAWARE, INC - GEORGETOWN","DE0000001000500130","DE","110007242849","324121",38.638253,-75.365143,,,
"ALLEN HARIM FARMS LLC - SEAFORD","DE0000001000500152","DE","110039497014","112340 311119",38.63802,-75.63483,,,
"ALLEN HARIM FOODS LLC - HARBESON","DE0000001000500013","DE","110056556597","311615",38.72072,-75.28476,5066,,
"ALLIED WASTE SERVICES OF DELMAR","DE0000001000100129","DE","110041890282","562219",39.03237,-75.72794,,"POF","Privately Owned Facility"
"ALPINE CLEANERS","DE0000001000300520","DE","110001736453","812320",39.72793,-75.65036,,,
"AMAZON.COM SERVICES LLC.","DE0000001000300924","DE","110067429385","323117 493110",39.43938,-75.73647,,,
"AMERESCO DELAWARE ENERGY - SOUTHERN","DE0000001000500258","DE","110054561292","221112",38.587906,-75.450741,,,
"AMERESCO DELAWARE ENERGY LLC - CENTRAL","DE0000001000100247","DE","110047387535","221112",39.03237,-75.72793,,,
"AMERICAN AIR LIQUIDE-GLASGOW","DE0000001000300785","DE","110030489683","325120",39.611634,-75.739635,,,
"AMERICAN CRAFT BREWERY, LLC","DE0000001000500242","DE","110070256111","312120",38.770578,-75.310772,,,
"AMERICAN SIGN CO","DE0000001000300619","DE","110054577230","339950",39.66389,-75.59808,,"POF","Privately Owned Facility"
"AMETEK INC., CHEMICAL PRODUCTS DIVISION","DE0000001000300029","DE","110000338812","313311",39.73183,-75.6359,,"POF","Privately Owned Facility"
"AMICK FARMS, LLC","DE0000001000500016","DE","110000585108","311615",38.478646,-75.573841,,,
"AMTRAK WILMINGTON MAINTENANCE FACILITY","DE0000001000300023","DE","110000787373","482111",39.748694,-75.513889,,,
"ANY GARMENT CLEANERS - KIRKWOOD HIGHWAY","DE0000001000300711","DE","110020745835","812320",39.73404,-75.63755,,,
"ANY GARMENT CLEANERS - POSSUM PARK MALL","DE0000001000300780","DE","110041890380","812320",39.69421,-75.71992,,"POF","Privately Owned Facility"
"ASHLAND SPECIALTY INGREDIENTS G. P.","DE0000001000300017","DE","110000338858","325211",39.75625,-75.638529,,,
"ASTRA ZENECA INC/FAIRFAX","DE0000001000344002","DE","110011616028","325412",39.790419,-75.546673,,"POF","Privately Owned Facility"
"ASTRAZENECA PHARMACEUTICALS, LLC-NEWARK","DE0000001000300107","DE","110001736006","325412",39.64763,-75.70549,,,
"ASTROPOWER, INC - EXECUTIVE DRIVE (CLOSE","DE0000001000300660","DE","110062722451","999999",39.615003,-75.749456,,"POF","Privately Owned Facility"
"ATLANTIC CONCRETE - HARRINGTON","0300000004","DE","110072072080","327320",38.909264,-75.56926,,,
"ATLANTIC CONCRETE - HARRINGTON","03000DE00007","DE","110072072080","327320",38.909264,-75.56926,,,
"ATLANTIC CONCRETE CO INC - CHESWOLD","DE0000001000100107","DE","110069428710","327320",39.218122,-75.578867,,,
"AUGUSTA CLEANERS","DE0000001000300710","DE","110038640931","812320",39.67458,-75.703682,,,
"BANK OF AMERICA, N.A. - CHRISTIANA AND COLLINS CAMPUS","DE0000001000300599","DE","110064121383","522210",39.68568,-75.665759,,,
"BANK OF AMERICA, N.A. - DEERFIELD CAMPUS","DE0000001000300277","DE","110010683527","522210",39.71454,-75.74135,,,
"BARCLAYS BANK DELAWARE","DE0000001000300858","DE","110041890433","522110",39.73806,-75.55676,,"POF","Privately Owned Facility"
"BAYHEALTH MEDICAL CENTER-KENT GENERAL HOSPITAL","DE0000001000100026","DE","110064341644","622110",39.15296,-75.52516,,,
"BBK PET CREMATORY","DE0000001000500184","DE","110024827222","812220",38.526311,-75.08687,,,
