"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" ANDREWS & SMITH BODY & PAINT SHOP","GA0000001310500053","GA","110043431284","999999",34.06932,-82.86995,,,
"10009 HIGHWAY 92 WOODSTOCK","0400013057EPA01","GA","110071316661","722511",34.0864,-84.5206,,,
"1141 WEST GWINNETT STREET","04000EPAGA1141","GA","110070824158","999999",32.071641,-81.113732,,,
"1210 DRAYTON STREET","040000001305140001","GA","110071767630","531311",32.063179,-81.096406,,"POF","Privately Owned Facility"
"142 WHITEFOORD AVE., S.E.","0400000013121EPA03","GA","110071820655","531311",33.7495,-84.342,,"COR","Corporation"
"147 NORTH PARK STREET","04000EPAASB147N","GA","110071072984","999999",34.5345,-83.9869,,,
"152 PEACHTREE STREET SOUTHWEST","04000EPAASB152P","GA","110071063950","999999",33.75045,-84.39341,,,
"16 COLLINS DRIVE, CARTERSVILLE, GA 30120 ","04000GAASB16CDR","GA","110070704122","999999",34.19285,-84.79159,,,
"175 TED TURNER DRIVE, S.W, ATLANTA","0400013121EPA01","GA","110071293487","236220",33.7528453,-84.3902259,,,
"1811 LAKEWOOD AVENUE SOUTHEAST","0400000013121D0001","GA","110071219687","531190",33.70473,-84.38059,,,
"1819 2ND AVENUE","040000001308940012","GA","110071813355","238910",33.7386,-84.3101,,"COR","Corporation"
"1888 MILLS","GA0000001325500062","GA","110013330617","999999",33.23882,-84.2937,,,
"1888 MILLS GRIFFIN PLANT","GA0000001325500071","GA","110064025987","313210",33.222528,-84.278557,,,
"1888 MILLS-THOMASTON","GA0000001329300012","GA","110009354885","999999",32.896764,-84.324053,,,
"1944 PIEDMONT CIRCLE NORTHEAST","0400013121EPA02","GA","110071235010","236220",33.81109,-84.36741,,,
"196 MEMORIAL DRIVE SOUTHEAST","04000EPAASB196M","GA","110071063871","999999",33.74687,-84.38117,,,
"1988 HOLLYWOOD ROAD, NORTHWEST","040000001312140036","GA","110071883440","238910",33.8099,-84.4723,,"POF","Privately Owned Facility"
"20/20 CUSTOM MOLDED PLASTICS","GA0000001321700042","GA","110000355687","999999",33.62787,-83.94427,,,
"2124 FOREST PARKWAY","04000EPAASB2124F","GA","110071063875","999999",33.6105,-84.32054,,,
"214 EAST CHEROKEE AVE","04000GAASB214","GA","110070704126","999999",34.167,-84.79254,,,
"2154 MOUNT ZION PARKWAY (ARBY'S RESTAURANT)","04000EPAASB2154M","GA","110071063873","999999",33.562141,-84.32022,,,
"21ST CENTURY CONTAINE","GA0000001312100728","GA","110001425306","999999",33.756433,-84.54151,,,
"222 SOUTH TENNESSEE ST","04000GAASB222","GA","110070704021","999999",34.163389,-84.793596,,,
"2568 CENTRAL AVE","04000ASBDR1","GA","110070604353","999999",33.47084,-82.02738,,,
"2913 CUSSETA ROAD","0400000013215EPA01","GA","110071468440","238910",32.4437,-84.9517,,"COR","Corporation"
"3025 SOUTH CHEROKEE LANE WOODSTOCK","0400013057EPA02","GA","110071316660","531210",34.0788,-84.4708,,,
"315 WEST PONCE DE LEON AVE.","040000001308940010","GA","110071362270","236115",33.7757,-84.3001,,"COR","Corporation"
"355 MORELAND AVE SOUTHEAST","040000001312140034","GA","110071883445","722513",33.744,-84.3496,,"COR","Corporation"
"375 RIVERSIDE PKWY LLC","GA0000001309700063","GA","110013394692","517911",33.74445,-84.5825,,,
"3855 HWY. US-29","04000GAUS29ASBDR","GA","110070616561","999999",33.907601,-84.109588,,,
"3D SOLUTIONS, INC.","GA0000001311300064","GA","110045442614","333210",33.4405,-84.6144,,,
"3M ATLANTA","GA0000001312100716","GA","110012621699","325510",33.8019,-84.49567,,,
"3M DYNACOLOR EAST POI","GA0000001312100216","GA","110001421649","999999",33.699,-84.44108,,,
"404 CONCRETE - CONCRETE BATCH PLANT 01","GA0000001377700207","GA","110071425449","327320",33.712956,-84.129713,,,
"404 CONCRETE - CONCRETE DRY MIX PLANT 02","GA0000001377700206","GA","110071425449","327320",33.712956,-84.129713,,,
"404 CONCRETE - CONCRETE DRY MIX PLANT 03","GA0000001377700223","GA","110071498372","327320",33.712837,-84.129691,,,
"4283929 DELAWARE, LLC DBA DECEASED PET CARE","GA0000001313500247","GA","110015714404","812220",33.952316,-83.826926,,,
"450 CAPITOL AVE., S.E. ATLANTA","0400013121EPA03","GA","110071308378","236220",33.7425,-84.3873,,,
"4905 NORTH POINT LLC","GA0000001312100863","GA","110039617518","531120",34.057193,-84.272883,,,
"5 SOUTH PUBLIC SQUARE","04000GAASB5SPS","GA","110070704071","999999",34.16589,-84.79622,,,
"5 STAR COLLISION","GA0000001325100036","GA","110064024700","811121",32.751625,-81.647375,,,
"5753 EAST MAIN STREET, PATTERSON, GEORGIA","0400000013195D0001","GA","110071251407","531190",31.38664,-82.13919,,,
"6125 HIGHWAY 36","04000EPAGAASB31","GA","110070890930","999999",33.58332,-83.85438,,,
"619 EAST ANDERSON STREET (DEMOLITION SITE)","0400013051EPA01","GA","110071219688","531312",32.06024,-81.08989,,,
"645 INDIAN STREET","04000EPAGA645","GA","110070824159","999999",32.0853,-81.10055,,,
"711 EAST BROAD STREET","0400000013051D0001","GA","110071219690","531190",32.06576,-81.08896,,,
"720 NEESE ROAD","04000EPAGAASB720","GA","110070672243","999999",34.098387,-84.491653,,,
"784 AND 786 NEESE RD.","0400013057EPA04","GA","110071316665","531210",34.0903,-84.4933,,,
"8 MAIN STREET","04000EPAGAASB33","GA","110070890929","999999",31.931761,-82.682471,,,
"8 SOUTHERN OAKS COURT","0400013051EPA02","GA","110071234854","531210",32.06115,-81.15914,,,
"808 TILLMAN STREET","04000EPAGAASB808","GA","110070916487","999999",30.98189,-83.36941,,,
"8256 MAIN STREET","04000EPAGAASB8256","GA","110070672240","999999",34.10586,-84.51785,,,
"9740 MAIN STREET, SUITE 270","04000EPAGAASB9740","GA","110070672156","999999",34.08418,-84.51929,,,
"9740 MAIN STREET, SUITE 298","04000EPAGAASB97298","GA","110070672156","999999",34.08418,-84.51929,,,
"9766 HIGHWAY 92 WOODSTOCK","0400013057EPA05","GA","110071316659","531210",34.0857,-84.5262,,,
