"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" IOWA WORKFORCE DEVELOPMENT","IAPLK0001915300810","IA","110038888969","921190",41.59086,-93.61601,,"STF","State Government"
" UNION PARK HEALTH, LLC DBA AZRIA HEALTH PARK PLACE","IAPLK0001915302780","IA","110070560840","623110",41.61682,-93.60796,,"POF","Privately Owned Facility"
"$2.59 CLEANERS","IAPLK0001915304001","IA","110001762254","812320",41.616126,-93.735461,,"POF","Privately Owned Facility"
"205 CORP THE TAVERN II","IAPLK0001915300021","IA","110030490591","722410",41.58473,-93.7433,,"POF","Privately Owned Facility"
"219 GRAND, LLC","IAPLK0001915302250","IA","110070049628","531312",41.589791,-93.615504,,"POF","Privately Owned Facility"
"21ST CENTURY COOP-CUMBERLAND-MAIN (SBGP)","IA0000001902900059","IA","110043324113","424710",41.272497,-94.870476,,"POF","Privately Owned Facility"
"21ST CENTURY COOP-GREENFIELD","IA0000001900100030","IA","110000507602","424710",41.296278,-94.461972,,"POF","Privately Owned Facility"
"21ST CENTURY COOP-MASSENA (C-STORE)","IA0000001902900060","IA","110036397556","424710",41.25835,-94.76724,,"POF","Privately Owned Facility"
"3 SONS ENTERPRISES, LLC","IAPLK0001915301025","IA","110007358386","812220",41.6402,-93.69798,,"POF","Privately Owned Facility"
"3M (MINNESOTA MINING & MFG CO) - AMES ","IA0000001916900100","IA","110000412571","327910 999999",42.0296,-93.57913,29,"POF","Privately Owned Facility"
"3M COMPANY","IA00000019125C0011","IA","110000412697","322220 325520",41.318143,-93.065738,53053,"POF","Privately Owned Facility"
"3M COMPANY","IA00000019169C0018","IA","110000412571","327910 999999",42.0296,-93.57913,29,"POF","Privately Owned Facility"
"3M MINNESOTA MINING & MANUFACTURING CO","IA0000001912500001","IA","110000412697","322220 325520",41.318143,-93.065738,53053,"POF","Privately Owned Facility"
"4-EVER PETS","IA00091-03-009","IA","110070507435","541940",41.47635,-93.53993,,,
"5 SEASONS AUTO REBUILDERS","IALIN0001911300519","IA","110001763654","811121",41.96373,-91.74826,,"POF","Privately Owned Facility"
"611 5TH AVENUE, LLC","IAPLK0001915303001","IA","110070544008","531312",41.591797,-93.61199,,"COR","Corporation"
"615 THIRD ST, LLC","IAPLK0001915303246","IA","110070672238","531120",41.58968,-93.62109,,"COR","Corporation"
"7TH & GRAND RAMP DEVELOPER, LLC","IAPLK0001915302245","IA","110070049627","524210",41.58809,-93.62738,,"COR","Corporation"
"A & I PRODUCTS","IA0000001908100042","IA","110040469445","333111",43.00765,-93.603222,,"POF","Privately Owned Facility"
"A & W FARM OPERATIONS, INC","IAPLK0001915300225","IA","110000518011","424510",41.65215,-93.46457,,"POF","Privately Owned Facility"
"A J BODY SHOP","IAPLK0001915303495","IA","110038882171","811121",41.63678,-93.615903,,"POF","Privately Owned Facility"
"A M COHRON & SON INC","IA0000001914500026","IA","110001329401","327320",40.73503,-95.02726,,"POF","Privately Owned Facility"
