"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"$1.50 CLEANERS","100000001600100127","ID","110001287722","812320",43.60491,-116.28963,,"POF","Privately Owned Facility"
"7-K MOTEL","100000001600100132","ID","110001806430","999999",43.662954,-116.349073,,"POF","Privately Owned Facility"
"A S C CONSTRUCTION 00045","ID0000001677700045","ID","110040493285","324121",44.3020948,-114.5956254,,"POF","Privately Owned Facility"
"A&D CONSTRUCTION (OTERO/SCHORZMAN)","ID0000001605500060","ID","110020900765","236115",47.70882,-116.915497,,"POF","Privately Owned Facility"
"A-CORE OF IDAHO, INC","100000000000000033","ID","110070255662","238910",43.53619,-112.00879,,,
"A. H. SCHADE INC DBA GEM STOP CO #8","100000001602700133","ID","110046464152","333913",43.59672,-116.55312,,"POF","Privately Owned Facility"
"A. H. SCHADE, IND DBA GEM SHOP CO #32","1000000016027E0027","ID","110046596858","333913",43.56861,-116.59289,,"POF","Privately Owned Facility"
"ABS AUTO BODY SPECIALISTS","ID0000001600100261","ID","110005784936","811121",43.60823,-116.21187,,"POF","Privately Owned Facility"
"ACCURATE COLLISION SERVICES","ID0000001602100023","ID","110043513560","811121",48.68677,-116.31814,,"POF","Privately Owned Facility"
"ACE SUPPLY INC","ID0000001602700043","ID","110040493748","333111",43.67195,-116.70342,,"POF","Privately Owned Facility"
"ACI NORTHWEST 00284","ID0000001677700284","ID","110012798302","212321",47.7969501,-116.6602505,,"POF","Privately Owned Facility"
"ACME CONCRETE PAVING INC 00070","ID0000001677700070","ID","110042094177","327320",44.3020948,-114.5956254,,"POF","Privately Owned Facility"
"ACSYS INC","ID0000001605500075","ID","110040487853","326140",47.69994,-117.01091,,"POF","Privately Owned Facility"
"ACTION AGRICULTURE LLC","ID0000001677700501","ID","110046102356","311119",43.6560411,-116.9075226,,"POF","Privately Owned Facility"
"ACTION USED FURNITURE & APPLIANCE","100000001606900026","ID","110001851657","999999",46.41986,-117.022388,,"POF","Privately Owned Facility"
"ACU ROC CRUSHING 00338","ID0000001677700338","ID","110017374580","212321",44.3020948,-114.5956254,,"POF","Privately Owned Facility"
"ADA COUNTY LANDFILL - ACL & HHE","ID0000001600100195","ID","110018855041","562212",43.705695,-116.281228,,"CNG","County Government"
"ADA SAND & GRAVEL & CONST 00031","ID0000001677700031","ID","110012798348","212321",43.578056,-116.394444,,"POF","Privately Owned Facility"
"ADAMSON'S INC.","1000000016005E0013","ID","110020685258","333913",43.3097,-113.94585,,"POF","Privately Owned Facility"
"ADDISON COLLISION REPAIR","ID0000001608300144","ID","110046273368","811121",42.56383,-114.509578,,"POF","Privately Owned Facility"
"ADESA IDAHO LLC DBA ADESA BOISE","ID0000001600100325","ID","110064846127","811121",43.58396,-116.27371,,"NON","Non-Government"
"ADM/FARMLAND","ID0000001602900012","ID","110001331826","424510",42.573333,-111.737222,,"POF","Privately Owned Facility"
"AGPOWER JEROME LLC","ID0000001605300018","ID","110038040312","237130",42.855782,-114.464721,,"POF","Privately Owned Facility"
"AGRI-LINES IRRIGATION INC","ID0000001602700093","ID","110022292115","332996",43.7858,-116.94539,,"POF","Privately Owned Facility"
"AGROPUR INC DBA JEROME CHEESE CO","ID0000001605300003","ID","110001287615","311513",42.7096,-114.52652,0,"POF","Privately Owned Facility"
"AGSPRING IDAHO LLC","ID0000001607700004","ID","110001687096","424510",42.787856,-112.85414,,"POF","Privately Owned Facility"
"AGSPRING/THRESHER ARTISAN WHEAT 019-00015","ID0000001601900015","ID","110002060000","424510",43.51005,-112.05562,,"POF","Privately Owned Facility"
"ALK-ABELLO SOURCE MATERIALS","ID0000001605500072","ID","110043543243","325414",47.70339,-117.0051,,"POF","Privately Owned Facility"
"ALLEN JONES","1000000016035T0003","ID","110043699469","999999",46.4264239,-116.4217934,,"POF","Privately Owned Facility"
"ALTA MESA SERVICES","ID0000001607500018","ID","110067416077","211111 333132",43.917344,-116.814314,,"POF","Privately Owned Facility"
"ALTO MAGIC VALLEY","ID0000001603100032","ID","110035761912","325193",42.521324,-113.815693,3574,"POF","Privately Owned Facility"
