"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"1 HOUR CLEANERS","IL000031600GPP","IL","110018069819","812320",41.994753,-87.658989,,"POF","Privately Owned Facility"
"1 STOP AUTO SHOP","IL000167030AAH","IL","110028265035","339999 811121",39.68799,-89.70478,,"POF","Privately Owned Facility"
"1 STOP AUTO SHOP INC","IL000167810AAE","IL","110028263830","811121",39.89608,-89.6037,,"POF","Privately Owned Facility"
"1 STOP MINI MART","IL000097125AGA","IL","110018172671","339999",42.34129,-87.84476,,"POF","Privately Owned Facility"
"10 S RIVERSIDE PROPERTY OWNER LLC","IL000031600NST","IL","110070507539","339999",41.881385,-87.639118,,"POF","Privately Owned Facility"
"100 CLUB","IL000097420AAY","IL","110070360667","339999",42.402152,-88.186326,,"POF","Privately Owned Facility"
"1006 PEAR TREE LN","IL000031497AEH","IL","110070507556","339999",42.11843,-87.92868,,"POF","Privately Owned Facility"
"101 CORVETTE & BODY SHOP","IL000109035ABS","IL","110018412546","811121",40.45865,-90.66211,,"POF","Privately Owned Facility"
"108 SHELL","IL000135055AAI","IL","110070361696","447190",39.27869,-89.64728,,"POF","Privately Owned Facility"
"111TH ST SUPER SAVE - SUPER SAVE MART","IL000031600SJU","IL","110070684253","447190",41.6926,-87.62308,,"POF","Privately Owned Facility"
"1149 IRVING PARK REAL ESTATE INC BP","IL000043450ACH","IL","110070684155","447190",41.97298,-88.03116,,"POF","Privately Owned Facility"
"1150 W IRVING PARK REAL ESTATE INC MOBIL","IL000043450ACG","IL","110070683902","339999",41.97294,-88.0309,,"POF","Privately Owned Facility"
"119 N. YORK (VES/STRIPPER)","IL000043035ACW","IL","110001336091","339999",41.900468,-87.939969,,"POF","Privately Owned Facility"
"119TH STREET MATERIALS","IL000197080ADN","IL","110070507574","339999",41.663893,-88.179399,,"POF","Privately Owned Facility"
"120 CLEANERS","IL000111060ACY","IL","110070361061","812320",42.35193,-88.30638,,"POF","Privately Owned Facility"
"120 S RIVERSIDE PROPERTY OWNER LLC","IL000031600IBQ","IL","110009985999","339999",41.880088,-87.639076,,"POF","Privately Owned Facility"
"122 SOUTH MICHIGAN LLC","IL000031600BDH","IL","110007268651","531120",41.879909,-87.624927,,"POF","Privately Owned Facility"
"126TH I-55 FRONTAGE LLC - MACKLIN INC","IL000197415ABD","IL","110018319345","212312",41.638063,-88.159217,,"POF","Privately Owned Facility"
"12TH STREET AUTO SALES","IL000105490AAJ","IL","110070160076","811121",41.10606,-88.8354,,"POF","Privately Owned Facility"
"135 S LASALLE PROPERTY LLC","IL000031600CKE","IL","110009376889","522110",41.879789,-87.631675,,"POF","Privately Owned Facility"
"150 AUTOBODY INC","IL000179020AFC","IL","110005871351","811121",40.66012,-89.52739,,"POF","Privately Owned Facility"
"153 DRY CLEANERS","IL000043055AAY","IL","110001381727","812320",41.78829,-88.07438,,"POF","Privately Owned Facility"
"1547 CSR CHICAGO WELLS LLC","IL000031600GWW","IL","110040531877","541513",41.872624,-87.633287,,"POF","Privately Owned Facility"
"156TH COMMERCIAL AVENUE LLC","IL000031111AGR","IL","110071241083","339999",41.605713,-87.643563,,"POF","Privately Owned Facility"
"159 AUTO SVC INC","IL000031045ARX","IL","110070836866","339999",41.503309,-87.640925,,"POF","Privately Owned Facility"
"16 WEST QUICK SHOP","IL000083025ABX","IL","110070360013","339999",39.11608,-90.33012,,"POF","Privately Owned Facility"
"1616 CONDO ASSOCIATION","IL000031330ABB","IL","110018263617","531110",42.08785,-87.70137,,"POF","Privately Owned Facility"
"175 W JACKSON LLC","IL000031600GQY","IL","110022439440","531120",41.877508,-87.633296,,"POF","Privately Owned Facility"
"18 WHEELER DIESEL SERVICE","IL000031051AVJ","IL","110070160286","811121",41.84384,-87.75331,,"POF","Privately Owned Facility"
"1855 LLC","IL000031600GSV","IL","110025399940","322212",41.80774,-87.73309,,"POF","Privately Owned Facility"
"1ST CLEANERS OF BARRINGTON","IL000031408AAV","IL","110007560282","812320",42.149723,-88.124459,,"POF","Privately Owned Facility"
"2 & 92 TRUCK PARTS INC","IL000161810AAR","IL","110070102112","339999",41.538249,-90.396157,,"POF","Privately Owned Facility"
"2 STARS AUTO REBUILDERS","IL000031600QVQ","IL","110070159381","811121",41.808414,-87.685644,,"POF","Privately Owned Facility"
"2001 AUTOBODY SHOP","IL000031403AHT","IL","110070158935","811121",42.02252,-87.95353,,"POF","Privately Owned Facility"
"2001 EXPRESS MINI MART","IL000031600SLY","IL","110070684739","339999",41.793686,-87.663522,,"POF","Privately Owned Facility"
"2001 OIL CO DBA CLARK","IL000031201AIU","IL","110070836788","339999",42.054575,-87.825987,,"POF","Privately Owned Facility"
"2022 FOOD MART INC","IL000111060ADC","IL","110070359807","339999",42.342012,-88.237708,,"POF","Privately Owned Facility"
"204 AUTO BODY","IL000145015ABJ","IL","110070159724","811121",38.083062,-89.316175,,"POF","Privately Owned Facility"
"208 S JEFFERSON BLSG","IL000031600GST","IL","110027229791","339999",41.87886,-87.64255,,"POF","Privately Owned Facility"
"22 CLEANERS","IL000031234AJA","IL","110005917623","812320",42.15342,-88.028857,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC","IL000019010AGF","IL","110037140420","541940",40.122123,-88.279362,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC","IL000043110AAG","IL","110001345214","812220",41.771863,-87.96132,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC","IL000133015AAA","IL","110012169884","812210",38.291349,-89.967853,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC DBA FAMILYS PET CREMATION","IL000031403AAX","IL","110046594477","812210",42.135002,-87.988168,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC DBA METRO ANIMAL SVC","IL000197820AAE","IL","110001286242","541940",41.670042,-88.246773,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC DBA PAW PRINT GARDENS","IL000043806AAK","IL","110018131859","812210",41.90824,-88.149517,,"POF","Privately Owned Facility"
"222394536 DELAWARE LLC, DBA: METRO ANIMAL SERVICE","IL000089425AAH","IL","110024917090","812220",42.089877,-88.246156,,"POF","Privately Owned Facility"
"2233 WEST STREET LLC","IL000031285AGZ","IL","110071155266","339999",41.946339,-87.867123,,"POF","Privately Owned Facility"
"2425 BUSSE ROAD LLC","IL000043440AHQ","IL","110038104565","517911 518210",41.992655,-87.959384,,"POF","Privately Owned Facility"
"2430 N HALSTED LLC","IL000031600CPX","IL","110018248145","622110",41.926685,-87.649241,,"POF","Privately Owned Facility"
"25895 E CR 2560N","IL000125810AAA","IL","110070936708","339999",40.429653,-89.867011,,"POF","Privately Owned Facility"
"2617 AUTO REPAIR","IL000031600QVE","IL","110070159032","811121",41.84497,-87.62528,,"POF","Privately Owned Facility"
"26TH & AUSTIN INC","IL000031051AWI","IL","110012575089","447190",41.84353,-87.77336,,"POF","Privately Owned Facility"
"2920 CENTRAL LLC","IL000031081ART","IL","110005868720","339999 812320",42.06448,-87.71569,,"POF","Privately Owned Facility"
"2F INC","IL000165020AAO","IL","110001355373","424710",37.74108,-88.53775,,"POF","Privately Owned Facility"
"2GR ENTERPRISE INC","IL000031234AJD","IL","110070361243","339999",42.09561,-88.04377,,"POF","Privately Owned Facility"
"3 TEAM GROUP INC","IL000031600SHV","IL","110070684309","447190",41.88041,-87.75309,,"POF","Privately Owned Facility"
"3 WAY GAS STOP","IL000143805ABC","IL","110070360999","447190",40.589135,-89.677336,,"POF","Privately Owned Facility"
"300 EAST DEVON LLC","IL000043090AAF","IL","110028019560","311230 311919 311999",41.878178,-88.218796,,"POF","Privately Owned Facility"
"300 NORTH LASALLE LLC","IL000031600OQO","IL","110030768783","339999",41.888211,-87.632971,,"POF","Privately Owned Facility"
"315 CHICAGO","IL000197807AAN","IL","110070683775","339999",41.587844,-88.003564,,"POF","Privately Owned Facility"
"31ST STREET ENERGY LLC","IL000031817AAP","IL","110038508335","221112",41.834962,-87.916392,,"POF","Privately Owned Facility"
"320 STORE INC","IL000201030AZQ","IL","110014405250","445110",42.27473,-89.095715,,"POF","Privately Owned Facility"
"33191 US HWY 45 INC","IL000097025ACR","IL","110070360530","339999",42.345072,-88.004112,,"POF","Privately Owned Facility"
"3426 E 89TH ST LLC","IL000031600GNK","IL","110018172403","339999",41.733845,-87.541258,,"POF","Privately Owned Facility"
"345 PAKEY RD","IL000167805AAF","IL","110070936766","339999",39.797692,-89.502144,,"POF","Privately Owned Facility"
"350 EAST CERMAK ROAD A LLC","IL000031600GKH","IL","110012153310","517110 517311",41.854576,-87.618439,,"POF","Privately Owned Facility"
"360 TCS LLC","IL000043060ACZ","IL","110059725873","518210",41.845803,-88.007315,,"POF","Privately Owned Facility"
"3600 BLDG","IL000031600FCF","IL","110001343261","531110",41.94937,-87.64383,,"POF","Privately Owned Facility"
"360NETWORKS","IL000031600GMZ","IL","110013667790","517911",41.855014,-87.618916,,"POF","Privately Owned Facility"
"360NETWORKS","IL000163045AGH","IL","110013679901","517911",38.63874,-90.15381,,"POF","Privately Owned Facility"
"37TH STREET BAKERY","IL000031600GES","IL","110001344741","311812",41.825589,-87.705764,,"POF","Privately Owned Facility"
"39TH & ARCHER LLC","IL000031600GKV","IL","110012152491","926120",41.82376,-87.690729,,"POF","Privately Owned Facility"
"39TH LSD - CITY OF CHICAGO FLEET MGMT","IL000031600RXX","IL","110070684720","339999",41.82475,-87.60219,,"POF","Privately Owned Facility"
"3COM CORPORATION","IL000031195ADC","IL","110009736580","334210 334515",42.02643,-87.781346,,"POF","Privately Owned Facility"
"3M CO","IL000031012AAR","IL","110014059892","322222",41.766733,-87.805855,,"POF","Privately Owned Facility"
"3M COMPANY - MEDICAL DEVICE DIVISION","IL000043452AAT","IL","110018482998","334510",41.7951,-87.9321,,"POF","Privately Owned Facility"
"3M CORDOVA","IL000161807AAA","IL","110013886875","325130 325131 325211 325998",41.755,-90.284167,30581,"POF","Privately Owned Facility"
"3M SPECIALTY FILM & MEDIA PRODUCTS","IL000161807AAF","IL","110013886875","325130 325131 325211 325998",41.755,-90.284167,30581,"POF","Privately Owned Facility"
"3R MINERAL & MFG CO.","IL000031159ABK","IL","110038812069","423830",41.690613,-87.755681,,"POF","Privately Owned Facility"
"3STARS AUTOBODY & MUFFLER INC","IL000031600QNT","IL","110070159220","811121",41.968493,-87.704005,,"POF","Privately Owned Facility"
"4 B HOG CREEK FARMS","IL000065020ABB","IL","110016688636","112990",37.970331,-88.532671,,"POF","Privately Owned Facility"
"4 E PINE DBA WESTMONT CITGO","IL000043095ACN","IL","110070159415","447190",41.809781,-87.986018,,"POF","Privately Owned Facility"
"4 STAR CLEANERS","IL000031054AAY","IL","110005801203","812320",41.55713,-87.716162,,"POF","Privately Owned Facility"
"4 TOUCH OF CLASS AUTO BODY","IL000143065BOU","IL","110070161991","811121",40.785,-89.6134,,"POF","Privately Owned Facility"
"4 WAY MINI MART","IL000097190ANR","IL","110070683626","339999",42.36673,-87.84251,,"POF","Privately Owned Facility"
"4 WHEEL AUTO BODY","IL000201415ACH","IL","110005867516","811121",42.34021,-89.02003,,"POF","Privately Owned Facility"
"400 CONDOMINIUM ASSOCIATION, THE","IL000031600FZE","IL","110001304678","339999",41.88456,-87.61727,,"POF","Privately Owned Facility"
"403 E 2ND ST","IL000103020AFN","IL","110070361914","339999",41.843626,-89.478403,,"POF","Privately Owned Facility"
"416-18 W JEFFERSON","IL000167005AAO","IL","110070161623","811121",39.59183,-89.74622,,"POF","Privately Owned Facility"
"435 INC","IL000097095AAC","IL","110005944844","447190",42.199001,-87.931881,,"POF","Privately Owned Facility"
"443 W WRIGHTWOOD LIMITED PARTNERSHIP","IL000031600GBA","IL","110001337624","339999",41.93083,-87.64093,,"POF","Privately Owned Facility"
"4513 WESTERN AVENUE LLC","IL000043055AAZ","IL","110001935522","334210",41.802299,-88.095993,,"POF","Privately Owned Facility"
"4633 DOWNEY ACQUISITION LLC","IL000031186AAA","IL","110000431471","325611",41.91374,-87.86601,,"POF","Privately Owned Facility"
"47 ASPHALT CO/SUBSIDIARY OF K-FIVE CONSTRUCTION","IL000093010AAE","IL","110028286959","324121",41.480182,-88.448699,,"POF","Privately Owned Facility"
"47 CENTRAL AUTO REPAIR & SALES","IL000031300ACH","IL","110070161889","811121",41.80643,-87.76268,,"POF","Privately Owned Facility"
"4900 DREXEL COOPERATIVE APTS CORP","IL000031600EWO","IL","110001824125","531110",41.805484,-87.604278,,"POF","Privately Owned Facility"
"4949 CORPORATION","IL000031012AAL","IL","110013886893","531120",41.774638,-87.746704,,"POF","Privately Owned Facility"
"4RS AUTO SALE","IL000091005AAB","IL","110018188888","811121",41.090238,-87.810634,,"POF","Privately Owned Facility"
"5201 JACKSON INC","IL000031600SQK","IL","110070684498","447190",41.87664,-87.75532,,"POF","Privately Owned Facility"
