"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"14/69 AUTO BODY","0500000018003R0001","IN","110007571074","811121",41.07934,-85.21639,,"POF","Privately Owned Facility"
"2020 CUSTOM MOLDED PLASTICS LLC","IN0000001817900024","IN","110001354196","326199",40.73043,-85.19509,,,
"2700 REAL ESTATE HOLDINGS LLC","IN0000001803900182","IN","110000398944","336213",41.65804,-86.00308,,,
"3M HARTFORD CITY","IN0000001800900004","IN","110000402733","322220",40.450051,-85.355891,17042,,
"3M INDIANAPOLIS","IN0000001809700368","IN","110042001516","326150",39.89631,-86.25513,,"POF","Privately Owned Facility"
"A GROUP INCORPORATED DBA MPI RELEASE TECHNOLOGIES LLC","IN0000001805900023","IN","110044359306","322224",39.814877,-85.783094,,,
"A&J MANUFACTURING, LLC","0500018095R5002","IN","110070945579","811111",40.278978,-85.808363,,,
"AAA GALVANIZING - HAMILTON, INC.","IN0000001815100055","IN","110042008653","332812",41.5312,-84.93119,3951,"POF","Privately Owned Facility"
"AAH OF INDIANA LLC","IN0000001800100049","IN","110002115719","321992",40.81214,-84.93729,,"POF","Privately Owned Facility"
"AAR AIRCRAFT SERVICES INDIANAPOLIS","IN0000001809700559","IN","110000792296","488190",39.72393,-86.32306,,,
"ABBY ROCK, LLC.","IN0000001800300079","IN","110031467473","326199",41.08042,-85.16087,,"POF","Privately Owned Facility"
"ABOUTBIT, LLC - SITE 1","0500000018153R5001","IN","110071323957","561990",39.056275,-87.508707,,"POF","Privately Owned Facility"
"ABRA AUTO BODY & GLASS - BEECH GROVE","IN0000001809700631","IN","110041629887","811121",39.70911,-86.06357,,"POF","Privately Owned Facility"
"ABRA AUTO BODY & GLASS - LAWRENCE","IN0000001809700632","IN","110041629896","811121",39.85845,-85.9811,,"POF","Privately Owned Facility"
