"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" ENERGY CORPORATION OF AMERICA WELL #83798 API #1615900804","040002115900804","KY","110069567310","211111",37.5336807,-85.2929841,,,
"3A COMPOSITES USA","KY0000002100900060","KY","110000542084","326150 999999",37.00555,-85.94438,,"POF","Privately Owned Facility"
"3A COMPOSITES USA INC","KY0000002115700027","KY","110000380007","326130",36.86642,-88.35834,1588,"POF","Privately Owned Facility"
"3M CYNTHIANA","KY0000002109700021","KY","110000379634","322220",38.374346,-84.29449,27384,"POF","Privately Owned Facility"
"A O SMITH CORP","KY0000002111700140","KY","110000500020","325510",38.97251,-84.60932,410,"POF","Privately Owned Facility"
"A O SMITH ELECT PROD CO","KY0000002100300007","KY","110000380551","335312",36.738611,-86.202778,,"POF","Privately Owned Facility"
"AARHUSKARLSHAMN (AAK) K1","KYJFC0002111100291","KY","110000377985","311225",38.216202,-85.784844,9,"POF","Privately Owned Facility"
"ABRAPOWER INC","KY0000002101500142","KY","110035428409","327910",38.975816,-84.618137,,"POF","Privately Owned Facility"
"ACCURIDE CORPORATION","KY0000002110100030","KY","110071722761","332999",37.80548,-87.56714,,"POF","Privately Owned Facility"
"ADCOM WIRE CO","KY0000002111300012","KY","110000378966","331222",37.887068,-84.582238,,"POF","Privately Owned Facility"
"ADDINGTON BROS","KY0000002108900026","KY","110062731986","999999",38.4775197,-82.6505484,,"POF","Privately Owned Facility"
"ADIENT US LLC - GEORGETOWN PLANT","KY0000002120900020","KY","110000378804","336390",38.200167,-84.542778,14,"POF","Privately Owned Facility"
"ADVANCED DISPOSAL SERVICES BLUE RIDGE LANDFILL INC","KY0000002106500016","KY","110013945222","562212",37.71186,-83.97614,,"POF","Privately Owned Facility"
"ADVANCED DISPOSAL SERVICES MOREHEAD LANDFILL INC","KY0000002120500048","KY","110010724626","562212",38.18424,-83.55324,,"POF","Privately Owned Facility"
"AEROSPACE COMPOSITES SOLUTIONS INC","KY0000002103100066","KY","110071645497","336413",37.209758,-86.716427,,"POF","Privately Owned Facility"
"AESC BOWLING GREEN","KY0000002122700243","KY","110071861916","335911",37.042034,-86.28871,,"POF","Privately Owned Facility"
