"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"#1 TEST COMPRESSOR PORTABLE UNIT","LA0000002277700442","LA","110033672238","211111",30.8577705,-91.803273,,"POF","Privately Owned Facility"
"#2 TEST FORD B-2312 SN FP-50602 COMPRESS","LA0000002277700539","LA","110018857370","211111",30.8577705,-91.803273,,"POF","Privately Owned Facility"
"108 DISPOSAL LLC","LA0000002201900519","LA","110070936697","562211",30.24047,-93.32551,,,
"10900 RA SUA GAS SALES FACILITY - CUT OF","LA0000002205700260","LA","110033135284","211111",29.5162826,-90.3297135,,"POF","Privately Owned Facility"
"10900 RA SUA TANK BATTERY - CUT OFF FIEL","LA0000002205700261","LA","110033135293","211111",29.5162826,-90.3297135,,"POF","Privately Owned Facility"
"10H-1 PRODUCTION FACILITY - BLACKSMITH F","LA0000002208100060","LA","110043292184","211111",32.0258218,-93.3405899,,"POF","Privately Owned Facility"
"155 HP AJAX DPC-115 IC COMPRESSOR UNIT #","LA0000002277700630","LA","110037596848","211111",30.8577705,-91.803273,,"POF","Privately Owned Facility"
"1ST NATIONAL FARMS #4 PRODUCTION FACILIT","LA0000002211300187","LA","110007292624","211111",30.0096784,-92.5847737,,"POF","Privately Owned Facility"
"1ST ROANOKE DRYER","LA0000002205300026","LA","110033649906","999999",30.2371,-92.74796,,"POF","Privately Owned Facility"
"2 O'CLOCK BAYOU LAND CORP 13 #1 & 14 #1 TANK BATTERY","LA0000002209700082","LA","110043292870","211111 211120",30.4639402,-91.7875289,,,
"2383 PLATFORM - LITTLE LAKE FIELD","LA0000002205100331","LA","110037580089","211111",29.490833,-90.140833,,"POF","Privately Owned Facility"
"2R CONSTRUCTION MIDWAY SITE","LA0000002201700921","LA","110070945612","327992",32.47094,-93.77514,,,
"3 TEC #8 PRODUCTION FACILITY","LA0000002210100328","LA","110071251447","211111 211120",29.8721282,-91.5304982,,,
"30 HEADER PRODUCTION PLATFORM","LA0000002208700023","LA","110033661721","211111",29.9181102,-89.2634941,,"POF","Privately Owned Facility"
"3TEC #6 & #7 PRODUCTION FACILITY","LA0000002210100234","LA","110013390053","211111 211120",29.8454237,-91.5577618,,,
"4-D CORROSION CONTROL SPECIALIST INC","LA0000002204500089","LA","110009583897","999999",29.944437,-91.83641,,"POF","Privately Owned Facility"
"4-D CORROSION CONTROL SPECIALISTS INC","LA0000002204500029","LA","110003281403","332812",29.94395,-91.83958,,,
"4325 FRANCE ROAD","LA0000002207100078","LA","110071498790","488310",30.010014,-90.029081,,,
"442 OPERATING LA LLC - WRIGHT COMMINGLING FACILITY","LA0000002211300183","LA","110033667707","211111 211130 999999",29.7905448,-92.4205282,,,
"5 MCS 17 PAD","LA0000002203101505","LA","110043682627","211111 211120",31.9115128,-93.5149929,,,
"5400 RA SUA SAVOIE ET AL #1 FACILITY","LA0000002209700069","LA","110017762973","211111 211120",30.3880577,-92.1134531,,,
