"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" VINEYARD RELIABILITY LLC - WEST TISBURY FKA NRG CANAL LLC","MA0000002512000902","MA","110003501283","221112",41.371993,-70.684258,,"POF","Privately Owned Facility"
"1 BRISTOL COUNTY NATIONAL BANK","MA0000002512000004","MA","110002017399","522110",41.94465,-71.28356,,"POF","Privately Owned Facility"
"1 CLARK STREET NORTH ANDOVER LLC","MA0000002512100056","MA","110038960041","999999",42.72081,-71.12156,,"POF","Privately Owned Facility"
"100 & 200 CLARENDON LLC","MA0000002511900210","MA","110009594028","524113",42.349074,-71.075025,,"POF","Privately Owned Facility"
"100 FEDERAL STREET LP","MA0000002511903134","MA","110024300148","551111",42.35469,-71.0564,,"POF","Privately Owned Facility"
"100 MEMORIAL DRIVE ASSOCIATES","MA0000002511900803","MA","110002015480","531210",42.35952,-71.08627,,"POF","Privately Owned Facility"
"1010 MASSACHUSETTS AVENUE LLC","MA0000002511900858","MA","110040871900","339999",42.32745,-71.06743,,"STF","State Government"
"1017 SOUTHBRIDGE ASSOCIATES","MA0000002511800008","MA","110001957534","442110",42.2324,-71.81872,,"POF","Privately Owned Facility"
"102FW/SPTG-ESO MASS ANG BASE","MA0000002512000055","MA","110071722845","928110",41.65166,-70.52138,,"FDF","Federal Facility (U.S. Government)"
"112 BARNHAM RD LLC","MA0000002512100634","MA","110033139672","334413 541330",42.545686,-71.586284,,"POF","Privately Owned Facility"
"1366 TECHNOLOGIES","MA0000002511903722","MA","110067012707","334413",42.48174,-71.26314,,"POF","Privately Owned Facility"
"140 MATERIALS LLC","MA0000002512000456","MA","110039610622","324121",41.7851128,-71.0590468,,"POF","Privately Owned Facility"
"1415 HYDE PARK AVENUE LLC","MA0000002511901494","MA","110071498906","332312",42.25041,-71.12605,,"POF","Privately Owned Facility"
"15 NECCO STREET","MA0000002511904148","MA","110071642696","541711",42.349138,-71.051536,,"POF","Privately Owned Facility"
"160 FREMONT ST ASSOC LLC","MA0000002511800109","MA","110013869064","493110",42.242737,-71.824069,,"POF","Privately Owned Facility"
"1600 OSGOOD STREET LLC","MA0000002512100053","MA","110000309942","334210 531120",42.73063,-71.11278,,"POF","Privately Owned Facility"
"18 PHOENIX PARK LLC","MA0000002511800073","MA","110024762988","531110",42.54253,-71.64779,,"POF","Privately Owned Facility"
"18 TREMONT STREET","MA0000002511900423","MA","110007256405","531120",42.35873,-71.05992,,"POF","Privately Owned Facility"
"1ENERAL CABLE CORP","MA0000002504200540","MA","110013869073","331421",42.21963,-72.60758,,"POF","Privately Owned Facility"
"200 BERKLEY ST LLC","MA0000002511900129","MA","110002060750","524113",42.34996,-71.07243,,"POF","Privately Owned Facility"
"200 INNER BELT ROAD","MA0000002511901871","MA","110043856468","339999 541714",42.37768,-71.0837,,"POF","Privately Owned Facility"
"200 TECHNOLOGY SQUARE","MA0000002511903260","MA","110043954708","541711",42.363499,-71.091242,,"POF","Privately Owned Facility"
"2001 WASHINGTON ST LLC","MA0000002511900081","MA","110001947494","622110",42.17246,-71.01056,,"CTG","Municipality"
"21 MOTORSPORTS","MA0000002511801563","MA","110070945588","811111",42.40717,-71.68157,,,
"21ST CENTURY BIOCHEMICALS","MA0000002511903819","MA","110067012351","325411",42.3189,-71.59041,,"POF","Privately Owned Facility"
"226 CAUSEWAY STREET","MA0000002511901935","MA","110015975872","531120",42.36629,-71.05965,,"POF","Privately Owned Facility"
"275 WYMAN LLC HOBBS BROOK MANAGEMENT LLC","MA0000002511901174","MA","110024763291","531210",42.39756,-71.253799,,"POF","Privately Owned Facility"
"290 BINNEY STREET AZ","MA0000002511904284","MA","110072155855","325412",42.366264,-71.087409,,"COR","Corporation"
"300 BAKER LLC","MA0000002511907703","MA","110009248340","531120",42.45815,-71.38705,,"POF","Privately Owned Facility"
"330 BEACON STREET CONDO TRUST","MA0000002511900536","MA","110024375166","531110",42.35245,-71.08353,,"POF","Privately Owned Facility"
"38 CHAUNCY STREET LLC","MA0000002511901083","MA","110024352396","531210",42.353887,-71.05998,,"POF","Privately Owned Facility"
"380 UNION LLC","MA0000002504200762","MA","110001940525","221330",42.10108,-72.61431,,"POF","Privately Owned Facility"
"3D SYSTEMS CORPORATION","MA0000002512100745","MA","110057130901","334118",42.61181,-71.15956,,"POF","Privately Owned Facility"
"3M","MA0000002511902436","MA","110012466447","325520",42.163919,-70.901419,6224,"POF","Privately Owned Facility"
"3M CHELMSFORD","MA0000002512100145","MA","110000309737","326199",42.59504,-71.32118,0,"POF","Privately Owned Facility"
"3M TOUCH SYSTEMS","MA0000002512100413","MA","110012241047","334119",42.691499,-71.237492,,"POF","Privately Owned Facility"
"404 WYMAN LLC HOBBS BROOK MANAGEMENT","MA0000002511901173","MA","110007039034","531210",42.40998,-71.25518,,"POF","Privately Owned Facility"
"420 RUTHERFORD","MA0000002511904184","MA","110071820666","541710",42.37967,-71.071791,,"POF","Privately Owned Facility"
"431 WESTMINSTER LLC","MA0000002511800055","MA","110001134166","322121",42.56702,-71.84411,,"POF","Privately Owned Facility"
"4400 LTD PARTNERSHIP","MA0000002511800469","MA","110014398473","334111 531120",42.292318,-71.575749,,"POF","Privately Owned Facility"
"495 NETWORK CENTER","MA0000002512100406","MA","110013312931","334419",42.635487,-71.241951,,"POF","Privately Owned Facility"
"55 HOLDING COURT LLC","MA0000002511901527","MA","110002058969","522110 531190",42.35911,-71.05896,,"POF","Privately Owned Facility"
