"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"$1.75 CLEANERS MAX","MD0000002403102169","MD","110022394586","812320",39.07799,-77.14056,,"POF","Privately Owned Facility"
"$1.75 DRYCLEAN TOWN","MD0000002403102275","MD","110022404138","812320",39.11511,-77.165163,,"POF","Privately Owned Facility"
"130 SLADE ASSOCIATES","MD0000002400500944","MD","110001276672","531110",39.36686,-76.72101,,"POF","Privately Owned Facility"
"13TH STREET, 8060","MD0000002403100765","MD","110001280818","531120",38.98728,-77.02762,,"POF","Privately Owned Facility"
"14TH AVENUE, 8005 1/2","MD0000002403300444","MD","110019873038","531110",38.992574,-76.984292,,"POF","Privately Owned Facility"
"14TH AVENUE, 8016 1/2","MD0000002403300446","MD","110019873038","531110",38.992574,-76.984292,,"POF","Privately Owned Facility"
"14TH AVENUE, 8206 1/2","MD0000002403300894","MD","110019873038","531110",38.992574,-76.984292,,"POF","Privately Owned Facility"
"14TH AVENUE, 8211 1/2 (QUEBEC ARMS)","MD0000002403300022","MD","110019873038","531110",38.992574,-76.984292,,"POF","Privately Owned Facility"
"151 TIRE SYSTEMS","MD0000002401900116","MD","110019860765","326212",38.68819,-75.79426,,"POF","Privately Owned Facility"
"15TH AVENUE, 8100-8150","MD0000002403301606","MD","110002023248","531110",38.98368,-76.98511,,"POF","Privately Owned Facility"
"16TH STREET, 8201","MD0000002403100560","MD","110016724525","531110",38.99213,-77.03615,,"POF","Privately Owned Facility"
"16TH STREET, 8484-8510","MD0000002403100312","MD","110001783507","531110",38.99792,-77.03872,,"POF","Privately Owned Facility"
"16TH STREET, 8600","MD0000002403100216","MD","110001247687","531110",39.000473,-77.040057,,"POF","Privately Owned Facility"
"16TH STREET, 8900","MD0000002403100083","MD","110001783222","531110",39.00279,-77.04024,,"POF","Privately Owned Facility"
"19TH AVENUE, 9301","MD0000002403300081","MD","110001258406","531110",39.00836,-76.97783,,"POF","Privately Owned Facility"
"1ST CHOICE COLLISION","MD0000002403101666","MD","110001768819","811121",39.04481,-77.10966,,"POF","Privately Owned Facility"
"20TH STREET, WEST 11 (HABC)","MD0000002451001928","MD","110001797379","531110",39.312229,-76.616398,,"CNG","County Government"
"219 AUTO BODY","MD0000002402300071","MD","110002052402","811121",39.7128,-79.09323,,"POF","Privately Owned Facility"
"228 CLEANERS","MD0000002401700227","MD","110040627603","812320",38.64851,-76.95575,,"POF","Privately Owned Facility"
"23RD PARKWAY, 4301","MD0000002403300501","MD","110002022427","531110",38.835278,-76.960833,,"POF","Privately Owned Facility"
"23RD PARKWAY, 4311","MD0000002403300502","MD","110002022436","531110",38.835278,-76.960833,,"POF","Privately Owned Facility"
"23RD PARKWAY, 4427","MD0000002403300076","MD","110001941613","531110",38.8325,-76.960833,,"POF","Privately Owned Facility"
"24/7 COLLISION CARE & TRUCK SHOP","MD0000002400300821","MD","110001278705","811121",39.17735,-76.62235,,"POF","Privately Owned Facility"
"25TH STREET, EAST 35","MD0000002451000720","MD","110001853977","531110",39.317867,-76.616434,,"POF","Privately Owned Facility"
"25TH STREET, EAST 401 (HABC)","MD0000002451002113","MD","110001798074","531110",39.31804,-76.6111,,"CNG","County Government"
"27TH STREET, 4607","MD0000002403301678","MD","110002023346","531110",38.946591,-76.969519,,"POF","Privately Owned Facility"
"28TH AVENUE, 4203-4221","MD0000002403300079","MD","110001941631","531110",38.8325,-76.946944,,"POF","Privately Owned Facility"
"28TH PLACE, 4400","MD0000002403301651","MD","110001257238","531110",38.94418,-76.96972,,"POF","Privately Owned Facility"
"28TH STREET, 4216","MD0000002403301655","MD","110001257274","531110",38.941252,-76.968505,,"POF","Privately Owned Facility"
"29TH AVENUE, 5723","MD0000002403301205","MD","110001689735","531110",38.96111,-76.96698,,"POF","Privately Owned Facility"
"29TH AVENUE, 5729","MD0000002403301206","MD","110001998875","531110",38.963889,-76.967778,,"POF","Privately Owned Facility"
"29TH AVENUE, 5731","MD0000002403301207","MD","110001998884","531110",38.963889,-76.967778,,"POF","Privately Owned Facility"
"29TH STREET, 4608","MD0000002403301679","MD","110002023355","531110",38.946352,-76.968178,,"POF","Privately Owned Facility"
"29TH STREET, WEST 121 (HABC)","MD0000002451001654","MD","110001284388","531110",39.323293,-76.615081,,"CNG","County Government"
"2ND AVENUE, 8500","MD0000002403101660","MD","110001787040","531120",38.99478,-77.03016,,"POF","Privately Owned Facility"
"2ND AVENUE, 8510","MD0000002403101661","MD","110001787059","531120",38.994936,-77.030539,,"POF","Privately Owned Facility"
"301 BP/AMOCO","MD0000002401700222","MD","110027226552","447190",38.64696,-76.88836,,"POF","Privately Owned Facility"
"30TH STREET, 4700","MD0000002403301677","MD","110002023337","531110",38.94829,-76.96734,,"POF","Privately Owned Facility"
