"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"(DUPLICATE DON'T USE) H.C.CROOKER & SONS","ME0000002300100301","ME","110010390585","999999",43.9560209,-70.1324175,,"POF","Privately Owned Facility"
"(DUPLICATE DON'T USE) MORIN BRICK COMPANY - GORHAM","ME0000002300500195","ME","110002057844","327121 999999",43.69502,-70.403049,,"POF","Privately Owned Facility"
"(DUPLICATE) THE LANE CONSTRUCTION CORPORATION","ME0000002300300090","ME","110037130075","212321 324121",46.735888,-67.961127,,"POF","Privately Owned Facility"
"A & B FORESTRY, INC.","ME000ACIN000159","ME","110070144385","212321",44.50593,-70.67269,,"POF","Privately Owned Facility"
"A & M REDI-MIX INC.","ME000AGP164000026","ME","110070132742","327320",44.549446,-68.864325,,"POF","Privately Owned Facility"
"A. C. ELECTRIC CORP.","ME0000002301900919","ME","110024825377","335312",44.787411,-68.820996,,"POF","Privately Owned Facility"
"A. H. GROVER, INC.","ME0000002300500751","ME","110012171988","212321",43.7915,-70.251,,"POF","Privately Owned Facility"
"A. W. CHAFFEE","ME0000002301100636","ME","110039663780","999999",44.63913,-69.52295,,"POF","Privately Owned Facility"
"A.C. ELECTRIC CORP.","ME0000002300100916","ME","110003556811","335312",44.06834,-70.27493,,"POF","Privately Owned Facility"
"A.E. MCQUADE & SONS, INC.","ME0000002300300749","ME","110038930253","212312",46.6333043,-67.8476235,,"POF","Privately Owned Facility"
"ABBOT'S GENERAL STORE","ME0000002303112215","ME","110010390335","999999",43.5686097,-70.7442809,,"POF","Privately Owned Facility"
"ABBOTT DIAGNOSTICS SCARBOROUGH, INC.","ME000A001161","ME","110071231967","325413",43.66219,-70.36671,,"POF","Privately Owned Facility"
"ABBOTT DIAGNOSTICS SCARBOROUGH, INC.","ME000A001147","ME","110070616753","339113",43.5807,-70.36534,,"POF","Privately Owned Facility"
"AC LAWRENCE LEATHER","ME0000002301700006","ME","110007273020","316110",44.21817,-70.51413,,"POF","Privately Owned Facility"
"ACADIA HOSPITAL, CORP.","ME0000002301900011","ME","110001839182","622210",44.81999,-68.7623,,"POF","Privately Owned Facility"
"ACADIA NATIONAL PARK","ME0000002300900866","ME","110015742106","924120",44.336473,-68.060936,,"FDF","Federal Facility (U.S. Government)"
"ACCENT CLEANERS (RIVERSIDE STREET)","ME0000002300563062","ME","110000797479","812320",43.682799,-70.327822,,"POF","Privately Owned Facility"
"AFTERLIFE AFFECTIONS LLC","ME0000002300301081","ME","110055531795","812220",46.81925,-68.16612,,"POF","Privately Owned Facility"
"AGGREGATE RECYCLING CORPORATION","ME0000002303100481","ME","110013869527","999999",43.124151,-70.76394,,"POF","Privately Owned Facility"
"AHJRLLFG LLC","ME000A001150","ME","110070692854","221210",44.99658,-68.70436,,"POF","Privately Owned Facility"
"ALAN K. TOOTHAKER, V.M.D., P.A. D/B/A SMALL ANIMAL CLINIC","ME0000002300900032","ME","110007371058","541940",44.6858027,-68.3947977,,"POF","Privately Owned Facility"
"ALLIANCE PRINTERS, LLC","ME0000002300501090","ME","110070072187","323110",43.9054,-69.99971,,"POF","Privately Owned Facility"
"ALVIN J. COLEMAN & SON, INC.","ME000ACIN000133","ME","110063851434","212321",45.2143185,-68.3888946,,"POF","Privately Owned Facility"
"ALVIN J. COLEMAN & SON, INC.","ME000ACIN000136","ME","110063851434","212321",45.2143185,-68.3888946,,"POF","Privately Owned Facility"
"ALVIN J. COLEMAN & SON, INC.","ME0000002301100965","ME","110031156987","212319",44.31439,-69.80596,,"POF","Privately Owned Facility"
"AMERICAN CONCRETE INDUSTRIES, INC","ME0000002300101058","ME","110039667081","327320",44.08089,-70.27265,,"POF","Privately Owned Facility"
"AMERICAN CONCRETE INDUSTRIES, INC.","ME000AGP164000012","ME","110016666473","327320",44.86226,-68.72244,,"POF","Privately Owned Facility"
"AMERICAN PRIDE, LLC","ME0000002302100852","ME","110021131595","321999",45.17337,-69.35046,,"POF","Privately Owned Facility"
"AMERICAN TISSUE OF MAINE","ME0000002301100002","ME","110038944836","322121",44.32061,-69.76741,,"POF","Privately Owned Facility"
"ANDOVER WOOD PRODUCTS","ME0000002301700317","ME","110008435238","321999",44.643067,-70.75559,,"POF","Privately Owned Facility"
"ANGSTROM FIBER AUBURN, LLC","ME0000002300100678","ME","110038379064","313230 314110 326199",44.03582,-70.263234,,"POF","Privately Owned Facility"
"ANIMAL REFUGE LEAGUE OF GREATER PORTLAND","ME0000002300500846","ME","110016756893","812220",43.66532,-70.34622,,"POF","Privately Owned Facility"
"ANIMAL WELFARE SOCIETY, INC.","ME0000002303100076","ME","110039679755","812220",43.407778,-70.586944,,"POF","Privately Owned Facility"
"ANTHEM HEALTH PLANS OF MAINE, INC.","ME0000002300500637","ME","110003557669","524114",43.63566,-70.35042,,"POF","Privately Owned Facility"
"ANTHONY`S CLEANERS","ME0000002300563096","ME","110020579328","812320",43.80127,-70.18836,,"POF","Privately Owned Facility"
"APLUS SALES SERVICE INC.","ME000AEPA000007","ME","110070604459","811111",43.858588,-70.454831,,,
"APPALACHIAN KATAHDIN LLC","ME0000002300300620","ME","110039681724","321211",45.993854,-68.445706,,"POF","Privately Owned Facility"
"ARCHIE'S, INC.","ME0000002301700007","ME","110038948039","999999",44.5613568,-70.4137267,,"POF","Privately Owned Facility"
"AROOSTOOK CREMATORY, INC.","ME0000002300300746","ME","110007371192","812220",46.66707,-68.01148,,"POF","Privately Owned Facility"
"AROOSTOOK WASTE SOLUTIONS","ME0000002300300977","ME","110013917280","562212",46.86159,-67.90235,,"POF","Privately Owned Facility"
"AROOSTOOK WASTE SOLUTIONS","ME0000002300300997","ME","110043178343","562212",46.62691,-68.0497,,"CTG","Municipality"
"ATHENAHEALTH, INC.","ME0000002302700991","ME","110038040759","524114",44.4232,-69.0245,,"POF","Privately Owned Facility"
"ATLANTIC CUSTOM PROCESSORS, LLC","ME0000002300300007","ME","110044796888","311411",46.7762407,-67.859197,,"POF","Privately Owned Facility"
"AUBURN AGGREGATES, LLC","ME0000002300101125","ME","110070083316","212321",44.02638,-70.29675,,"POF","Privately Owned Facility"
"AUBURN ASPHALT LLC","ME0000002300100864","ME","110018853132","324121",44.0895127,-70.172095,,"POF","Privately Owned Facility"
