"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"00100024","MN000000270010002","MN","110070386249","212399",46.53781,-93.58027,,,
"04603 BECKER ASPHALT PLANT","MN0000002799000119","MN","110068013152","324121",45.175547,-93.5755317,,,
"04705 SIOUX ROCK ASPHALT PLANT","MN0000002799000333","MN","110071064127","324121",44.164052,-94.004002,,,
"133RD AIRLIFT WING MN AIR NATIONAL GUARD","MN0000002705300965","MN","110003796278","921190 928110",44.8913,-93.201442,,,
"1891 RNG LLC","MN0000002706700069","MN","110071666034","221210",45.172156,-95.206105,,,
"202 E 1ST LLC","MN0000002713700265","MN","110071064273","531312 811121",46.742928,-92.222497,,,
"21044 HERON","MN0000002703700364","MN","110003928545","337110",44.64407,-93.23447,,,
"3M - ABRASIVE SYSTEMS DIVISION","MN0000002712300386","MN","110038957545","327910",44.96487,-93.061099,,"POF","Privately Owned Facility"
"3M - ADMINISTRATIVE OFFICES - MAPLEWOOD","MN0000002712300694","MN","110035810799","322220",44.950588,-92.996081,14143,,
"3M - ALEXANDRIA","MN0000002704100003","MN","110000427244","327910",45.86861,-95.37826,84500,,
"3M - BLDG 17 - COTTAGE GROVE","MN0000002716300065","MN","110000423667","221320 313230 322220 323110 325199 325520 325998 326113 326130 326199 327212 327910 334419 339991 339999 562213",44.789444,-92.908333,19807,"POF","Privately Owned Facility"
"3M - BUILDING 76","MN0000002712300491","MN","110003795812","313230",44.943068,-93.07467,,,
"3M - FAIRMONT","MN0000002709100008","MN","110000426824","313230",43.65784,-94.44754,,"POF","Privately Owned Facility"
"3M - HUTCHINSON VIDEO & AUDIO - N BLDG","MN0000002708500003","MN","110000425059","322220 327910 334610 334613",44.879677,-94.359598,167902,"POF","Privately Owned Facility"
"3M - MENDOTA HEIGHTS","MN0000002703700139","MN","110001443448","327999 541715",44.86603,-93.1474,,"POF","Privately Owned Facility"
"3M - R&D FACILITY","MN0000002712300015","MN","110035810799","322220",44.950588,-92.996081,14143,,
"3M - SAINT PAUL MAIN PLANT","MN0000002712300016","MN","110001850426","322220",44.963714,-93.063486,,,
"3M - WOODBURY - BLDG 518","MN0000002716300099","MN","110000798799","326113 541715",44.921917,-92.966291,,,
"3M CHEM CONSUMER PRD","MN0000002716300027","MN","110000423667","221320 313230 322220 323110 325199 325520 325998 326113 326130 326199 327212 327910 334419 339991 339999 562213",44.789444,-92.908333,19807,"POF","Privately Owned Facility"
