"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"1ST CAPITOL CLEANERS","MO0000002918300170","MO","110001467911","812320",38.78331,-90.49458,,"POF","Privately Owned Facility"
"3G ROCK PARTNERS GRAVOIS MILLS","MO0000002914100020","MO","110028007760","212312",38.2434186,-92.8491461,,"POF","Privately Owned Facility"
"3M COMPANY SPRINGFIELD","MO0000002907700051","MO","110000444886","325520",37.21287,-93.2272,19011,"POF","Privately Owned Facility"
"3M NEVADA-COMMERCIAL GRAPHICS","MO0000002921700004","MO","110000443805","326113",37.834476,-94.330625,136518,"POF","Privately Owned Facility"
"40 & 7 LAUNDRY & DRYCLEANING","MO0000002909500253","MO","110001465726","812320",39.00914,-94.27348,,"POF","Privately Owned Facility"
"5 STAR CLEANERS","MO0000002909100078","MO","110037602822","812320",36.73058,-91.876233,,"POF","Privately Owned Facility"
"601 DIRECT PRINT AND MAIL SERVICES","MO0000002918300045","MO","110001454809","322232",38.80498,-90.6631,,"POF","Privately Owned Facility"
"7 MATERIALS CORP - 85TH STREET","MO0000002909502123","MO","110001466093","327320",38.97415,-94.55577,,"POF","Privately Owned Facility"
"76 MATERIAL COMPANY","MO0000002907100089","MO","110001454514","327332",38.48411,-90.73376,,"POF","Privately Owned Facility"
"7TH HEAVEN CREMATORY","MO0000002915900061","MO","110037600664","812220",38.859061,-93.075988,,"POF","Privately Owned Facility"
"7TH HEAVEN CREMATORY","MO0000002901500029","MO","110042495895","812220",38.463941,-93.209297,,"POF","Privately Owned Facility"
"8707 E MORRELL PROPERTY","MO00000029095C0023","MO","110007103678","221112",39.1102,-94.47964,,"POF","Privately Owned Facility"
"90 MINUTE DRYCLEANERS","MO0000002909502136","MO","110009414311","812320",39.05664,-94.58579,,"POF","Privately Owned Facility"
"94 AUTOHAUS","MO00000029183C0017","MO","110012167680","611110",38.775582,-90.515002,,"POF","Privately Owned Facility"
"A & A BUMPER PLATING INC","MO0000002909500248","MO","110001465094","332813",39.10677,-94.46534,,"POF","Privately Owned Facility"
"A & B LAUNDRY & DRY CLEANERS","MO0000002920100107","MO","110001467975","812320",36.878151,-89.58667,,"POF","Privately Owned Facility"
"A ALL APPLIANCE INC","MO00000029189C0026","MO","110001468055","327320",38.61226,-90.342991,,"POF","Privately Owned Facility"
"A AND B LUMBER COMPANY","MO0000002909100039","MO","110007105328","321920",36.7010549,-91.8563346,,"POF","Privately Owned Facility"
"A OKAY APARTMENTS","MO00000029183C0015","MO","110012167671","531110",38.812348,-90.51322,,"POF","Privately Owned Facility"
"A&D AUTO CARE","MO00000029510C0023","MO","110001468527","811111",38.58056,-90.24433,,"POF","Privately Owned Facility"
"A-1 CLEANERS & LAUNDRY","MO0000002951001362","MO","110001452883","812320",38.62781,-90.25086,,"POF","Privately Owned Facility"
"A-1 PAINTING/POWDER CTNG/SANDBLASTNG CO","MO0000002909502451","MO","110040627024","332812",39.09705,-94.49413,,"POF","Privately Owned Facility"
"A-K SALES & SERVICE INC","MO00000029189C0051","MO","110001468572","811111",38.54125,-90.27923,,"POF","Privately Owned Facility"
