"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3 RIVERS FLOORING","MS0000002811900038","MS","110006625072","321211",34.241333,-90.272389,,,
"48FORTY SOLUTIONS LLC, SITE 239-JACKSON","MS0000002804900272","MS","110072101870","321920",32.33755,-90.23977,,,
"51 CONCRETE LLC, MCKEESON PLANT","MS0000002803310287","MS","110043178815","999999",34.980648,-89.77771,,,
"A J CONSTRUCTION INC, GALLATIN PLANT","MS0000002804900268","MS","110070685956","324121",32.268188,-90.195444,,,
"A PETS MEMORY PET FUNERAL HOME AND CREMATORY","MS0000002804700193","MS","110041352826","812220",30.384172,-89.080019,,,
"A PETS MEMORY PET FUNERAL HOME AND CREMATORY","MS0000002804700192","MS","110040497218","812220",30.446967,-88.913622,,,
"A-1 QUALITY CLEANERS","MS00000028147DC001","MS","110010344804","999999",32.6864655,-89.6561493,,"POF","Privately Owned Facility"
"A1 PALLET COMPANY","MS0000002804900217","MS","110038352234","321920",32.31188,-90.19067,,"POF","Privately Owned Facility"
"ABB INSTALLATION PRODUCTS INC","MS0000002803300024","MS","110000375745","335931",34.98536,-89.999,,,
"ABB MOTORS AND MECHANICAL INC","MS0000002808700065","MS","110024417709","335312",33.47829,-88.44085,81,,
"ABBY MANUFACTURING LLC","MS0000002814500042","MS","110000766261","332112 999999",34.477056,-88.991639,,,
"AC POLYMERS INC","MS0000002809300054","MS","110071722600","325211",34.870253,-89.669006,,,
"ACCO BRANDS USA LLC","MS0000002811700004","MS","110000891278","321999",34.677167,-88.558889,,,
"ACME FRAME PRODUCTS INC","MS0000002813500013","MS","110007648894","999999",33.907191,-90.324407,,,
"ACTION INDUSTRIES INC, SALTILLO","MS0000002808100032","MS","110007109949","999999",34.353333,-88.696611,,,
"ADCAMP INC","MS0000002812100006","MS","110002226458","324121",32.304789,-90.141564,,,
"ADCOMM GRAPHICS","MS0000002808100068","MS","110001472040","999999",34.261676,-88.703702,,,
"ADLAM FILMS LLC","MS0000002808100136","MS","110030740857","322221",34.154722,-88.708069,,,
"ADLAM FILMS, LLC","MS0000002808100131","MS","110030740857","322221",34.154722,-88.708069,,,
"ADVANCED DISTRIBUTOR PRODUCTS LLC","MS0000002804300031","MS","110000376174","333415",33.835842,-89.80835,0,,
"AIR CRUISERS COMPANY, LIBERTY, DIX DRIVE","MS0000002800500024","MS","110000496856","326299",31.175261,-90.793594,,,
"AIR VENT INC","MS0000002802300034","MS","110001472326","332510",32.167667,-88.827167,,,
"AIRBUS HELICOPTERS INC","MS0000002808700062","MS","110016752316","336411",33.45589,-88.58335,,,
"AIRLINE MANUFACTURING COMPANY INC","MS0000002808700001","MS","110021166174","337122",33.48883,-88.3841,,,
"AITX RAILCAR SERVICES LLC,  BROOKHAVEN FACILITY","MS0000002808500054","MS","110056160960","488210",31.59777,-90.43284,,,
"AITX RAILCAR SERVICES, LLC","MS0000002803700019","MS","110002061704","488210",31.459583,-90.837778,,,
"AJ CONSTRUCTION, INC. - HAZLEHURST PLANT","MS0000002802900078","MS","110071642673","324121",31.8353248,-90.4672832,,,
"AKZO NOBEL COATINGS INC","MS0000002804900088","MS","110061718020","325510",32.36262,-90.36249,,,
"AL KO KOBER CORPORATION","MS0000002808100130","MS","110020054563","336340",34.479167,-88.666306,,,
"ALABAMA METAL PRODUCTS INC","MS0000002801103025","MS","110038956216","999999",33.66971,-90.98838,,"POF","Privately Owned Facility"
"ALACO OF MISSISSIPPI INC","MS0000002813900015","MS","110002475544","999999",34.772949,-88.917931,,,
"ALBANY INDUSTRIES INC, NEW ALBANY FACILITY","MS0000002814500050","MS","110061067713","326150",34.526283,-89.03439,,,
"ALL STAR CLEANERS","MS00000028081DC001","MS","110002203160","999999",34.222629,-88.774588,,"POF","Privately Owned Facility"
"ALLENS INC, PLANT NUMBER 5","MS0000002813300057","MS","110002212891","311421",33.44275,-90.4945,,,
"ALLIED ELECTROPLATING INC","MS0000002815500013","MS","110000900295","999999",33.525839,-89.286389,,,
"ALP LIGHTING COMPONENTS INC, OLIVE BRANCH FACILITY","MS0000002803300106","MS","110043218238","999999",34.988194,-89.800222,,,
"ALPEK POLYESTER MISSISSIPPI INC","MS0000002804500039","MS","110000602410","325211",30.233028,-89.561667,86826,,
"ALPLY ARCHITECTURAL BUILDING SYSTEMS LLC","MS0000002806900006","MS","110008509738","332312",32.779556,-88.677,,,
"ALTER TRADING CORPORATION - SARDIS","MS0000002810700034","MS","110044666484","423930",34.4181274,-89.9287723,,,
"ALUMINUM DYNAMICS, LLC","MS0000002808700091","MS","110071369395","331315",33.470546,-88.589964,,,
"AMAZON DATA SERVICES INC, MADISON MEGA SITE","MS0000002808900098","MS","110071424758","518210 999999",32.58749,-90.09539,,,
"AMCAST INDUSTRIAL CORPORATION","MS0000002807500041","MS","110062749799","331524",32.411417,-88.631944,,"POF","Privately Owned Facility"
"AMCO MANUFACTURING COMPANY, LLC","MS0000002816300011","MS","110002218537","333111",32.841128,-90.43445,,,
"AMERICAN CAR CARE CENTER","040000002804940154","MS","110010345000","999999",32.28652,-90.20912,,"POF","Privately Owned Facility"
"AMERICAN CAR CARE CENTERS","040000002877740122","MS","110010345000","999999",32.28652,-90.20912,,"POF","Privately Owned Facility"
"AMERICAN COMMERCIAL CHINA","MS0000002804700052","MS","110038343682","327112",30.3526,-89.19781,,"POF","Privately Owned Facility"
"AMERICAN EXPLORATION COMPANY","MS0000002815300024","MS","110008502129","999999",31.6843735,-88.6682963,,,
"AMERICAN MIDSTREAM MISSISSIPPI LLC, BAZOR RIDGE TREATING FACILITY","MS0000002815300034","MS","110002053474","211112",31.541667,-88.64,,,
"AMERICAN MIDSTREAM MISSISSIPPI LLC, BISHOP COOLEY PIGGING STATION","MS0000002815300026","MS","110008513705","999999",31.824167,-88.697222,,,
"AMERICAN MIDSTREAM MISSISSIPPI LLC, LAKE COMO COMPRESSOR STATION","MS0000002806100022","MS","110008514125","999999",31.960304,-89.183409,,,
"AMERICAN MIDSTREAM MISSISSIPPI LLC, WEST NANCY COMPRESSOR STATION","MS0000002802300026","MS","110008514134","486210",31.955278,-88.901028,,,
"AMERICAN PACKAGING","MS0000002814700047","MS","110016795636","326111",31.113861,-90.133361,,,
"AMERICAN PAPER TUBE COMPANY","MS0000002802100002","MS","110000376469","322214",31.950842,-90.976944,,,
"AMERICAN PRINTING AND CONVERTING LLC","MS0000002811300066","MS","110016777228","999999",31.23623,-90.45169,,,
"AMERICAN TANK & VESSEL, INC","0400000028039EPA01","MS","110002208575","336399",30.915944,-88.554694,936,"POF","Privately Owned Facility"
"AMICK FARMS LLC","MS0000002806700027","MS","110002225985","311119",31.755833,-89.071389,,,
"AMITE BIOENERGY LLC, WOOD PELLET MANUFACTURING FACILITY","MS0000002800500031","MS","110055654162","321999",31.184917,-91.035611,23901,,
"AMR SERVICES CORPORATION","MS0000002812100059","MS","110007108959","999999",32.3158308,-90.2128226,,,
