"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"ABSALOKA MINE","MT0000003000300002","MT","110011605263","212111 212114",45.813533,-107.081049,,"POF","Privately Owned Facility"
"ABSAROKEE #054-1","MT0000003009500003","MT","110001474501","486210",45.537217,-109.430862,,"POF","Privately Owned Facility"
"ACE AUTO REPAIR","080000003004990001","MT","110001474333","999999",46.61648,-112.03698,,"POF","Privately Owned Facility"
"ADF INDUSTRIAL COATINGS","MT0000003001300043","MT","110064433251","332312",47.631766,-111.3288702,,"POF","Privately Owned Facility"
"AIR CONTROLS CO.","0800000030111X0909","MT","110039624243","238220",45.78716,-108.49789,,"POF","Privately Owned Facility"
"AIR LIQUIDE","080000003004900904","MT","110004001776","325120",46.5807,-111.91443,,"POF","Privately Owned Facility"
"ALBIN 24X-28","MT0000003008300040","MT","110071642698","211111",47.80551,-104.41469,,"COR","Corporation"
"ALBIN FARMS 31X-31","MT0000003008300039","MT","110071642621","211111",47.80331,-104.45153,,"COR","Corporation"
"ALBIN FARMS 34X-32","MT0000003008300041","MT","110071642702","211111",47.76221,-104.43015,,"COR","Corporation"
"ALLIED WASTE SYSTEMS","MT0000003006300015","MT","110001474351","562212",46.898312,-114.013149,,"POF","Privately Owned Facility"
"ALOE VENTURES FACILITY","MT0000003010100018","MT","110040966602","486210",48.67754,-111.94888,,"POF","Privately Owned Facility"
"ANACONDA SLAG PROCESSING PLANT","MT0000003002300005","MT","110070666894","327992",46.099089,-112.889074,,"POF","Privately Owned Facility"
"ANDERSON STEEL SUPPLY INC.","0800000030013X0002","MT","110011048552","332312",47.52091,-111.24064,,"POF","Privately Owned Facility"
"ASH GROVE CEMENT","MT0000003004300001","MT","110000595197","327310",46.54448,-111.92062,53,"POF","Privately Owned Facility"
"ASSOCIATED FOOD STORES, INC.","080000003004900907","MT","110001474967","493120",46.60209,-111.9922,,"POF","Privately Owned Facility"
"AUGUSTA MAIN LINE #3 (STA 051)","MT0000003004900013","MT","110020374726","486210",47.498263,-112.140795,,"POF","Privately Owned Facility"
"AUTOMOTIVE SPECIALTIES","080000003008500902","MT","110007112855","999999",48.09464,-105.64029,,"POF","Privately Owned Facility"
"AXMEN RECYCLING","0800000030063X0001","MT","110043210922","423930",46.943168,-114.135406,,"POF","Privately Owned Facility"
"BAINVILLE STATION","MT0000003008500003","MT","110001474066","486210",48.16895,-104.24769,,"POF","Privately Owned Facility"
"BAKER PLANT","MT0000003002500001","MT","110002405013","211111 211112 486210",46.38395,-104.2564,,"POF","Privately Owned Facility"
"BAKKEN GATHERING PLANT","MT0000003008300038","MT","110021036635","486210",47.78953,-104.26187,,"POF","Privately Owned Facility"
"BARRETTS MILL","MT0000003000100002","MT","110007654172","327992",45.136111,-112.731944,,"POF","Privately Owned Facility"
"BARRICK GOLDEN SUNLIGHT MINE","MT0000003004300002","MT","110000428564","212220 212221",45.898056,-112.010556,42,"POF","Privately Owned Facility"
"BASIN CREEK POWER SERVICES","MT0000003009300018","MT","110038100435","221112",45.929741,-112.525104,,"POF","Privately Owned Facility"
"BASIN ELECTRIC POWER COOPERATIVE","MT0000003008500061","MT","110040484641","221112",48.210353,-104.391886,,"POF","Privately Owned Facility"
"BATTLE CREEK COMPRESSOR STATION - BLAINE COUNTY","MT0000003000500009","MT","110001977834","486210",48.5260033,-109.198574,,"POF","Privately Owned Facility"
"BELL CREEK CENTRAL FACILITY","MT0000003007500005","MT","110046594146","211111 211120",45.113056,-105.085693,,"POF","Privately Owned Facility"
"BIG SKY INSULATION INC","MT0000003003100015","MT","110001474994","326140",45.78043,-111.19111,,"POF","Privately Owned Facility"
"BIG SKY TRUCK & EQUIPMENT","0800000030063X0002","MT","110046462314","423930",46.8693223,-114.0103464,,"POF","Privately Owned Facility"
"BILLINGS BAKERY","MT0000003011100028","MT","110020333003","311812",45.74989,-108.54519,,"POF","Privately Owned Facility"
"BILLINGS CITY LANDFILL","080000003011100904","MT","110071325804","562212",45.72433,-108.54514,,"CTG","Municipality"
"BILLINGS REFINERY","MT0000003011100011","MT","110043806085","324110",45.776389,-108.484444,70843,"POF","Privately Owned Facility"
"BILLINGS TRANSPORTATION OPERATIONS","MT0000003011100039","MT","110037609442","424710",45.783734,-108.494885,,"POF","Privately Owned Facility"
"BLACK BUTTE COPPER PROJECT","MT0000003005900005","MT","110070882115","212230",46.77165,-110.9151,,"POF","Privately Owned Facility"
"BLACKFEET TRIBAL HEADQUARTERS","080000003003500902","MT","110022883227","541990",48.5521486,-113.0019267,,"TRB","Tribal Government"
"BLAINE COUNTY #1","MT0000003000500001","MT","110001474173","486210",48.4226,-109.4213,,"POF","Privately Owned Facility"
"BOZEMAN PRODUCT TERMINAL","MT0000003003100012","MT","110020298701","424710",45.700003,-111.041649,,"POF","Privately Owned Facility"
"BREAKS 17-20 1H","080000003008300001","MT","080000003008300001","211111",48.011452,-104.38801,,"COR","Corporation"
"BROOKMAN 1","080000003008500006","MT","110071294254","211111",48.412847,-105.43315,,"COR","Corporation"
"BROWN'S AUTO SERVICE","080000003011100906","MT","110001474592","811111",45.77706,-108.54486,,"POF","Privately Owned Facility"
"BROWNING LANDFILL","080000003003500901","MT","110010345858","999999",48.5521486,-113.0019267,,"CTG","Municipality"
"BSB DEER LODGE SITE","MT0000003007700003","MT","110072142058","221117",46.38735,-112.74445,,"POF","Privately Owned Facility"
"BULLWINKLE YAHOO 4-1-HSU","080000003008300002","MT","110071876410","211111",47.790186,-104.40324,,"COR","Corporation"
"BUREAU INDIAN AFFAIRS (BIA) ASPHALT PLNT","080000003011100901","MT","110001474510","324121",45.78547,-108.50546,,"FDF","Federal Facility (U.S. Government)"
"BURLINGTON-NORTHERN RAILROAD","080000003004980001","MT","110064749474","482111",46.5954652,-112.0187458,,"POF","Privately Owned Facility"
"BUTCH'S APPLIANCE CENTER","080000003006300912","MT","110007112908","999999",46.85779,-114.01744,,"POF","Privately Owned Facility"
"BUTTE HIGHLANDS PROJECT","MT0000003009300020","MT","110044797547","212220 212221",45.791177,-112.516156,,"POF","Privately Owned Facility"
"C&L TRUCK REPAIR","080000003011180001","MT","110010345590","999999",45.7895184,-108.5498909,,"POF","Privately Owned Facility"
"C.K. MAY EXCAVATING, INC.","0800000030031X0021","MT","110039598575","238910",45.7941,-111.20873,,"POF","Privately Owned Facility"
"CALUMET MONTANA REFINING","MT0000003001300004","MT","110000428500","324110 325199",47.523611,-111.294167,84597,"POF","Privately Owned Facility"
"CARL WEISSMAN & SONS","080000003011100907","MT","110001474609","999999",45.77561,-108.51145,,"POF","Privately Owned Facility"
"CHARLIE CREEK COMPRESSOR STATION","MT0000003008300037","MT","110018861070","486210",47.83393,-104.62508,,"POF","Privately Owned Facility"
"CHRISTIANSEN 14X 9","080000003008300003","MT","110071876302","211111",47.762172,-104.28838,,"COR","Corporation"
"CHS BIG SKY- KERSHAW","MT0000003001500005","MT","110069216921","325314",47.809156,-110.739943,,"POF","Privately Owned Facility"
"CHS FARMERS ELEVATOR - MACON","080000003008500008","MT","110071293566","211111",48.10972,-105.51833,,"COR","Corporation"
"CHS INC REFINERY LAUREL","MT0000003011100012","MT","110000595124","324110",45.655694,-108.766306,144472,"POF","Privately Owned Facility"
"CHS INC.","MT0000003002100003","MT","110001092923","424710",47.09973,-104.75903,,"POF","Privately Owned Facility"
"CHS MOUNTAIN WEST CO-OP - KALISPELL","MT0000003002900036","MT","110070083320","325314 493130",48.20952,-114.3066,,"POF","Privately Owned Facility"
"CITY OF BILLINGS REGIONAL LANDFILL","MT0000003011100047","MT","110071325804","562212",45.72433,-108.54514,,"POF","Privately Owned Facility"
"CITY OF HELENA TRANSFER STATION","080000003004900902","MT","110001474930","999999",46.604292,-112.041352,,"CTG","Municipality"
"CITY OF WOLF POINT ASPHALT PLANT","080000003008500903","MT","110001474832","324121",48.094146,-105.640022,,"CTG","Municipality"
"CIY/COUNTY SANITATION SERVICES","080000003004300901","MT","110012372770","999999",46.548264,-111.921693,,"POF","Privately Owned Facility"
"CLEAR LAKE STATION","MT0000003009100001","MT","110002456388","486210",48.699001,-104.311401,,"POF","Privately Owned Facility"
"COBB STORAGE FIELD STATION 017","MT0000003003500009","MT","110001474217","486210",48.797514,-112.242249,,"POF","Privately Owned Facility"
"COLSTRIP ENERGY LTD PARTNERSHIP","MT0000003008700007","MT","110041886144","221112",45.97549,-106.65532,,"POF","Privately Owned Facility"
"COLSTRIP STEAM ELECTRIC STATION","MT0000003008700008","MT","110041982520","221112",45.8829,-106.61297,229573,"POF","Privately Owned Facility"
"COLSTRIP UNITS 3 AND 4","080000003008700001","MT","110071293985","333611",46.4206746,-106.3658533,,"COR","Corporation"
"COLUMBIA FALLS ALUMINUM","MT0000003002900012","MT","110011868354","331313",48.395833,-114.136111,,"POF","Privately Owned Facility"
"COMMTECH SERVICES, INC.","0800000030049X0001","MT","110041352979","425120",46.58945,-111.92488,,"POF","Privately Owned Facility"
"COMPRESSOR STATION #2","080000003008500901","MT","110043792802","486210",48.41684,-105.537225,,"COR","Corporation"
"CONRAD COOLING & HEATING","080000003007380001","MT","110062724066","999999",48.16914,-111.95523,,"POF","Privately Owned Facility"
"CUT BANK FIELD STATION 025","MT0000003003500008","MT","110007111696","486210",48.695,-112.956001,,"POF","Privately Owned Facility"
"DAVE GATES GENERATING STATION AT MILL CREEK","MT0000003002300002","MT","110043693964","221112",46.103004,-112.873336,23529,"POF","Privately Owned Facility"
"DEPARTMENT OF CORRECTIONS - STATE PRISON","080000003007700901","MT","110001474823","922140",46.396977,-112.754421,,"STF","State Government"
"DIAMOND HILL MINE","MT0000003000700006","MT","110064589253","212220 212221",46.320318,-111.679014,,"POF","Privately Owned Facility"
"DILLON LANDFILL","080000003000100901","MT","110013331064","221320",45.232292,-112.710469,,"CNG","County Government"
"DRY CREEK FIELD STATION 056","MT0000003000900002","MT","110007375599","486210",45.252998,-109.195999,,"POF","Privately Owned Facility"
"EAGLE CTB","080000003008300004","MT","110072081532","211111",47.953881,-104.10275,,"COR","Corporation"
"ENCORE - ELK BASIN NORTHWEST BATTERY NO. 12","MT0000003000900005","MT","110020581299","211111 211130",45.024965,-108.92384,,"POF","Privately Owned Facility"
"EUREKA PELLET MILLS","MT0000003005300010","MT","110010427644","321999",48.9116,-115.068,,"POF","Privately Owned Facility"
"FIBERGLASS STRUCTURES","MT0000003011100034","MT","110020581315","326199",45.66781,-108.76309,,"POF","Privately Owned Facility"
"FIBERGLASS STRUCTURES - TANK DIVISION","MT0000003011100036","MT","110027374632","326199",45.667556,-108.754892,,"POF","Privately Owned Facility"
"FLANAGAN'S AUTO FITNESS CENTER","080000003006300906","MT","110001474798","441110",46.85424,-114.01181,,"POF","Privately Owned Facility"
"FLAT IRON 1-8-32-12","080000003003500002","MT","110071294112","211111",48.543751,-113.18598,,"COR","Corporation"
"FLATHEAD COUNTY SOLID WASTE DISTRICT","MT0000003002900029","MT","110013889140","562212",48.3105,-114.3453,,"CNG","County Government"
