"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3A COMPOSITES USA INC.","NC0000003704900121","NC","110000351299","322220",35.808333,-80.944722,,"POF","Privately Owned Facility"
"3A FRONT STREET ** INACTIVE **","NC0000003704900195","NC","110009716138","322299",35.7884,-80.922,,"POF","Privately Owned Facility"
"3C STORE FIXTURES, INC.","NC0000003709800226","NC","110033185595","337110 337215",35.739783,-77.876783,,"POF","Privately Owned Facility"
"3F CHIMICA AMERICA'S, INC.","NCMEC0003711900025","NC","110006825347","325998",35.27772,-80.87519,,"POF","Privately Owned Facility"
"3M MONROE - SCOTT FIRE AND SAFETY","NC0000003709000187","NC","110012146640","339112 339113",35.015733,-80.641116,,"POF","Privately Owned Facility"
"3M PITTSBORO - INDUSTRIAL MINERAL PRODUCTS","NC0000003701900104","NC","110056955022","327992",35.660933,-79.167316,43,"POF","Privately Owned Facility"
"3M SANFORD - PLANT 11 ** INACTIVE **","NC0000003705300135","NC","110016752389","323111",35.45978,-79.13219,,"POF","Privately Owned Facility"
"40 LCID, LLC (ACI)","NC0000003704900343","NC","110071655142","562213",35.77839,-80.98065,,"POF","Privately Owned Facility"
"401 MOYE BOULEVARD REALTY TRUST DST","NC0000003707400307","NC","110056435843","221111",35.61539,-77.4001,,"POF","Privately Owned Facility"
"84 LUMBER CO.","NCMEC0237","NC","110071667226","423310",35.282098,-80.905918,,,
"A. M. HAIRE MANUFACTURING & SERVICE CORPORATION","NC0000003702900273","NC","110001485651","336211",35.89163,-80.10486,,"POF","Privately Owned Facility"
"A. MCGEE WOOD PRODUCTS, INC.","NC0000003701400227","NC","110066860999","321920",35.80686,-81.44537,,"POF","Privately Owned Facility"
"A.O. SMITH CORPORATION ** INACTIVE **","NC0000003700100201","NC","110062730175","335312",36.08492,-79.26283,,"POF","Privately Owned Facility"
"AAR AIRCRAFT SERVICES GREENSBORO","NC0000003704100042","NC","110022402103","336411",36.091882,-79.934032,,"POF","Privately Owned Facility"
"AAR CORPORATION-GOLDSBORO ** INACTIVE **","NC0000003709600265","NC","110030744871","332439",35.368666,-77.922466,,"POF","Privately Owned Facility"
"ABB ** INACTIVE **","NC0000003703300192","NC","110055520066","335311",35.80227,-77.6412,0,"POF","Privately Owned Facility"
"ABB - KINGS MOUNTAIN ** INACTIVE **","NC0000003702300312","NC","110001135487","335312",35.24917,-81.40746,,"POF","Privately Owned Facility"
"ABB, INC. ** INACTIVE **","NC0000003704100050","NC","110001495882","335931",36.07276,-79.75116,,"POF","Privately Owned Facility"
"ABB-SHELBY PLANT ** INACTIVE **","NC0000003702300380","NC","110046239673","332212 335312",35.26377,-81.47156,0,"POF","Privately Owned Facility"
"ABERDEEN FABRICS, INC.","NC0000003706300105","NC","110043963440","313311",35.12333,-79.429683,,"POF","Privately Owned Facility"
"ABHW CONCRETE","NC0000003700700144","NC","110028716806","327320",35.597547,-77.121838,,"POF","Privately Owned Facility"
"ABLE PLATING COMPANY ** INACTIVE **","NC0000003703600306","NC","110018542237","332813",35.27527,-81.22377,,"POF","Privately Owned Facility"
"ABT FOAM","NC0000003704900307","NC","110037610751","326140",35.77077,-80.85115,,"POF","Privately Owned Facility"
"ACCU-FAB, INC.","NC0000003709200807","NC","110018783351","332322",35.79051,-78.5738,,"POF","Privately Owned Facility"
"ACCUMED CORPORATION - MOCKSVILLE FACILITY ** INACTIVE **","NC0000003703000064","NC","110070005196","339112",35.92857,-80.59222,,"POF","Privately Owned Facility"
"ACE INDUSTRIAL SAND, LLC ** INACTIVE **","NC0000003707700099","NC","110067383753","212322",34.87936,-79.74492,,"POF","Privately Owned Facility"
"ACME ELECTRIC CORPORATION ** INACTIVE **","NC0000003707800001","NC","110000350012","335313",34.60389,-79.09931,,"POF","Privately Owned Facility"
"ACME FACE VENEER COMPANY ** INACTIVE **","NC0000003702900001","NC","110001485358","321211",35.770296,-80.303294,,"POF","Privately Owned Facility"
"ACME MCCRARY CORP. NORTH STREET FINISHING PLANT","NC0000003707600001","NC","110001480594","315111 315120",35.70713,-79.81515,,"POF","Privately Owned Facility"
"ACME-MCCRARY CORP. - PRITCHARD STREET PLANT","NC0000003707600002","NC","110001480601","315111 315120",35.728462,-79.78653,,"POF","Privately Owned Facility"
"ACME-MCCRARY CORPORATION - SILER CITY PLANT ** INACTIVE **","NC0000003701900021","NC","110018634450","313312",35.73173,-79.44759,,"POF","Privately Owned Facility"
"ACTEGA NORTH AMERICA, INC.","NC0000003702300405","NC","110071524393","325510",35.24892,-81.40908,,"POF","Privately Owned Facility"
"ACTIVATED CARBON LLC ** INACTIVE **","NC0000003703500085","NC","110070684782","325998",36.09752,-78.31558,,"POF","Privately Owned Facility"
"ACTIVE ENERGY RENEWABLE POWER ** INACTIVE **","NC0000003707800242","NC","110070824198","321999",34.58842,-79.00633,,"POF","Privately Owned Facility"
"ACX PACIFIC NORTHWEST, INC ** INACTIVE **","NC0000003709600276","NC","110056299214","111940",35.38326,-78.01426,,"POF","Privately Owned Facility"
"ADAMS AN OLD CASTLE COMPANY - LILESVILLE","NC0000003700400005","NC","110037983983","327390",34.959495,-79.957461,0,"POF","Privately Owned Facility"
"ADAMS AN OLDCASTLE COMPANY","NC0000003704100004","NC","110001490823","327331",36.08561,-79.71329,0,"POF","Privately Owned Facility"
"ADAMS AN OLDCASTLE COMPANY","NC0000003706500329","NC","110012146267","327331",34.35581,-77.86779,0,"POF","Privately Owned Facility"
"ADAMS AN OLDCASTLE COMPANY - MORRISVILLE","NC0000003709200071","NC","110018517924","327331",35.84563,-78.83716,0,"POF","Privately Owned Facility"
"ADAMS PRODUCTS - CONCRETE BLOCK PLANT","NC0000003704300097","NC","110038457675","327331",35.26943,-78.63434,0,"POF","Privately Owned Facility"
