"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"1 MONITOR DRIVE","NH0000003301300118","NH","110007132708","511110",43.27298,-71.56333,,"POF","Privately Owned Facility"
"100 INTERNATIONAL, LLC","NH0000003301590955","NH","110040627140","561990",43.07436,-70.80097,,"POF","Privately Owned Facility"
"118 PORTSMOUTH AVE BLD D","NH0000003301500184","NH","110071407786","621111",43.01859,-70.91678,,"POF","Privately Owned Facility"
"12 INNOVATION OWNER LLC","NH0000003301500153","NH","110070222731","333244",42.915555,-71.438123,,"POF","Privately Owned Facility"
"14 CENTRAL PARK LLC","NH0000003301300003","NH","110001523646","524114 531312",43.04344,-71.47136,,"POF","Privately Owned Facility"
"140 BURKE SUBSIDIARY LLC","NH0000003301100018","NH","110041746064","333249",42.752831,-71.444732,,"POF","Privately Owned Facility"
"145 TEMPLE STREET, LLC - GREENRIDGE LLC","NH0000003301100290","NH","110071374593","324121",42.76205,-71.45354,,"POF","Privately Owned Facility"
"155 DOW ST CONDOMINIUM ASSOCIATION","NH0000003301191137","NH","110001524342","531312",42.99735,-71.46738,,"POF","Privately Owned Facility"
"166 CORPORATE DRIVE, LLC","NH0000003301590814","NH","110012201189","334614",43.077532,-70.793511,,"POF","Privately Owned Facility"
"175 CANAL STREET, LLC","NH0000003301100234","NH","110069329337","531390",42.99054,-71.46308,,"POF","Privately Owned Facility"
"273 CORPORATE DRIVE, LLC","NH0000003301590815","NH","110012147925","531120",43.07089,-70.79794,,"POF","Privately Owned Facility"
"300 BEDFORD ST BUILDING OWNER, LLC","NH0000003301100032","NH","110001521853","531120",42.99115,-71.46693,,"POF","Privately Owned Facility"
"33 SOUTH COMMERCIAL ST LLC","NH0000003301100142","NH","110001522200","531312",42.983889,-71.467778,,"POF","Privately Owned Facility"
"3M COMPANY INC.","NH0000003300100003","NH","110004089548","322220",43.45835,-71.54551,,"FDF","Federal Facility (U.S. Government)"
"40 BUTTRICK ROAD, LLC","NH0000003301590902","NH","110040627122","621111",42.85034,-71.36046,,"POF","Privately Owned Facility"
"6 TRAFALGAR","NH0000003301100280","NH","110070814990","561990",42.78691,-71.50595,,"POF","Privately Owned Facility"
"7 HOLLAND WAY","NH0000003301500183","NH","110071407807","621111",42.980218,-70.919227,,"POF","Privately Owned Facility"
"75 NEW HAMPSHIRE, LLC","NH0000003301590956","NH","110040627159","561990",43.083761,-70.810702,,"POF","Privately Owned Facility"
"8 COMMERCE DRIVE, LLC","NH0000003301191262","NH","110069327552","531390",42.92837,-71.46505,,"POF","Privately Owned Facility"
"875 ELM STREET, LLC","NH0000003301191215","NH","110017739429","515120",42.99055,-71.46308,,"POF","Privately Owned Facility"
"A & B TYPESETTERS INC.","NH0000003301390013","NH","110006425920","323120",43.17185,-71.52707,,"POF","Privately Owned Facility"
"A C LAWRENCE LEATHER","NH0000003300500021","NH","110062735802","316110",42.78101,-72.38672,,"POF","Privately Owned Facility"
"A E HILL CONSTRUCTION","NH0000003300500019","NH","110007131567","212319",42.907778,-72.31,,"POF","Privately Owned Facility"
"A PLUS FINISHING, INC.","NH0000003301100102","NH","110001523584","332813",42.704625,-71.416498,,"POF","Privately Owned Facility"
"AAVID THERMALLOY, LLC","NH0000003300100006","NH","110000313740","334413",43.54687,-71.491314,0,"POF","Privately Owned Facility"
"ABENAKI TIMBER CORPORATION","NH0000003301590893","NH","110031177312","423310",43.0394,-71.13153,,"POF","Privately Owned Facility"
"ACLARA METERS LLC","NH0000003301700018","NH","110000314197","334515",43.259257,-70.862083,,"POF","Privately Owned Facility"
"ACME STAPLE COMPANY","NH0000003301300008","NH","110007132076","332618",43.458409,-71.653688,,"POF","Privately Owned Facility"
"ADVANCED CIRCUIT TECHNOLOGY","NH0000003301100147","NH","110001522237","334419",42.73858,-71.49099,,"POF","Privately Owned Facility"
"ADVANCED ENERGY","NH0000003301190931","NH","110001524663","335314",42.825144,-71.751529,,"POF","Privately Owned Facility"
"ADVANCED METAL FINISHING INC","NH0000003301590524","NH","110038962450","332812",42.775522,-71.239244,,"POF","Privately Owned Facility"
"AERODYNAMICS, LLC","NH0000003301590629","NH","110008995301","332813",42.886709,-70.886393,0,"POF","Privately Owned Facility"
"AGGREGATE INDUSTRIES MANAGEMENT, INC./FARMINGTON","NH0000003301700005","NH","110007133048","212311",43.40258,-71.032927,,"POF","Privately Owned Facility"
"AGGREGATE INDUSTRIES MANAGEMENT, INC./MANCHESTER","NH0000003301100033","NH","110013336407","212311",43.020943,-71.495778,,"POF","Privately Owned Facility"
"AJ NONWOVENS-HAMPTON, LLC","NH0000003301500076","NH","110000884017","313230",42.945699,-70.845662,,"POF","Privately Owned Facility"
"AL CU MET, INC.","NH0000003301590259","NH","110032724069","331529",42.91679,-71.42003,0,"POF","Privately Owned Facility"
"AL-GOR SHOE CORP","NH0000003301700029","NH","110024243503","316210",43.30092,-70.97249,,"POF","Privately Owned Facility"
"ALBANY ENGINEERED COMPOSITES INC","NH0000003301790285","NH","110004105655","313210",43.28289,-70.92193,,"POF","Privately Owned Facility"
"ALCAMI, AMHERST NH","NH0000003301100292","NH","110071407832","493110",42.80396,-71.56937,,"POF","Privately Owned Facility"
"ALDEN & BRODEN CORPORATION","NH0000003301100249","NH","110009421955","332812",42.79113,-71.51978,,"POF","Privately Owned Facility"
"ALLEN ROGERS CORPORATION","NH0000003300900009","NH","110062725751","321999",43.86796,-71.909289,,"POF","Privately Owned Facility"
"ALLEN ROGERS LIMITED","NH0000003300100016","NH","110038823486","321999",43.52686,-71.4718,,"POF","Privately Owned Facility"
"ALLENSTOWN AGGREGATE","NH0000003301390521","NH","110027229112","212321",43.12858,-71.42743,,"POF","Privately Owned Facility"
"ALLENSTOWN, TOWN OF - WASTEWATER TREATMENT FACILITY","NH0000003301390532","NH","110001103369","221320",43.128668,-71.45804,,"CTG","Municipality"
"ALLIED LEATHER CORP.","NH0000003301300036","NH","110001522861","316110",43.282141,-71.599467,,"POF","Privately Owned Facility"
"ALLTEX UNIFORM RENTAL SERVICE, INC","NH0000003301590736","NH","110042289109","812320",43.07171,-70.77271,,"POF","Privately Owned Facility"
"ALTON SHOE COMPANY","NH0000003301700033","NH","110007132450","316998",43.39471,-71.06594,,"POF","Privately Owned Facility"
"ALVIN J. COLEMAN & SON, INC.","NH0000003300390167","NH","110020497167","212321",43.9641,-71.14491,,"POF","Privately Owned Facility"
"AMATEX CORP","NH0000003300190050","NH","110001524878","314999",43.546197,-71.490856,,"POF","Privately Owned Facility"
