"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" ADM COCOA PRODUCTS","NJ0000003401500084","NJ","110000321027","311812",39.69783,-75.128,,"POF","Privately Owned Facility"
" J&N AUTO REPAIR","NJ00032526","NJ","110070029148","811121",40.90884,-74.15896,,"POF","Privately Owned Facility"
" SOMERSET SHOPRITE","NJ00036416","NJ","110071369200","445110",40.530712,-74.537807,,"COR","Corporation"
"1 EVERTRUST PLAZA","NJ00012149","NJ","110067571657","531312",40.71831,-74.03708,,"COR","Corporation"
"1 HR VALET CLEANERS","020000003402300513","NJ","110029910737","812320",40.593113,-74.240969,,"POF","Privately Owned Facility"
"1-9 HARRISON AVENUE CORPORATION","020000003401310007","NJ","110001544017","999999",40.79538,-74.22852,,"POF","Privately Owned Facility"
"10 75 EMERGENCY LIGHTING LLC","NJ00000032620","NJ","110070624520","811198",41.02277,-74.297866,,"COR","Corporation"
"10 KENSINGTON AVE APARTMENTS","NJ0000003401712404","NJ","110024827464","531110",41.8189583,-74.2360822,,"POF","Privately Owned Facility"
"101 HUDSON LEASING ASSOCIATES","NJ0000003401711530","NJ","110001546248","321999",40.71601,-74.03424,,"POF","Privately Owned Facility"
"101 METTLERS ROAD LLC","NJ0000003403535270","NJ","110004266231","999999",40.51983,-74.56602,,"POF","Privately Owned Facility"
"1011 MORRIS AVENUE URBAN RENEWAL","NJ0000003403941708","NJ","110000319183","325412",40.685435,-74.231063,,"POF","Privately Owned Facility"
"11-VI OPTOELECTRONIC DEVICES INC","NJ0000003403535967","NJ","110006170838","334413",40.63392,-74.5044,,"POF","Privately Owned Facility"
"115 SJ INVESTORS LLC","NJ0000003402726158","NJ","110029985853","531390",40.81638,-74.44268,,"POF","Privately Owned Facility"
"140 EAST RIDGEWOOD AVENUE","NJ00004000","NJ","110071941575","621111",40.963885,-74.072659,,"COR","Corporation"
"150 PIERCE ST LLC","NJ00035441","NJ","110071894099","531390",40.528665,-74.522048,,"COR","Corporation"
