"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"A&B ASBESTOS ABATEMENT INC","0900000032003R9787","NV","110062723806","212319",36.08399,-115.19453,,"POF","Privately Owned Facility"
"A-1 PLATING","0900000032003R9720","NV","110001564085","332813",36.06923,-114.99709,,"POF","Privately Owned Facility"
"A.R.E. INC - FERNLEY","NV00000032001MAC01","NV","110021084547","336214",39.605993,-119.199831,,"POF","Privately Owned Facility"
"A.R.E., INC.","NV00000032019N1132","NV","110030742748","333319",39.6708429,-119.0064086,,"POF","Privately Owned Facility"
"AA 1 PLATING","09000000001NV003","NV","110060284348","332813",36.06922,-114.99593,,,
"ABC PLATING","0900000032031R9793","NV","110000805282","332813",39.52139,-119.75861,,"POF","Privately Owned Facility"
"ACCIONA ENERGY NEVADA SOLAR ONE","0900020250210RP2","NV","110071903164","221114",35.793043,-114.97879,,"NON","Non-Government"
"ACH FOAM TECHNOLOGIES, LLC","NV00000032029N2299","NV","110041530581","326150",39.55026,-119.54215,,"COR","Corporation"
"ADVANCED MATERIALS GROUP - METALLURGICAL OPERATIONS","NV00000032001N3134","NV","110059827479","331492",39.62872,-118.78353,,"COR","Corporation"
"AERVOE-PACIFIC CO","NV00000032005N0163","NV","110011395551","325510",38.92565,-119.69961,599,"POF","Privately Owned Facility"
"AIR LIQUIDE LARGE INDUSTRIES, US, LP","NV00000032007N0133","NV","110006532644","325120",40.719013,-116.1080447,,,
"AIRPORT RENT A CAR CENTER","NVCCH00032003A1540","NV","110072172719","457120 532111",36.06033,-115.16338,,"CNG","County Government"
"ALCOA SIERRA MICROMILLS","NV00000032029N1128","NV","110059856357","331319",39.55677,-119.53555,,"POF","Privately Owned Facility"
"AMERICAN BUILDINGS COMPANY","NV00000032510N1070","NV","110059853680","332311",39.2046,-119.74053,,"COR","Corporation"
"AMERICAN POLISHING & PLATING","09000000002NV003","NV","110070560453","332813",36.06692,-115.02455,,,
"AMOR IV CORP & STILLWATER","NV00000032001N0197","NV","110041130834","221119 999999",39.555686,-118.838077,,"POF","Privately Owned Facility"
"AMRIZE SOUTHWEST, INC. ","NVCCH00032003A0372","NV","110006533028","212321",36.3918059,-115.6830197,,"POF","Privately Owned Facility"
"APEX GENERATING STATION","NVCCH00032003A1520","NV","110027827207","221112",36.4099,-114.9603,,"POF","Privately Owned Facility"
"APEX MATERIALS, LLC","NVCCH00032003A8132","NV","110071941634","212321",36.20986,-115.07114,,,
