"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"*CLSD DUP - CURRAN ","NY0000006405800123","NY","110071670643","332811",44.90821,-74.89001,,,
"*CLSD DUP. SEE: NY0000006405000141 ","NY0000006401200111","NY","110008051268","922140",44.67126,-75.46193,,,
"06-AK J BARGO","NY0000003553400113","NY","110019836007","999999",41.10753,-73.80303,,"POF","Privately Owned Facility"
"06-F6F FINCH'S SS","NY0000003553600035","NY","110019417932","999999",41.18927,-73.73214,,"POF","Privately Owned Facility"
"06-F98 NEW CASTLE SS","NY0000003553600049","NY","110019837060","999999",41.15838,-73.76529,,"POF","Privately Owned Facility"
"06-GAR PSM GARAGE","NY0000003555400059","NY","110019837122","999999",41.27743,-73.78278,,"POF","Privately Owned Facility"
"06-GCL PORT CHESTER SS","NY0000003554800066","NY","110019837177","999999",40.99448,-73.67421,,"POF","Privately Owned Facility"
"06-GGN O'DELL'S SS","NY0000003551800572","NY","110019837195","999999",40.96413,-73.87244,,"POF","Privately Owned Facility"
"06-VF8 HAINES RD SS","NY0000003552000076","NY","110019837239","999999",41.23828,-73.70128,,"POF","Privately Owned Facility"
"1 BEACH 105TH ST BUILDING","NY0000002630900050","NY","110007155719","531110",40.582135,-73.82559,,"POF","Privately Owned Facility"
"1 BROADWAY BUILDING","NY0000002620600472","NY","110019837248","531110",40.70486,-74.01402,,"POF","Privately Owned Facility"
"1 E 66TH ST BUILDING","NY0000002620400522","NY","110019414739","531110",40.7686,-73.96976,,"POF","Privately Owned Facility"
"1 EAST END AVE BUILDING","NY0000002620401064","NY","110019414864","531110",40.77054,-73.94796,,"POF","Privately Owned Facility"
"1 GRACIE TER BLDG","NY0000002620401048","NY","110030731732","531110",40.77199,-73.94612,,"POF","Privately Owned Facility"
"1 HANSON PLACE","NY0000002610300278","NY","110040465608","531110",40.68511,-73.97762,,"POF","Privately Owned Facility"
