"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" MESA ASSOCIATES, INC - CUYAHOGA FALLS 1","0500039153R5001","OH","110070665696","541330",41.14339,-81.470698,,,
"1041 LAKE RD.","OH0000001652050232","OH","110070132989","488490 999999",41.11299,-81.89472,,,
"1090 BOARDMAN POLAND LLC LEHIGH GAS","OH0000000250070680","OH","110030745674","447190",41.02423,-80.63395,,,
"110 NILES CORTLAND WARREN, LLC LEHIGH GAS","OH0000000278080502","OH","110030745763","447190",41.23803,-80.7405,,,
"1130 IVANHOE RD GROUP LLC","OH0000001318008848","OH","110063886549","212319 562119",41.55143,-81.57295,,,
"1130 IVANHOE ROAD GROUP, LLC","OH0000001318008847","OH","110063879879","237310 562119",41.54979,-81.57065,,,
"1290 E MARKET WARREN LLC LEHIGH GAS","OH0000000278080521","OH","110030745781","447190",41.23642,-80.80119,,,
"130TH VALERO INC.","OH0000001318006881","OH","110024837177","447190",41.44725,-81.77971,,,
"131ST FOODS INC","OH0000001318228302","OH","110061082527","447190",41.43585,-81.59151,,,
"15002 PURITAS, LLC DBA SPEEDY GAS","OH0000001318008268","OH","110009626501","447190 457110",41.43368,-81.80163,,,
"1530 E 40TH ST, LLC","OH0000001318000005","OH","110001129644","332813",41.5133,-81.66167,,,
"178 FIGHTER WING, OHIO AIR NATIONAL GUARD","OH0000000812720352","OH","110013287264","928110",39.846599,-83.730343,,,
"179TH CYBERSPACE WING, OHIO AIR NATIONAL GUARD","OH0000000370010190","OH","110000815351","336413",40.81165,-82.51305,,,
"2168 WEST 25TH STREET","OH0000001318000538","OH","110004589927","999999",41.48215,-81.70174,,,
"2279 ARLINGTON, LLC","OH0000001677000553","OH","110009633183","447190 457110",41.00959,-81.49195,,,
"2285 ASHLAND ROAD","OH0000001318008872","OH","110067427671","423320",41.49673,-81.64507,,,
"2670 ROBBINS NILES LLC LEHIGH GAS","OH0000000278060511","OH","110030745807","999999",41.18207,-80.71845,,,
"2720 SALT SPRINGS GIRARD LLC LEHIGH GAS","OH0000000278000731","OH","110030745790","447190",41.143182,-80.722037,,,
"3 SIGMA LLC","OH0000000855140498","OH","110004726501","322222",40.050341,-84.242343,,,
"3 SIGMA LLC PLANT 3","OH0000000123010434","OH","110000381989","322222",39.73456,-82.66827,,,
"3020 CARNEGIE, LLC DBA CARNEGIE SHELL","OH0000001318006846","OH","110016686415","447190",41.49997,-81.6665,,,
"31 INC.","OH0000000679000284","OH","110000493412","326299",40.2814,-81.56784,,,
"310 BOARDMAN CANFIELD YOUNGSTOWN LLC LEHIGH GAS","OH0000000250000687","OH","110030745647","447190",41.02444,-80.67284,,,
"311 W. ELY ST","OH0000001576015021","OH","110071141768","999999",40.92431,-81.11089,,,
"3510 E 116TH, LLC DBA UNION SUNOCO","OH0000001318006177","OH","110042259944","447190",41.46341,-81.60288,,,
"3602 MAHONING YOUNGSTOWN LLC LEHIGH GAS","OH0000000250110827","OH","110030745380","999999",41.10293,-80.71141,,,
"3G CUSTOMS","OH0000000302022033","OH","110069569657","999999",40.686526,-84.14522,,,
"3M ELYRIA","OH0000000247040822","OH","110000385459","325211",41.375556,-82.138889,,,
"3M MEDINA","OH0000001652050059","OH","110000388900","322222",41.11369,-81.89472,14495,,
"3M PRECISION OPTICS","OH0000001413000327","OH","110000497025","333314",39.06557,-84.25645,,,
