"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"#1 COCHRAN (MONROEVILLE)","PAACH0004200300084","PA","110001207934","441110",40.43894,-79.76271,,"POF","Privately Owned Facility"
"#1 COCHRAN (PITTSBURGH)","PAACH0004200300085","PA","110001023295","441110",40.44196,-80.15669,,"POF","Privately Owned Facility"
"1 HOUR PARKS CLNR/BROOKHAVEN","PA000639358","PA","110006432360","812320",39.870221,-75.384122,,"NON","Non-Government"
"1 HR DOWNTOWN DRY CLNR/INDIANA","PA000651791","PA","110001071991","812320",40.622963,-79.153547,,"POF","Privately Owned Facility"
"11:11 SYSTEMS (SUNGARD RECOVERY SVC INC/BROAD ST PHILA)","PAPAM0004210103321","PA","110038444528","541512",39.95958,-75.16205,,"POF","Privately Owned Facility"
"1501 PROGRESS CLEANERS","PAPAM0004210101742","PA","110013671767","812310",39.97657,-75.15832,,"POF","Privately Owned Facility"
"15TH STRET EXXON","PA0000004207740016","PA","110001043763","447110",40.60717,-75.4933,,"POF","Privately Owned Facility"
"1ST BLUE BELL CLNR/BLUE BELL","PA000654660","PA","110071723817","812320",40.150023,-75.305541,,"NON","Non-Government"
"1ST CUSTOM CLNR/PENNSBURG","PA000639118","PA","110071722351","812320",40.39284,-75.50031,,"COR","Corporation"
"2000 KUBACH","PAPAM0004210102010","PA","110070029427","523930",40.1128,-74.99758,,,
"202 CLNRS/DRY CLEANING OPR","PA000669050","PA","110024420205","812320",39.875744,-75.544813,,"POF","Privately Owned Facility"
"225 CLNR/WHITPAIN TWP","PA000818902","PA","110020121223","812320",40.15078,-75.30611,,"COR","Corporation"
"2601 APARTMENTS","PAPAM0004210106552","PA","110001208407","531110",39.96855,-75.18092,,"POF","Privately Owned Facility"
"286 SHELLMART","PAACH0004200301385","PA","110039017603","447110",40.464,-79.7054,,"POF","Privately Owned Facility"
"3-D AUTO BODY","PA0000004213144003","PA","110030746833","811121",41.6561746,-75.7591431,,"POF","Privately Owned Facility"
"300 BROOKSIDE COMMERCIAL/AMBLER","PA000515210","PA","110009307339","531312",40.16094,-75.23265,,"POF","Privately Owned Facility"
"358023MM","PA000516676","PA","110063912333","488310",40.0108,-79.92621,,"COR","Corporation"
"365 DATA CENTERS","PAPAM0004210110180","PA","110071335026","518210",39.96271,-75.16308,,"POF","Privately Owned Facility"
"3711 MARKET RESEARCH CONDO ASSOC.","PAPAM0004210110469","PA","110071241176","541710",39.9574,-75.19765,,"MXO","Mixed Ownership (e.g., Public/Private)"
"3D CHESMONT COLLISION/SPRING CITY","PA000639884","PA","110002445836","811121",40.170311,-75.537263,,"NON","Non-Government"
"3D COLLISION CTR/LOWER OXFORD","PA000640262","PA","110001071839","811121",39.80747,-75.96925,,"NON","Non-Government"
"3M ASTON/CHESTER TWP","PA000240648","PA","110000336146","325991",39.88054,-75.46053,,"COR","Corporation"
"3M/ ROYERSFORD","PA000764673","PA","110004877429","333515",40.2177,-75.55558,,"COR","Corporation"
"4 DS CLEANING SOLUTIONS LLC/CHAMBERSBURG","PA000523498","PA","110001066382","812320",39.92283,-77.66029,,"NON","Non-Government"
"401 CITY AVE ASSOC/LOWER MERION","PA000832379","PA","110071251449","518210",40.008676,-75.213537,,"POF","Privately Owned Facility"
