"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"A & H MANUFACTURING","RI0000004400700551","RI","110001664271","999999",41.81863,-71.49725,,"POF","Privately Owned Facility"
"A.D.I.","RI0000004400700908","RI","110022516259","999999",41.82657,-71.4357,,"POF","Privately Owned Facility"
"A.M.SCHALER,INC.","RI0000004400700002","RI","110001662567","999999",41.7879,-71.45635,,"POF","Privately Owned Facility"
"A.T. CROSS CO.","RI0000004400706008","RI","110000312527","339941",41.93533,-71.48156,,"POF","Privately Owned Facility"
"A.T. WALL COMPANY","RI0000004400300030","RI","110000312652","332999 999999",41.737218,-71.444519,,"POF","Privately Owned Facility"
"ABATE AND URSILLO","RI0000004400700424","RI","110001662950","332813",41.852451,-71.485537,,"POF","Privately Owned Facility"
"ABENAQUI CARRIERS","RI00000044007E0009","RI","110037230494","484110",41.794542,-71.393809,,"POF","Privately Owned Facility"
"ACADEMY BUS","ME0004400300100","RI","110004907735","999999",41.71639,-71.52063,,,
"ACE DYEING AND FINISHING","RI0000004400300003","RI","110001663619","999999",41.71321,-71.51712,,"POF","Privately Owned Facility"
"ACS INDUSTRIES","RI0000004400700015","RI","110000762951","327910",42.004584,-71.502728,,"POF","Privately Owned Facility"
"ADMIRAL PACKAGING, INC. ","RI0000004400700061","RI","110042010249","322221",41.8407,-71.41846,,"POF","Privately Owned Facility"
"ADVANCED CHEMICAL COMPANY","RI0000004400300025","RI","110004905808","331419",41.763866,-71.401334,31,"POF","Privately Owned Facility"
"AIM PRODUCTS","RI0000004400700705","RI","110001663520","333994",41.930091,-71.497318,,"POF","Privately Owned Facility"
"ALAN JEWELRY","RI0000004400706012","RI","110001662763","339910",41.790248,-71.40329,,"POF","Privately Owned Facility"
"ALBIN","RI0000004400700433","RI","110039128066","336612",41.6932,-71.27493,,"POF","Privately Owned Facility"
"ALBIN HOLDINGS","RI0000004400500020","RI","110000312572","336612 999999",41.62323,-71.269357,,"POF","Privately Owned Facility"
"ALBIN MANUFACTURING INC.","RI0000004400500019","RI","110000312572","336612 999999",41.62323,-71.269357,,"POF","Privately Owned Facility"
"ALCATEL TRANSCOM","RI0000004400500350","RI","110010364630","999999",41.5833560802199,-71.2576449996164,,"POF","Privately Owned Facility"
"ALEXANDER N PAPPAS","01000000T200000002","RI","110071894175","423810",41.868884,-71.62445,,"POF","Privately Owned Facility"
"ALEXION PHARMACEUTICAL","01000000E000000005","RI","110070361659","325412",41.92971,-71.52835,,,
"ALGONQUIN GAS TRANSMISSION LINE","RI0000004400700500","RI","110007222852","486210",41.9682,-71.7555,,"POF","Privately Owned Facility"
"ALLENS MANUFACTURING","RI0000004400700457","RI","110000820041","339993",41.791615,-71.391302,,"POF","Privately Owned Facility"
"ALLIED AFTERMARKET","RI0000004400701003","RI","110010364667","999999",41.7999563,-71.3565841,,"POF","Privately Owned Facility"
"ALTUS REALTY, INC.","RI0004400700159","RI","110054274165","531390",41.833623,-71.41146,,,
"ALVES SUNOCO","RI0000004400700399","RI","110007176652","999999",41.87347,-71.3915,,"POF","Privately Owned Facility"
"AMBI,INC.","RI0000004400700725","RI","110004935991","334512",41.89325,-71.40459,,"POF","Privately Owned Facility"
"AMERICAN CONTAINER NET PROVIDENCE LLC","RI00000044007E0008","RI","110000819936","322214 811211",41.929887,-71.495673,,"POF","Privately Owned Facility"
"AMERICAN CORD AND WEBBING CO.","RI0004400791043","RI","110072081548","313220",41.99869,-71.47383,,,
"AMERICAN INDUSTRIAL CASTING, INC.","RI0000004400301001","RI","110001664618","999999",41.640278,-71.493056,,"POF","Privately Owned Facility"
"AMERICAN INSULATED WIRE, NE FACILITY","RI0000004400300412","RI","110037963718","999999",41.898431,-71.383377,,"POF","Privately Owned Facility"
"AMERICAN PLATING","01000000E000000044","RI","110004911935","999999",41.76594,-71.41749,,,
