"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3280 GENERAL WILLIAMS W DRIVE LLC","SC00010400103","SC","110002371013","333120",34.26816,-79.68831,,"POF","Privately Owned Facility"
"3G MERMET CORPORATION","SC00006000080","SC","110020516805","313310",35.02157,-81.78709,0,"POF","Privately Owned Facility"
"3M COMPANY","SC00012000073","SC","110000354161","322220 326113",34.74411,-82.35851,,"POF","Privately Owned Facility"
"3M COMPANY TAPE PLANT","SC00012000148","SC","110017158065","322220",34.742977,-82.359459,,"POF","Privately Owned Facility"
"3V SIGMA USA, INC.","SC00011400031","SC","110070827538","325998",33.362222,-79.383056,133518,"POF","Privately Owned Facility"
"404 CONCRETE LLC","SC00099000676","SC","110070083495","327320",32.8194729,-79.8570274,,"POF","Privately Owned Facility"
"48FORTY SOLUTIONS - GRAY COURT FACILITY","SC00015200142","SC","110070551386","321920",34.626155,-82.101426,,"POF","Privately Owned Facility"
"A M WILLIAMS STATION","SC00004200006","SC","110000353509","221112",33.01507,-79.93338,119092,"POF","Privately Owned Facility"
"A MANNING LYNCH WASTEWATER TREATMENT FACILITY","SC00020600512","SC","110009794348","221320",34.914444,-81.904444,,"POF","Privately Owned Facility"
"A O SMITH WATER PRODUCTS COMPANY","SC00006600023","SC","110000604374","333310",34.486042,-80.246283,16,"POF","Privately Owned Facility"
"A&J RECYCLING","SC00020600422","SC","110018858850","512210 512250",35.064653,-81.829085,,"POF","Privately Owned Facility"
"AAC EAST LLC","SC00016800117","SC","110071538005","327331",34.658095,-79.686194,,,
"AAI DEVELOPMENT SERVICES","SC00005600325","SC","110038802935","325412",32.84269,-80.02223,,"POF","Privately Owned Facility"
"AALBERTS INTEGRATED PIPING SYSTEM AMERICAS","SC00013400061","SC","110000587482","331512",33.691528,-78.909002,27,"POF","Privately Owned Facility"
"AALBERTS INTEGRATED PIPING SYSTEM AMERICAS","SC00006600039","SC","110000740814","332911 332919",34.755091,-80.392435,10,"POF","Privately Owned Facility"
"AALBERTS INTEGRATED PIPING SYSTEMS AMERICAS","SC00006600032","SC","110000740814","332911 332919",34.755091,-80.392435,10,"POF","Privately Owned Facility"
"AARON INDUSTRIES LLC DBA PL DEVELOPMENTS","SC00015200077","SC","110043532549","424210",34.444202,-81.888734,,"POF","Privately Owned Facility"
"ABB INC","SC00010400060","SC","110000353714","335313",34.24271,-79.78679,,"POF","Privately Owned Facility"
"ABBEVILLE AREA MEDICAL CENTER","SC00000400040","SC","110038791126","622110",34.15618,-82.38024,,"POF","Privately Owned Facility"
"ABBEVILLE COUNTY LANDFILL-CLOSED","SC00000400029","SC","110002179044","562212",34.219167,-82.517849,,"POF","Privately Owned Facility"
"ABBEVILLE COUNTY MEMORIAL HOSPITAL","SC00000400014","SC","110038791055","622110",34.16133,-82.38319,,"POF","Privately Owned Facility"
"ABBEVILLE MANUFACTURING-CLOSED","SC00000400004","SC","110007184386","315211",34.1824065,-82.4256065,,"POF","Privately Owned Facility"
"ABLE MACHINE-HYDRAULICS INC","SC00012000270","SC","110007220710","332813",34.986636,-82.3274515,,"POF","Privately Owned Facility"
"ABNEY MILLS-CLOSED","SC00002000040","SC","110038793730","313210",34.50408,-82.65727,,"POF","Privately Owned Facility"
"ABRASIVE BLASTING & COATING SERVICES","SC00020600450","SC","110031212024","332812",34.9514,-82.02041,,"POF","Privately Owned Facility"
"ACCENT WIRE GEORGETOWN MILL - SOUTH CAROLINA","SC00011400047","SC","110001671441","331222",33.39853,-79.35043,0,"POF","Privately Owned Facility"
"ACCURIDE EMI LLC","SC00013800066","SC","110040508046","332112",34.21983,-80.57641,,"POF","Privately Owned Facility"
"ACI INDUSTRIES LLC","SC00015200110","SC","110031211739","327120",34.52644,-82.04426,,"POF","Privately Owned Facility"
"ACKERSON STEVENS INC","SC00012400087","SC","110001673207","444110",34.38258,-82.23332,,"POF","Privately Owned Facility"
"ACKERSON STEVENS INC","SC00012400122","SC","110038445144","321912",34.24449,-82.14299,,"POF","Privately Owned Facility"
"ACL AIRSHOP LLC","SC00012000644","SC","110070740326","314999",34.8309342,-82.4584967,,"POF","Privately Owned Facility"
"ACME LOGISTICS","0400000045045EPA27","SC","110071362224","484110",34.871741,-82.23274,,"COR","Corporation"
"ACME PRECISION DIESEL","0400000045045EPA26","SC","110071362192","811111",34.884428,-82.185505,,"COR","Corporation"
"ACS MANUFACTURING INC","SC00000400050","SC","110070526425","332322",34.18898,-82.36202,,"POF","Privately Owned Facility"
"ACTIVE MINERALS INTERNATIONAL LLC","SC00000800030","SC","110017112328","327992",33.62651,-81.69959,,"POF","Privately Owned Facility"
"ADAMS SCRAP RECYCLING LLC","SC00012000510","SC","110062696907","331314",34.847248,-82.450536,,"POF","Privately Owned Facility"
"ADC FINISHING INC - YORK PLANT","SC00024400182","SC","110002189667","332812",35.00648,-81.24897,,"POF","Privately Owned Facility"
"ADLUH FLOUR","SC00019000267","SC","110055615026","311211",33.99936,-81.03951,,"POF","Privately Owned Facility"
"ADO CORPORATION","SC00020600117","SC","110039641661","333612 336320",34.90434,-81.79053,,"POF","Privately Owned Facility"
"ADORNUS MANUFACTURING LLC","SC00014600077","SC","110071218784","337110",34.731561,-80.809426,,,
"ADVANCED CERAMIC COATINGS LLC","SC00020600544","SC","110070255723","336412",34.908537,-82.086785,,"POF","Privately Owned Facility"
"ADVANCED COMPOSITE MATERIALS","SC0000004508500159","SC","110001993692","327112",34.903085,-82.219035,,"POF","Privately Owned Facility"
"ADVANCED COMPOSITE MATERIALS","SC00020600159","SC","110001993692","327112",34.903085,-82.219035,,"POF","Privately Owned Facility"
"ADVANCED FINISHING SYSTEMS INC","SC00005600430","SC","110054884808","339910",32.9816,-80.11529,,"POF","Privately Owned Facility"
"ADVANCED MACHINING & FABRICATING INC","SC00002000120","SC","110002231399","332710",34.48796,-82.68172,,"POF","Privately Owned Facility"
"ADVANCED SURFACES","SC00013400138","SC","110002329793","326191",33.88281,-79.09064,,"POF","Privately Owned Facility"
"AEG LLC CRESCENT FACILITY","SC00002000219","SC","110042329183","562920",34.424137,-82.668368,,"POF","Privately Owned Facility"
"AFL TELECOMMUNICATIONS LLC","SC00020600304","SC","110001673332","331319",34.90042,-82.10624,,"POF","Privately Owned Facility"
"AFL TELECOMMUNICATIONS LLC","SC00020600195","SC","110001670978","331222 332618",34.885,-82.131667,354,"POF","Privately Owned Facility"
"AFL TELECOMMUNICATIONS LLC","SC00020600196","SC","110001670978","331222 332618",34.885,-82.131667,354,"POF","Privately Owned Facility"
"AFL TELECOMMUNICATIONS LLC","SC00020600161","SC","110002234001","335921",34.923527,-82.111319,0,"POF","Privately Owned Facility"
