"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3M COMPANY","SD0000004601100001","SD","110000427565","322222",44.296035,-96.764546,39501,"POF","Privately Owned Facility"
"3M COMPANY - ABERDEEN","SD0000004601300005","SD","110006120152","999999",45.445067,-98.522177,,"POF","Privately Owned Facility"
"A & A AUTO SALVAGE","0800000046103X0001","SD","110040631386","423140",44.11115,-103.18625,,"POF","Privately Owned Facility"
"A & S JACK RABBIT TIRE","080000004601100006","SD","110001676525","441310",44.30343,-96.80014,,"POF","Privately Owned Facility"
"A PLUS RECYCLING","0800000046103X0005","SD","110040631411","562920",44.111139,-103.181176,,"POF","Privately Owned Facility"
"ABC AUTOMOTIVE REPAIR","0800000046103X0004","SD","110033157544","811111",44.11113,-103.178068,,"POF","Privately Owned Facility"
"ABERDEEN ASPHALT, INC.","SD0000004677700040","SD","110038801721","324121",45.4646777,-98.468104,,"POF","Privately Owned Facility"
"ABERDEEN ENERGY, LLC","SD0000004604500003","SD","110038367228","325193",45.442417,-98.787139,27885,"POF","Privately Owned Facility"
"ACCO-NUTTING DIVISION","SD0000004602900021","SD","110062747522","332999",44.924174,-97.159488,,"POF","Privately Owned Facility"
"ACE READY MIX INC","SD0000004609900029","SD","110001676561","327320 327390 999999",43.56803,-96.68419,,"POF","Privately Owned Facility"
"ACE READY MIX INC","SD0000004677700439","SD","110001676561","327320 327390 999999",43.56803,-96.68419,,"POF","Privately Owned Facility"
"ACE READY MIX, INC.","SD0000004608300006","SD","110001676561","327320 327390 999999",43.56803,-96.68419,,"POF","Privately Owned Facility"
"ACE STEEL & RECYCLING","080000004610300053","SD","110012710600","423930",44.09708,-103.1688,,"POF","Privately Owned Facility"
"ACE STEEL & RECYCLING, INC","0800000046065X0002","SD","110046594994","423930",44.356,-100.31419,,"POF","Privately Owned Facility"
"ADVANCED ENVIRONMENTAL SERVICES INC","SD0000004677780002","SD","110062714861","999999",42.0654154,-91.5608529,,"POF","Privately Owned Facility"
"AERO SHEET METAL","080000004610300028","SD","110054087395","333415",43.95983,-103.2778,,"POF","Privately Owned Facility"
"AG PROCESSING INC.","SD0000004601301011","SD","110070675425","311222 311224",45.47352,-98.414865,326221,,
"AGGREGATE CONSTRUCTION, INC","SD0000004677700548","SD","110038783493","212321",44.4467957,-100.2381762,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700716","SD","110062714497","212321",44.5276324,-100.3091229,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700532","SD","110038783493","212321",44.4467957,-100.2381762,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700579","SD","110062708217","212321",44.5276324,-100.3091229,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700690","SD","110062744874","212321",44.5276324,-100.3091229,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700533","SD","110038783493","212321",44.4467957,-100.2381762,,"POF","Privately Owned Facility"
"AGGREGATE CONSTRUCTION, INC.","SD0000004677700535","SD","110038783493","212321",44.4467957,-100.2381762,,"POF","Privately Owned Facility"
"AGGRESSIVE AUTO SALVAGE","0800000046103X0003","SD","110040631402","423140",44.11114,-103.182096,,"POF","Privately Owned Facility"
"AGRICARE ANIMAL NUTRITION","SD00000046140001","SD","110064846378","311111",43.56617,-96.71145,,"POF","Privately Owned Facility"
"AGROPUR INC., LAKE NORDEN FACILITY","SD0000004605700001","SD","110010952380","311513",44.579444,-97.210556,0,,
"AGTEGRA COOPERATIVE - CRAVEN","SD0000004604501016","SD","110070102317","493130",45.445511,-98.921645,,,
"AGTEGRA COOPERATIVE - WEST BOWDLE","SD0000000004500004","SD","110056339948","493130",45.26572,-99.40461,,,
"AL'S D & I REPAIR","080000004610300049","SD","110001676598","811111",44.08495,-103.27779,,"POF","Privately Owned Facility"
"ALAMO GROUP (SMC), INC","SD0000004609900034","SD","110000828294","333111",43.60405,-96.72206,,"POF","Privately Owned Facility"
"ALAN'S AUTO RECYCLING INC","0800000046103X0006","SD","110040631420","423140",44.11114,-103.1846,,"POF","Privately Owned Facility"
"ALDRICH","080000004610300024","SD","110062738284","238220",44.060537,-103.19188,,"POF","Privately Owned Facility"
"ALEXANDRIA GRAVEL PRODUCTS","SD0000004677700554","SD","110038783974","212321",45.88078,-95.38073,,"POF","Privately Owned Facility"
"ALFALFA FEEDS, INC.","SD0000004607700014","SD","110062726803","424510",44.375816,-97.582277,,"POF","Privately Owned Facility"
"AMERICAN COLLOID","SD0000004601900003","SD","110044797146","212325",44.683667,-103.85741,,,
"ANDERSON HEATING & A/C SERVICES","080000004610300029","SD","110062738355","238220",44.05185,-103.19353,,"POF","Privately Owned Facility"
"ANDERSON HEATING & COOLING","080000004607500001","SD","110013329479","999999",43.88916,-100.71471,,"POF","Privately Owned Facility"
"ANDERSON WESTERN, INC","SD0000004677700274","SD","110046461351","324121",44.4467957,-100.2381762,,"POF","Privately Owned Facility"
"ARCTIC CAT, INC.","SD0000004607900001","SD","110000427636","336999",43.99055,-97.104266,,"POF","Privately Owned Facility"
"ASPHALT PAVING & MATERIALS","SD0000004677700712","SD","110044796968","324121",44.3924671,-98.2019337,,"POF","Privately Owned Facility"
"ASPHALT PAVING & MATERIALS","SD0000004677700499","SD","110044796968","324121",44.3924671,-98.2019337,,"POF","Privately Owned Facility"
"ASSOCIATED MILK PRODUCERS INC - HOVEN","SD0000004610700001","SD","110045433544","311513",45.245169,-99.777769,,"POF","Privately Owned Facility"
"ATTEBERRY CONSTRUCTION INC","SD0000004677700571","SD","110038784054","212321",43.1772115,-99.7603461,,"POF","Privately Owned Facility"
"AUGUSTANA COLLEGE","SD0000004609900018","SD","110007173735","611310",43.5245515,-96.7386103,,"POF","Privately Owned Facility"
"AULICK LEASING","SD0000004677700575","SD","110062708128","212321",44.5276324,-100.3091229,,"POF","Privately Owned Facility"
"AVERA MCKENNAN HOSPITAL","SD0000004609900047","SD","110038045004","622110",43.53759,-96.71631,,"POF","Privately Owned Facility"
"AVERA ST LUKES HOSPITAL","SD0000004601300004","SD","110001676259","622110",45.46164,-98.47932,,"POF","Privately Owned Facility"
"B & B CONCRETE, INC.","SD0000004677700020","SD","110001994129","324121",44.32307,-96.80857,0,"POF","Privately Owned Facility"
"B&B EQUIPMENT","SD0000004677700564","SD","110038784009","212321",44.420522,-100.350184,,"POF","Privately Owned Facility"
"B.I.I. SALEM","SD0000004608700001","SD","110044316451","333111",43.72082,-97.39472,,"POF","Privately Owned Facility"
"BAKER RANCH DBA BADLANDS SAND & GRAVEL","SD0000004677700619","SD","110062718215","212321",43.81048,-103.01944,,"POF","Privately Owned Facility"
"BAKER RANCH DBA BADLANDS SAND & GRAVEL","SD0000004677700618","SD","110062718215","212321",43.81048,-103.01944,,"POF","Privately Owned Facility"
"BALDWIN FILTERS","SD0000004613500008","SD","110004946319","336399",42.88715,-97.34591,,"POF","Privately Owned Facility"
"BARNES HAY & FEED COMPANY","SD0000004613500004","SD","110062725476","311119",42.8755236,-97.1858592,,"POF","Privately Owned Facility"
"BASIN ELECTRIC - DEER CREEK STATION","SD0000004601100011","SD","110054890267","221112",44.2476726,-96.4959219,,"POF","Privately Owned Facility"
"BASIN ELECTRIC POWER COOPERATIVE","SD0000004677770001","SD","110062714834","999999",46.8149315,-100.6981957,,"POF","Privately Owned Facility"
"BASIN ELECTRIC POWER COOPERATIVE","SD0000004677770002","SD","110062714834","999999",46.8149315,-100.6981957,,"POF","Privately Owned Facility"
"BASIN ELECTRIC POWER COOPERATIVE GROTON GENERATING","SD0000004601300008","SD","110039622361","221112",45.4655374,-98.1149671,,,
"BASIN ELECTRIC POWER COOPERATIVE SPIRIT MOUND STAT","SD0000004602700001","SD","110007186106","221112",42.8446191,-96.9863877,,,
"BDM RURAL WATER SYSTEM","SD0000004609100020","SD","110070520628","221310",45.79231,-97.74906,,"MWD","Municipal or Water District"
"BENCHMARK FOAM, INC.","SD0000004602900013","SD","110021345301","326140",44.88962,-97.063,,"POF","Privately Owned Facility"
"BERNARD MAHRER CONSTRUCTION COMPANY","SD0000004677700708","SD","110062745472","212321",44.5276324,-100.3091229,,"POF","Privately Owned Facility"
