"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" A & B EQUIPMENT, INC","TN0000004710700173","TN","110067384501","333111",35.549899,-84.51532,,"POF","Privately Owned Facility"
" FAWVRE ENTERPRISES DBA VILLAGE CLEANERS","TN0000004706300210","TN","110001863546","812320",36.2101,-83.28981,,"POF","Privately Owned Facility"
" INTERNATIONAL PAPER ","TN0000004701900153","TN","110061574915","323112",36.3613,-82.18819,,"POF","Privately Owned Facility"
" JAMES H. QUILLEN V A MEDICAL CENTER DBA EAST TENNESSEE STATE UNIVERSITY VA CAMP","TN0000004717900407","TN","110064431468","622110",36.2324733,-86.7773421,,"STF","State Government"
" MULTI-COLOR CORPORATION","TN0000004712500123","TN","110000369912","323111",36.58637,-87.26939,,"POF","Privately Owned Facility"
" NEW CINGULAR WIRELESS PCS, LLC DBA AT&T MOBILITY ","TN0000004702300052","TN","110067384020","513322",35.43724,-88.63986,,"POF","Privately Owned Facility"
" ROGERS GROUP, INC. ","TN0000004718500010","TN","110007019699","324121",35.952179,-85.576459,,"POF","Privately Owned Facility"
" TENNESSEE VALLEY AUTHORITY (TVA) - NICKAJACK DAM ","TN0000004711500132","TN","110064846314","221122",35.0219881,-85.519895,,"FDF","Federal Facility (U.S. Government)"
"""33"" QUARRY","TN0000004717300021","TN","110038780986","212312",36.259656,-83.8259895,,"POF","Privately Owned Facility"
"$2.99 MEGA CLEANERS","TNNDC0004703700816","TN","110054891541","812320",36.03997,-86.74231,,"POF","Privately Owned Facility"
"1220 EXHIBITS, INC.","TNNDC0004703700428","TN","110070924439","238390",36.096,-86.746,,"COR","Corporation"
"3M COMPANY","TN0000004700100275","TN","110069996697","339999",36.09526,-84.10623,9725,,
"3M COMPANY","TNNDC0004703700348","TN","110045946562","313230",36.27308,-86.66429,,"POF","Privately Owned Facility"
"4195 TWIN VALLEY MARKET TRI STAR ENERGY","TN0000004716500251","TN","110046103300","447110",36.3206,-86.66038,,"POF","Privately Owned Facility"
"4610 EDDIE'S MARKET TRI STAR ENERGY","TN0000004716500311","TN","110046103319","447110",36.30995,-86.61969,,"POF","Privately Owned Facility"
"48FORTY SOLUTIONS","TNNDC0004703700316","TN","110038525959","321920",36.100657,-86.70902,,"POF","Privately Owned Facility"
"51 CONCRETE, LLC","TN0000004701100280","TN","110043261617","327320",35.163077,-84.826471,,"POF","Privately Owned Facility"
"5C MEM01 INC","TNSHL0004715700021","TN","110072172830","518210",35.030965,-89.937045,,,
"6K ENERGY TENNESSEE, LLC","TN00004711300480","TN","110071513875","335910",35.59337,-88.937631,,,
"A & A CLEANERS, INC.","TN0000004702500074","TN","110008124216","812320",36.58323,-83.65684,,"POF","Privately Owned Facility"
"A & J ASPHALT, INC.","TN0000004716300310","TN","110018852856","324121",36.504774,-82.431432,,"POF","Privately Owned Facility"
"A & S BUILDING SYSTEMS_L.P.","TN0000004701300073","TN","110007864249","332311",36.2579,-84.18371,,"POF","Privately Owned Facility"
"A J KING LUMBER","TN0000004715500015","TN","110038785730","321918",35.86316,-83.55892,,"POF","Privately Owned Facility"
"A-1 AUTO PARTS, INC.","TN00000047189COE01","TN","110061063502","423930",36.04427,-86.3739,,"POF","Privately Owned Facility"
"A-1 CLEANERS","TN0000004714100216","TN","110013328951","812320",36.14806,-85.50085,,"POF","Privately Owned Facility"
"A-1 CLEANERS","TN0000004714900561","TN","110017350141","812310",35.85002,-86.42997,,"POF","Privately Owned Facility"
"A-1 CLEANERS","TNNDC0004703700304","TN","110027234730","812320",36.04108,-86.74633,,"POF","Privately Owned Facility"
"A. J. HALL INC., EXXON DISTRIBUTOR","TN0000004718900089","TN","110038804014","424710",36.2638523,-86.2692445,,"POF","Privately Owned Facility"
"A. O. SMITH","TN0000004709700003","TN","110000605113","335312",35.720925,-89.556059,,"POF","Privately Owned Facility"
"A. O. SMITH ELECTRIC PRODUCTS","TN0000004707700014","TN","110043853283","335312",35.66508,-88.37743,39,"POF","Privately Owned Facility"
"A. SCHULMAN COMPANY","TNNDC0004703700239","TN","110000371080","325991",36.09622,-86.74511,,"POF","Privately Owned Facility"
"A. Y. M., INC.","TN0000004701900152","TN","110012706107","332919",36.36338,-82.1778,210,,
