"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" 1845 OIL FIELD SERVICES","TX0000004836700040","TX","110071141730","562112",29.151637,-97.444043,,"COR","Corporation"
" ENERGY TRANSFER - LASALLE COMPRESSOR STATION","TX0000004831700299","TX","110071876350","211111",32.393393,-102.102276,,"COR","Corporation"
" REDNECK DIESEL PERFORMANCE","TX0000004811301004","TX","110071251409","811111",32.599797,-96.682918,,"POF","Privately Owned Facility"
"$1.25 CLEANERS","06000000481676E010","TX","110001871261","999999",29.40812,-94.91393,,"POF","Privately Owned Facility"
"$1.25 CLEANERS","06000000482016E027","TX","110001874669","999999",29.6617,-95.33633,,"POF","Privately Owned Facility"
"$1.25 DRY CLEANERS","06000000480296E058","TX","110001877826","999999",29.54864,-98.50647,,"POF","Privately Owned Facility"
"$1.25 PRO DRY CLEANERS","06000000481136E022","TX","110001872082","999999",32.771472,-96.59921,,"POF","Privately Owned Facility"
"$1.25 TWIN'S CLEANERS","06000000482016E031","TX","110001874696","999999",29.650748,-95.336689,,"POF","Privately Owned Facility"
"$1.45 TOTAL VALUE CLEANERS","06000000481136E040","TX","110001872135","999999",32.83411,-96.70168,,"POF","Privately Owned Facility"
"$1.49 CLEANERS","TX0000004808563006","TX","110009504624","999999",33.037668,-96.697656,,"POF","Privately Owned Facility"
"$1.49 DRY CLEAN CITY","06000000482016E053","TX","110009258659","999999",29.704019,-95.4609047,,"POF","Privately Owned Facility"
"$1.50 CLEANERS","06000000484396E027","TX","110006532724","999999",32.861931,-97.289995,,"POF","Privately Owned Facility"
"$1.50 DRY CLEAN CITY","06000000481136E213","TX","110001877504","999999",32.8801959,-96.651555,,"POF","Privately Owned Facility"
"$1.50 DRY CLEANERS","06000000481136E273","TX","110001879405","999999",32.90678,-96.70984,,"POF","Privately Owned Facility"
