"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
" WEXPRO ISLAND COMPRESSOR (FRMLY MPLX)","080000004904700108","UT","110022482259","211111",39.9598,-109.717,,"POF","Privately Owned Facility"
"01-09-45 BTR","080000004901300199","UT","110071270649","211111",40.151639,-110.44769,,"COR","Corporation"
"05-10D-36 BTR","080000004904701127","UT","110070380152","211111",40.234878,-110.55592,,"COR","Corporation"
"05-21D-46 LC","080000004901300208","UT","110071270046","211111",40.121636,-110.57206,,"COR","Corporation"
"07-06-45 BTR","080000004901300200","UT","110071271255","211111",40.163508,-110.49114,,"COR","Corporation"
"07-20-46 BTR","080000004901300202","UT","110071271418","211111",40.119389,-110.58685,,"COR","Corporation"
"1-25D-36 BTR, BTR TRIBAL 30E-35W-H2UB","080000004901300480","UT","110071271150","211111",40.19523,-110.50739,,"COR","Corporation"
"10-12D-46 BTR","080000004901300244","UT","110071270860","211111",40.14532,-110.51081,,"COR","Corporation"
"10-36D-36 BTR OIL PRODUCTION FACILITY","080000004901300105","UT","110071270643","211111",40.17573,-110.5094,,"COR","Corporation"
"1022 10B PAD","080000004904703761","UT","110071274059","211112",39.96781,-109.42119,,"COR","Corporation"
"1022-14B PAD","080000004904703762","UT","110071272223","211112",39.95288,-109.40205,,"COR","Corporation"
"11-18D-46 BTR","080000004901300456","UT","110071273528","211111",40.130731,-110.60562,,"COR","Corporation"
"11-8D-46 BTR","080000004904706029","UT","110071274535","211111",40.146553,-110.58893,,"COR","Corporation"
"12H-28-46 LC","080000004901300204","UT","110071271753","211111",40.101964,-110.55895,,"COR","Corporation"
"13-19D, 13H-24 &  16H-19 LC MULTI-PAD","080000004901300248","UT","110071270712","211111",40.11266,-110.49961,,"COR","Corporation"
"13-2-46 BTR OIL PRODUCTION FACILITY","080000004901300106","UT","110071273506","211111",40.15663,-110.5359,,"COR","Corporation"
"13H-13-46 BTR","080000004901300206","UT","110071269621","211111",40.127767,-110.50393,,"COR","Corporation"
"14-1-46 BTR OIL PRODUCTION FACILITY","080000004901300103","UT","110071270601","211111",40.15736,-110.51336,,"COR","Corporation"
"14-18D-45 BTR","080000004901300326","UT","110071273021","211111",40.128906,-110.49499,,"COR","Corporation"
"14-5D-45 BTR","080000004901300205","UT","110071270047","211111",40.156178,-110.47603,,"COR","Corporation"
"14-7D-45 BTR","080000004901300251","UT","110071270713","211111",40.14167,-110.495,,"COR","Corporation"
"14-9D-36 BTR","080000004901300209","UT","110071270686","211111",40.230117,-110.5709,,"COR","Corporation"
"14-9D-45 BTR","080000004901300101","UT","110071270484","211111",40.15278,-110.40275,,"COR","Corporation"
"16-10D-45 BTR","080000004901300243","UT","110071271698","211111",40.14528,-110.43191,,"COR","Corporation"
"16-12D-36 BTR","080000004901300247","UT","110071269597","211111",40.22929,-110.50273,,"COR","Corporation"
"16-12D-45-H1 BTR","080000004901300447","UT","110071271877","211111",40.141816,-110.39223,,"COR","Corporation"
"16-16D-46 BTR","080000004904704662","UT","110071271556","211111",40.130514,-110.56241,,"COR","Corporation"
"16-1D-36 BTR","080000004901300433","UT","110071270610","211111",40.25275,-110.50491,,"COR","Corporation"
"16-1D-46 BTR OIL PRODUCTION FACILITY","080000004901300104","UT","110071270642","211111",40.15585,-110.50681,,"COR","Corporation"
"16-2D-46 BTR","080000004901300245","UT","110071271257","211111",40.15588,-110.52508,,"COR","Corporation"
"16-8D-45 BTR","080000004901300246","UT","110071271755","211111",40.14143,-110.46661,,"COR","Corporation"
"16-9-36 BTR","080000004901300203","UT","110071270116","211111",40.228308,-110.56139,,"COR","Corporation"
"16-9D-45 BTR","080000004901300207","UT","110071273823","211111",40.140947,-110.44606,,"COR","Corporation"
"2-16D-45 BTR OIL PRODUCTION FACILITY","080000004901300107","UT","110071274259","211111",40.13903,-110.45347,,"COR","Corporation"
"2-18D-45 BTR","080000004901300241","UT","110071273514","211111",40.13924,-110.48864,,"COR","Corporation"
"2-24-3-2 PAD","080000004901300185","UT","110071269618","211111",40.021515,-110.05632,,"COR","Corporation"
"2-2D-45 BTR","080000004901300450","UT","110071273960","211111",40.166711,-110.41629,,"COR","Corporation"
"2.5-5-8-4-2E-H1","080000004904706076","UT","110071270316","211111",40.1693,-109.78988,,"COR","Corporation"
"3 QEPFS TANKS AT WONSITS VALLEY LOADING FACILITY (BATTERY 4)","080000004904701057","UT","110070380002","211111",40.1301,-109.5101,,"COR","Corporation"
"3-1-46 BTR","080000004901300242","UT","110071269598","211111",40.167219,-110.51394,,"COR","Corporation"
"35013320 CIGE 204 (ORIG. ON 921-35G)","080000004904704722","UT","110071272896","211112",39.994126,-109.51519,,"COR","Corporation"
"35013525 NBU 921-23E PAD","080000004904704684","UT","110071273360","211112",40.022743,-109.5266,,"COR","Corporation"
"3502828 NBU 921-27H (RECOMPLETE) PAD","080000004904706025","UT","110071272596","211112",40.008503,-109.53036,,"COR","Corporation"
"35028911 NBU 921-27J1 PAD","080000004904706023","UT","110071270220","211112",40.005214,-109.53546,,"COR","Corporation"
"35031279 NBU  1022-02I PAD","080000004904701292","UT","110071273711","211112",39.99433,-109.43321,,"COR","Corporation"
"35031529 NBU 921-18M PAD","080000004904704703","UT","110071273625","211112",40.029782,-109.6033,,"COR","Corporation"
"35032027 NBU 1022-02A PAD","080000004904704701","UT","110071270191","211112",39.984801,-109.40045,,"COR","Corporation"
"35032166 NBU 1022-02B PAD","080000004904704702","UT","110071273776","211112",39.983788,-109.40419,,"COR","Corporation"
"35034166: NBU 1022-30 PAD","080000004904704679","UT","110071273112","211112",39.972516,-109.42403,,"COR","Corporation"
"35034194: NBU 1022-1F PAD","080000004904704680","UT","110071273709","211112",39.978362,-109.38863,,"COR","Corporation"
"35034227: NBU 1022-3M PAD","080000004904704681","UT","110071270945","211112",39.972516,-109.43315,,"COR","Corporation"
"35034254: NBU 1022-12I1BS","080000004904704682","UT","110071273710","211112",39.96249,-109.38258,,"COR","Corporation"
"35034287: NBU 1022-12P","080000004904704676","UT","110071271490","211112",39.959146,-109.38052,,"COR","Corporation"
"35034308: NBU 1022-1E1 PAD","080000004904704671","UT","110071273359","211112",39.980967,-109.3935,,"COR","Corporation"
"35034380: NBU 921-22I PAD","080000004904704674","UT","110071273708","211112",40.019756,-109.53067,,"COR","Corporation"
"35034390: NBU 1022-12P2 PAD","080000004904704670","UT","110071269803","211112",39.958592,-109.38358,,"COR","Corporation"
"35034395: NBU 1022-01A PAD","080000004904704673","UT","110071269804","211112",39.982407,-109.3812,,"COR","Corporation"
"35034419: NBU 1022-03J PAD","080000004904704675","UT","110071273141","211112",39.974699,-109.42485,,"COR","Corporation"
"35034444: NBU 921-22H","080000004904704668","UT","110071269802","211112",40.022895,-109.53072,,"COR","Corporation"
"35034519: NBU 1022-10C PAD","080000004904704691","UT","110071271112","211112",39.968231,-109.42935,,"COR","Corporation"
"35034536: NBU 1022-12O PAD","080000004904704692","UT","110071272882","211112",39.95962,-109.38723,,"COR","Corporation"
"35034674 NBU 10022-03K PAD","080000004904704700","UT","110071271559","211112",39.974824,-109.4284,,"COR","Corporation"
"35034737 NBU 921-20N","080000004904704704","UT","110071271069","211112",40.017653,-109.57779,,"COR","Corporation"
"35034737 NBU 922-32D1","080000004904704699","UT","110071274273","211112",39.999114,-109.47038,,"COR","Corporation"
"35034805 NBU 1022-10A PAD","080000004904704706","UT","110071273626","211112",39.970188,-109.41942,,"COR","Corporation"
"35034828 NBU 1022-03E PAD","080000004904704707","UT","110071269808","211112",39.979887,-109.43375,,"COR","Corporation"
"35034849 NBU 1022-3L PAD","080000004901300394","UT","110071270608","211112",39.976501,-109.43329,,"COR","Corporation"
"35034863 NBU 922-30M","080000004904704708","UT","110071273362","211112",40.001616,-109.48987,,"COR","Corporation"
"35034982 NBU 1022-3F PAD","080000004904704718","UT","110071272842","211112",39.979492,-109.42908,,"COR","Corporation"
"35035114 NBU 922-30N PAD","080000004904704725","UT","110071269811","211112",40.001275,-109.48427,,"COR","Corporation"
"35035134 NBU 921-20J PAD","080000004904704724","UT","110071270742","211112",40.018996,-109.57467,,"COR","Corporation"
"35035170 NBU 1022-03A PAD","080000004904706008","UT","110071272110","211112",39.983917,-109.41926,,"COR","Corporation"
"35035311 NBU 1022-03C PAD","080000004904706007","UT","110071274238","211112",39.9833,-109.42921,,"COR","Corporation"
"35035317 NBU 1022-03B PAD","080000004904702624","UT","110071272869","211112",39.982567,-109.42274,,"COR","Corporation"
"35035517 NBU 922-34M4 PAD","080000004904706027","UT","110071272915","211112",39.986157,-109.43276,,"COR","Corporation"
"35035711 NBU  922-34E PAD","080000004901300410","UT","110071273711","211112",39.99433,-109.43321,,"COR","Corporation"
"35035781 NBU 921-20B PAD","080000004901300411","UT","110071272972","211112",40.026792,-109.57413,,"COR","Corporation"
"35036059 NBU 1022-5E PAD","080000004904706045","UT","110071273437","211112",39.980786,-109.46922,,"COR","Corporation"
"35036636 NBU 1022-5J PAD","080000004904701963","UT","110071271926","211112",39.976537,-109.46285,,"COR","Corporation"
"35036742: NBU 1022-5C PAD","080000004904702768","UT","110071270821","211112",39.981873,-109.46397,,"COR","Corporation"
"35036860: NBU 922-34L PAD","080000004904704434","UT","110071270542","211112",39.990872,-109.43207,,"COR","Corporation"
"35037345: NBU 1022-4A PAD","080000004904704623","UT","110071274321","211112",39.983851,-109.4402,,"COR","Corporation"
"35037863: NBU 1022-9J PAD","080000004904702816","UT","110071272483","211112",39.961516,-109.44172,,"COR","Corporation"
"36133921: BONANZA 1023-17 PAD","080000004904704637","UT","110071272278","211112",39.949797,-109.34799,,"COR","Corporation"
"36133921: BONANZA 1023-17G PAD - ROW D","080000004904706035","UT","110071272278","211112",39.949797,-109.34799,,"COR","Corporation"
"36143734 BONANZA 1023-7D","080000004904704705","UT","110071273142","211112",39.96902,-109.37659,,"COR","Corporation"
"4 SEASONS HVAC","0800000049005X0002","UT","110046385862","333415",41.724268,-111.850812,,"POF","Privately Owned Facility"
"4-17D-45 BTR","080000004901300102","UT","110071271412","211111",40.13861,-110.48193,,"COR","Corporation"
"4-5D-45 BTR","080000004901300250","UT","110071271998","211111",40.1671,-110.4791,,"COR","Corporation"
"5-20D-45 LC","080000004901300210","UT","110071273822","211111",40.120611,-110.48065,,"COR","Corporation"
"5-2D-36 BTR","080000004901300249","UT","110071274265","211111",40.24942,-110.53789,,"COR","Corporation"
"5-30D-45 LC","080000004901300211","UT","110071269620","211111",40.105356,-110.49912,,"COR","Corporation"
"5-4D-36 BTR","080000004901300458","UT","110071270996","211111",40.251325,-110.57235,,"COR","Corporation"
"5-6D-45, 5H-1-46 WS AND 5H-1-46 UB BTR","080000004901300240","UT","110071273931","211111",40.16184,-110.50102,,"COR","Corporation"
"6-17D-46 BTR","080000004901300443","UT","110071272976","211111",40.13561,-110.5887,,"COR","Corporation"
"7-07-46 BTR","080000004901300201","UT","110071271749","211111",40.146194,-110.60495,,"COR","Corporation"
"7-19-46 DLB","080000004904703738","UT","110071273918","211111",40.120203,-110.60146,,"COR","Corporation"
"7-4D-36 BTR","080000004901300459","UT","110071272297","211111",40.252505,-110.56497,,"COR","Corporation"
"7-5D-35 BTR","080000004904704664","UT","110071273706","211111",40.251003,-110.4713,,"COR","Corporation"
"7-8-46 BTR","080000004901300412","UT","110071272017","211111",40.149281,-110.58382,,"COR","Corporation"
"8 MILE EVAPORATION FACILITY","080000004904701146","UT","110070499286","211111",40.002778,-109.92222,,"COR","Corporation"
"8-16D-46 BTR","080000004904704661","UT","110071271557","211111",40.135958,-110.56041,,"COR","Corporation"
"8-3D-36 BTR","080000004901300457","UT","110071274132","211111",40.250617,-110.54364,,"COR","Corporation"
"9-17D-46 BTR","080000004901300438","UT","110071271409","211111",40.13295,-110.57792,,"COR","Corporation"
"9-5D-35 BTR","080000004901300383","UT","110071273817","211111",40.247328,-110.46651,,"COR","Corporation"
"921-25L PAD","080000004904703763","UT","110071272955","211112",40.00491,-109.50777,,"COR","Corporation"
"921-26C PAD","080000004904703764","UT","110071273130","211112",40.01212,-109.52171,,"COR","Corporation"
"922-18E PAD","080000004904703765","UT","110071270762","211112",40.03814,-109.48875,,"COR","Corporation"
"A APPLIANCE AND REFRIGERATION SERVICE","080000004903500501","UT","110001886040","999999",40.71266,-111.87668,,"POF","Privately Owned Facility"
"A-BILITY ALIGNMENT & BRAKE SERVICE","0800000049035X0007","UT","110040834666","811111",40.686662,-111.897253,,"POF","Privately Owned Facility"
"A-TOP ENTERPRISES INC.","080000004904900220","UT","110001886086","999999",40.323704,-111.706673,,"POF","Privately Owned Facility"
"AAA AUTO SALVAGE","0800000049057X0003","UT","110046385915","423930",41.23456,-111.97857,,"POF","Privately Owned Facility"
"ACCAWINNA 13-22-15-3-2W","080000004901300196","UT","110071273821","211111",40.19849,-110.10017,,"COR","Corporation"
