"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"1 CLEANERS","VA0000005176000440","VA","110001900907","812320",37.571746,-77.437521,,"NON","Non-Government"
"11751 MEADOWVILLE OWNER LLC C/O GFH CAPITAL LTD","VA0000005104100495","VA","110028010042","518210",37.36191,-77.33308,,"NON","Non-Government"
"1320 NORTH COURTHOUSE, LLC","VA0000005101300836","VA","110038526075","517110 517111",38.888509,-77.083566,,"NON","Non-Government"
"1951 KIDWELL ASSOCIATES","VA0000005105900409","VA","110001897948","531120",38.91073,-77.221,,"POF","Privately Owned Facility"
"1ST CHOICE BODY SHOP","VA0000005101300822","VA","110005227209","811121",38.846,-77.05433,,"NON","Non-Government"
"1ST RESPONSE RAIL SERVICE INC","VA0000005108153083","VA","110071820709","332812",36.54623,-77.52929,,"NON","Non-Government"
"2.49 CLEANERS","VA0000005176000480","VA","110020680654","812320",37.605254,-77.571107,,"NON","Non-Government"
"21110 RIDGETOP CIRCLE LLC","VA0000005110701042","VA","110044950274","517110 517111 518210",39.02498,-77.41359,,"NON","Non-Government"
"21571 BEAUMEADE CIRCLE LLC","VA0000005110700824","VA","110012709925","517112",39.02086,-77.45381,,"NON","Non-Government"
"22810-22860 INTERNATIONAL DRIVE LLC","VA0000005110700814","VA","110001914821","517110 518210",38.98483,-77.42467,,"NON","Non-Government"
"22995 WILDER COURT LLC","VA0000005110700839","VA","110018852204","518210",38.98023,-77.44347,,"NON","Non-Government"
"299 ONE PRICE CLEANERS","VA0000005176000435","VA","110007345113","812320",37.6187,-77.52373,,"NON","Non-Government"
"301 CLEANERS","VA0000005109900022","VA","110038455560","812320",38.267927,-77.142522,,"NON","Non-Government"
"3600 CENTRE","VA0000005176000296","VA","110007321479","482111",37.56914,-77.47847,,"POF","Privately Owned Facility"
"395 COLLISION CENTER","VA0000005105900877","VA","110027235604","811121",38.79889,-77.17038,,"NON","Non-Government"
"460 SERVICE CENTER","VA0000005114744009","VA","110044954555","999999",37.27372,-78.30432,,"POF","Privately Owned Facility"
"500 COURT SQUARE CONDOMINIUM ASSOCIATES","VA0000005100300022","VA","110001908794","531110",38.031459,-78.478096,,"POF","Privately Owned Facility"
"5100 MONUMENT CONDOMINIUMS","VA0000005108700269","VA","110001894424","531110",37.57869,-77.50142,,"POF","Privately Owned Facility"
"530 E MAIN STREET BLDG","VA0000005176000276","VA","110001904707","453998",37.53999,-77.43929,,"POF","Privately Owned Facility"
"5TH AVENUE CLEANERS","VA0000005108700471","VA","110005291308","812320",37.583,-77.49515,,"NON","Non-Government"
"623 LANDFILL - PORTABLE 52139","VA0000005107552139","VA","110024521034","562212",37.69069,-77.66549,,"NON","Non-Government"
"7-CLEANERS INC","VA0000005110700122","VA","110001901176","812320",39.118611,-77.555,,"NON","Non-Government"
"700 MAIN ST LLC","VA0000005168000214","VA","110061064761","524210",37.41613,-79.14343,,"NON","Non-Government"
"7TH AND FRANKLIN STS BLDG CHEVY CHASE LA","VA0000005176000297","VA","110020673430","531120",37.54001,-77.43712,,"POF","Privately Owned Facility"
"A & A CONTRACTORS LLC - PORTABLE 52385","VA0000005108552385","VA","110037604152","212319 423810",37.71925,-77.4663,,"NON","Non-Government"
