"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"A CLEANER WORLD","VT0000005000509000","VT","110001915884","812320",44.41975,-72.013356,,"POF","Privately Owned Facility"
"A JOHNSON CO LLC","VT0000005000100014","VT","110006137073","321912",44.1395479,-73.0398222,,,
"ADDISON COUNTY ASPHALT PRODUCTS","VT0000005000100012","VT","110007330067","324121",44.035831,-73.175034,,,
"AGRI-MARK INC (CABOT)","VT0000005002300012","VT","110000314892","311513",44.400984,-72.313681,10,,
"AGRI-MARK INC (MIDDLEBURY)","VT0000005000100001","VT","110040608205","311513",44.03193,-73.17226,10,,
"AGRI-MARK INC (TROY)","VT0000005001900005","VT","110008205307","311513",44.90338,-72.40651,,,
"ALL METAL RECYCLING","VT0000005000500018","VT","110056135935","423930",44.5033729,-72.3415929,,"POF","Privately Owned Facility"
"ALLARD LUMBER COMPANY","VT0000005002500023","VT","110001915946","321113",42.89548,-72.5389,,,
"AMOSKEAG WOODWORKING","VT0000005001100014","VT","110009509754","321999",44.670589,-72.986311,,,
"AMPERSAND GILMAN BIOMASS LLC","VT0000005000900002","VT","110000581601","322121",44.4119,-71.72155,,"POF","Privately Owned Facility"
"ASTENJOHNSON INC","VT0000005000700066","VT","110005294118","326199",44.46016,-73.12697,,,
"BARRY CALLEBAUT USA LLC","VT0000005001100025","VT","110001916142","311352",44.79956,-73.09801,,,
"BASKETVILLE INC","VT0000005002500007","VT","110012626630","321920",42.97656,-72.52076,,,
"BELDEN WIRE & CABLE","VT0000005000700034","VT","110000314838","331422",44.49868,-73.03811,,,
"BELL-GATES LUMBER CORP","VT0000005001500009","VT","110007330030","321912",44.6204992,-72.8873476,,,
"BELLOWS FALLS UNION HIGH SCHOOL","VT0005002500032","VT","110070386294","611110",43.11853,-72.44283,,,
"BEN & JERRYS HOMEMADE INC (ST ALBANS)","VT0000005001100019","VT","110000758350","311520",44.7959,-73.0997,0,,
"BENNINGTON (TOWN OF) COMPOST FACILITY","VT0000005000300016","VT","110016709757","924110",42.914957,-73.256879,,,
"BENNINGTON COLLEGE","VT0000005000300014","VT","110007329863","611310",42.91224,-73.22564,,,
"BENNINGTON IRON WORKS","VT0000005000300021","VT","110007330165","332312",42.89798,-73.21451,,,
"BERTEK INCORPORATED (LABELS)","VT0000005001100022","VT","110005262287","323111",44.9233638,-73.1442864,,"POF","Privately Owned Facility"
"BFI WASTE SYSTEMS OF NORTH AMERICA LLC","VT0000005002500022","VT","110007330094","562212",43.22425,-72.44143,,,
"BHS COMPOSITES CORP","VT0005000500020","VT","110070132723","326199",44.49449,-72.01733,,,
"BIJUR LUBRICATING CORPORATION","VT0000005000300004","VT","110000826875","333999",42.89416,-73.199073,,,
"BLACK BEAR BIODIESEL","VT0000005002300020","VT","110069468766","454310",44.27794,-72.43073,,,
"BODYCOTE SURFACE TECHNOLOGY  (RUTLAND)","VT0000005002100043","VT","110056381008","336412",43.586903,-72.960649,,,
"BODYCOTE SURFACE TECHNOLOGY INC (CLARENDON)","VT0000005002100048","VT","110071091905","336412",43.5321102,-72.9648,,,
"BOLTON VALLEY RESORT","VT0005000700059","VT","110015926872","713920",44.408508,-72.870878,,,
"BOMBARDIER CORP","VT0000005002300002","VT","110038782788","336510",44.1573141,-72.4776419,,,
