"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"3M COMPANY DBA CERADYNE, INC","WAPSC0000000010139","WA","110000489604","325510",47.54392,-122.32607,,"POF","Privately Owned Facility"
"7-ELEVEN (STORE #25128)","WA00000053077T0001","WA","110016664876","999999",46.375052,-120.318471,,"TRB","Tribal Government"
"A&E LLC","WAPSC0000000030425","WA","110071813372","212319",48.26037,-121.5989,,"POF","Privately Owned Facility"
"AAA MONROE ROCK CORP","WAPSC0005306114111","WA","110010903665","212319",47.851389,-122.023056,,"POF","Privately Owned Facility"
"ABITIBI CONSOLIDATED SALES CORP","WAPSC0005305300012","WA","110000490353","322122",47.185374,-122.575772,,"POF","Privately Owned Facility"
"ACE GALVANIZING","100000000000000076","WA","110000489481","332812",47.516933,-122.328652,255,,
"ACE PAVING CO INC PLANT #4","WAPSC0005303512555","WA","110006685783","324121",47.46985,-122.80767,,"POF","Privately Owned Facility"
"ACE PAVING CO INC QUARRY","WAPSC0005303510845","WA","110006685550","212319",47.551708,-122.707886,,"POF","Privately Owned Facility"
"ACHILLES USA INC.","WAPSC0005306100206","WA","110000489891","326113",47.926694,-122.253842,1119,"POF","Privately Owned Facility"
"AERO-LAC INC","WAPSC0005303300436","WA","110001916927","321918",47.51832,-122.327944,,"POF","Privately Owned Facility"
"AEROJET ROCKETDYNE, INC.","WAPSC0005303326176","WA","110015554461","336415",47.703957,-122.156575,,"POF","Privately Owned Facility"
"AEROTECH ARLINGTON","100000000000000115","WA","110071399424","332999",48.17659,-122.14774,,,
"AEROTECH MARYSVILLE","100000000000000114","WA","110071399662","332812",48.04771,-122.16718,,,
"AFFORDABLE CUSTOM CABINETS","WASPC0005306310027","WA","110033594386","337110",47.706804,-117.117998,,"POF","Privately Owned Facility"
"AGC BIOLOGICS INC.","WAPSC0005303324066","WA","110000897968","325412",47.802174,-122.201165,,"POF","Privately Owned Facility"
"AGGREGATES WEST","WAPSC0000000029595","WA","110063722146","212319",48.11291,-121.87624,,"COR","Corporation"
"AGGREGATES WEST","WAPSC0000000029594","WA","110063720647","212319",47.83381,-121.99521,,"COR","Corporation"
"AGRO MINERALS","WA0000005304700004","WA","110007330520","212393",48.818611,-119.451944,,"POF","Privately Owned Facility"
"AIR LIQUIDE AMERICA LP","WANCA0005305701878","WA","110043973055","325120",48.467675,-122.553982,0,"POF","Privately Owned Facility"
"AL THALHEIMER","WA00000053077T0041","WA","110015652612","999999",46.38341,-120.3756,,"TRB","Tribal Government"
"ALCOA WENATCHEE LLC","WA0000005300700001","WA","110000491156","331312",47.3567,-120.1273,,"POF","Privately Owned Facility"
"ALL WEST COAST AUTO WRECKING","1000000053077C0020","WA","110015567386","999999",47.286945,-122.961113,,"POF","Privately Owned Facility"
"ALLBEST APPLIANCES (AT BEST)","0500000053035R5003","WA","110071319147","423930",47.55888,-122.66781,,,
"ALON ASPHALT USA","WAPSC0005306110104","WA","110000500798","324121",47.781544,-122.394959,,"POF","Privately Owned Facility"
"ALSCO","WAPSC0000000029576","WA","110067012244","812331",47.419346,-122.248945,,"COR","Corporation"
"ALTA FOREST PRODUCTS","WAORC0005304500803","WA","110071642637","321113",47.12297,-123.12826,,"POF","Privately Owned Facility"
"AMERICAN NORTHWEST RECYCLING","0500000053035R5002","WA","110070912878","423930",47.497139,-122.738838,,,
"AMERICAN REINFORCED PLASTICS INC","WAPSC0005305314242","WA","110000490585","326191",47.260046,-122.337897,,"POF","Privately Owned Facility"
"AMERON INTERNATIONAL, POLE PRODUCTS DIV","WAPSC0005306100088","WA","110001138894","327390",48.003185,-122.218208,,"POF","Privately Owned Facility"
"ANACORTES WWTP SEWAGE SLUDGE INCINERATOR","WANCA1613","WA","110015461392","221320",48.518854,-122.607241,,"CTG","Municipality"
"ANDEAVOR LOGISTICS OPERATIONS","WA0000005302100013","WA","110007330441","424710",46.215543,-119.028835,3776,"POF","Privately Owned Facility"
"ANDERSON LIMITED PURPOSE LANDFILL","100000000000000120","WA","110063623716","562212",46.629227,-120.694992,,"POF","Privately Owned Facility"
"APPLIED FINISHING INC","WAPSC0005306100150","WA","110005311787","332812",47.896335,-122.289803,,"POF","Privately Owned Facility"
"AQUATIC CO","WAORC0005306700010","WA","110000490754","326191",46.948746,-122.598109,14940,"POF","Privately Owned Facility"
"ARAMARK UNIFORM SERVICES","WAPSC0005306110429","WA","110042260647","812332",47.93153,-122.24922,,"POF","Privately Owned Facility"
"ARCHAEA ENERGY INC DBA. EMERALD CITY RENEWABLES LLC","WAPSC0000000029525","WA","110001920636","221117 562212",46.972405,-122.292799,,"COR","Corporation"
"ARCHER DANIELS MIDLAND","WA00000053077T0002","WA","110043463089","999999",46.39341,-120.315346,,"TRB","Tribal Government"
"ARCLIN SURFACES, LLC","WAPSC0005305300048","WA","110000490521","322220",47.247943,-122.403016,24250,"POF","Privately Owned Facility"
"ARCOSA AGGREGATES, INC.","WAPSC0000000030396","WA","110071219842","212312",47.5318,-122.69434,,"POF","Privately Owned Facility"
"ARDAGH GLASS INC.","WAPSC0005303300004","WA","110000489659","327213",47.551767,-122.337152,57,"POF","Privately Owned Facility"
"ART BRASS AEROSPACE FINISHING","WAPSC0005303300386","WA","110000489579","336413",47.552916,-122.330352,,"POF","Privately Owned Facility"
"ARTISAN FINISHING SYSTEMS","WAPSC0005306100177","WA","110000490193","332812",48.124881,-122.182219,,"POF","Privately Owned Facility"
"ARTS CUSTOM CHROME LLC","WAPSC0005303518499","WA","110001920119","332813",47.500759,-122.760517,,"POF","Privately Owned Facility"
"ASCENDANT LLC","WAPSC0000000030386","WA","110071219832","212312",47.191102,-122.27801,,"POF","Privately Owned Facility"
"ASCENSUS SPECIALTY CHEMICALS LLC","WAORC0005302700059","WA","110000490718","325180",46.994985,-123.38192,2167,"POF","Privately Owned Facility"
"ASH GROVE CEMENT CO, ENUMCLAW PIT","WAPSC0005303317777","WA","110038805022","212321",47.203476,-122.20155,,"POF","Privately Owned Facility"
"ASH GROVE CEMENT COMPANY ","WAPSC0005303300099","WA","110000897085","327310",47.56799,-122.34255,35,"POF","Privately Owned Facility"
"ASKO PROCESSING INC","WAPSC0005303300160","WA","110000489374","332813",47.651323,-122.352843,11205,"POF","Privately Owned Facility"
"ATLAS PELLETS","WA00000053047T0020","WA","110054196026","999999",48.42634,-119.4628,,"TRB","Tribal Government"
"AUTO BODY EXPRESS","WA00000053035T0008","WA","110015708572","999999",47.70768,-122.60032,,"TRB","Tribal Government"
"AVIATION TECHNICAL SERVICES INC","WAPSC0005306100222","WA","110070253934","336411",47.900373,-122.276899,,"POF","Privately Owned Facility"
"AVISTA (KFGS)","WA0000005306560033","WA","110008226712","221121",48.6227,-118.111,,"POF","Privately Owned Facility"
"AVISTA - NECT","WASPC0005306300086","WA","110038055635","999999",47.735413,-117.371141,,"POF","Privately Owned Facility"
"B&G FARMS","WA0000005302500017","WA","110006139080","111998",46.9294,-119.75143,,"POF","Privately Owned Facility"
"BAILEY COMPOST","WAPSC0000000018185","WA","110070386097","325314",47.88083,-122.09895,,"POF","Privately Owned Facility"
"BAINBRIDGE ISLAND SCHOOL DIST","WAPSC0005303518550","WA","110020498567","611110",47.63593,-122.52392,,"DIS","District"
"BAKER COMMODITIES INC","WAPSC0000000012196","WA","110015415184","311613",47.482227,-122.258579,,"POF","Privately Owned Facility"
"BALL METAL BEVERAGE CONTAINER CORP","WAPSC0005303300199","WA","110000489249","332431",47.360451,-122.240822,,"POF","Privately Owned Facility"
"BARMON DOOR","WAPSC0005306100105","WA","110001917169","321911",48.02026,-122.0545,,"POF","Privately Owned Facility"
"BASIC AMERICAN FOODS","WA0000005302500013","WA","110000491165","311411",47.075778,-119.222474,,"POF","Privately Owned Facility"
