"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"4R COMPANY, LLC, WHITEHALL","WV00004900119","WV","110020046467","332813",39.4181,-80.20988,,"POF","Privately Owned Facility"
"AAA PAVING AND SEALING, INC., PRINCETON","WV00005500139","WV","110070222845","324121",37.36925,-81.041085,,"POF","Privately Owned Facility"
"ABBS VALLEY PIPELINE, LLC, BUTLER STATION         ","WV00005500112","WV","110063226021","211111",37.4774191,-80.9774464,,"POF","Privately Owned Facility"
"AC&S, INC.,  NITRO                                ","WV00007900014","WV","110070205407","325199",38.431867,-81.846535,,"POF","Privately Owned Facility"
"ACF INDUSTRIES LLC, HUNTINGTON","WV00001100031","WV","110000344538","336510 482111",38.42658,-82.41754,,"POF","Privately Owned Facility"
"ACME WOOD PRESERVING, INC.,  PRINCETON            ","WV00005500034","WV","110000344137","321114",37.36191,-81.08421,755,"POF","Privately Owned Facility"
"ADDIVANT USA, LLC, MORGANTOWN                     ","WV00006100061","WV","110000572782","325199",39.59983,-79.97148,7220,"POF","Privately Owned Facility"
"ADELL POLYMERS, PETERSBURG FACILITY","WV00002300020","WV","110001932231","325991 326121",38.987021,-79.127795,33,"POF","Privately Owned Facility"
"AEP GENERATION RESOURCES INC., KAMMER PLANT/CRESAP","WV00005100006","WV","110071724236","221112",39.846061,-80.818386,,"POF","Privately Owned Facility"
"AGC FLAT GLASS NORTH AMERICA, INC., BRIDGEPORT    ","WV00009100002","WV","110063225424","327213",39.2811409,-80.1726833,,"POF","Privately Owned Facility"
"AHF, LLC, BEVERLY MILL","WV00008300025","WV","110000775019","321113 321918",38.812541,-79.882267,20,"POF","Privately Owned Facility"
"AIR PRODUCTS & CHEMICALS INC","WV00010744001","WV","110001933178","325120",39.26083,-81.54114,,"POF","Privately Owned Facility"
"ALCON RESEARCH, LTD., HUNTINGTON                  ","WV00001100037","WV","110000344486","339113",38.46022,-82.3081,,"POF","Privately Owned Facility"
"ALCON RESEARCH, LTD., LESAGE                      ","WV00001100201","WV","110071723098","339113",38.571451,-82.285526,,"POF","Privately Owned Facility"
"ALDERSON, TOWN OF, LIFT STATION #1","WV00006300020","WV","110070359774","221320",37.7426628,-80.6684193,,"CTG","Municipality"
"ALERIS RECYCLING BENS RUN, LLC, BENS RUN          ","WV00009500006","WV","110063233460","331314",39.468553,-81.103069,,"POF","Privately Owned Facility"
"ALL CONSTRUCTION, INC.                  ","WV00005700052","WV","110063894978","212312",38.6472854,-80.6183274,,"POF","Privately Owned Facility"
"ALL CONSTRUCTION, INC., LAUREL MOUNTAIN           ","WV00000100121","WV","110063892480","212312",39.0295864,-79.9703775,,"POF","Privately Owned Facility"
"ALL CONSTRUCTION, INC., NEW CREEK","WV00002300049","WV","110063890204","212312",39.2146485,-79.2602845,,"POF","Privately Owned Facility"
"ALL CONSTRUCTION, INC., RITA                      ","WV00004500141","WV","110063897378","212312",37.8305905,-81.940853,,"POF","Privately Owned Facility"
"ALLEGHANY INVESTMENTS, LLC, MT. STORM             ","WV00002300043","WV","110039624378","212312",39.2146485,-79.2602845,,"POF","Privately Owned Facility"
"ALLEGHENY ENERGY SUPPLY COMPANY, LLC,  WILLOW ISLA","WV00007300004","WV","110038775536","221112",39.36694,-81.29998,76022,"POF","Privately Owned Facility"
"ALLEGHENY WOOD PRODUCTS INTERNATIONAL, INC., COWEN","WV00010100012","WV","110046123645","321113 321211",38.405,-80.530611,,"POF","Privately Owned Facility"
"ALLEGHENY WOOD PRODUCTS INTERNATIONAL, INC., HAZELTON","WV00007700060","WV","110013863319","321113",39.659481,-79.549766,,"POF","Privately Owned Facility"
"ALLEGHENY WOOD PRODUCTS INTERNATIONAL, INC., PRINCETON","WV00005500044","WV","110063229073","321113",37.4034477,-81.106456,,"POF","Privately Owned Facility"
"ALLEGHENY WOOD PRODUCTS, INC., BECKLEY            ","WV00008100183","WV","110063224853","321113",37.821809,-81.186712,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, BADGER COAL 7M","WV00000100131","WV","110063875917","211111",39.185815,-80.016568,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, BERWIND MAIN STATION","WV00010900224","WV","110063722556","211111",39.123666,-80.447515,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, COOK MOUNTAIN STATION","WV00000500073","WV","110063895432","211111",39.2882979,-80.9391947,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, FLAT TOP MAIN STATION","WV00005500092","WV","110063720594","211111 486210",37.580612,-81.126683,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, GREEN HOUSE SITE","WV00009100020","WV","110063230775","211111",39.269335,-80.109573,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, LANDGRAFF STATION","WV00004700073","WV","110063229019","211111",37.468445,-81.5532824,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, RHODELL STATION","WV00010900144","WV","110063721254","211111 221210",37.554955,-81.321313,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, ROHRBAUGH STATION","WV00004100051","WV","110070107071","211111",39.056927,-80.570337,,"POF","Privately Owned Facility"
"ALLIANCE PETROLEUM CORPORATION, SUGS COMPRESSOR SITE","WV00009700067","WV","110063228332","211111",38.7661658,-80.3083258,,"POF","Privately Owned Facility"
"ALLIANT TECHSYSTEMS OPERATIONS LLC, ALLEGANY BALLISTICS","WV00005700011","WV","110000345010","325920 336414 336415 928110",39.56097,-78.84361,37660,"FDF","Federal Facility (U.S. Government)"
"ALLIED WASTE SYCAMORE LANDFILL, LLC, HURRICANE    ","WV00007900105","WV","110034188643","562211 562212",38.41856,-82.04058,,"POF","Privately Owned Facility"
"ALLMINE PAVING, LLC, INWOOD","WV00000300137","WV","110056954407","324121",39.4023,-78.007821,,"POF","Privately Owned Facility"
"ALLNEX USA INC., WILLOW ISLAND                    ","WV00007300030","WV","110060257742","325110 325199 325998",39.358597,-81.30817,93659,"POF","Privately Owned Facility"
"ALTA MESA SERVICES, LP, FAIRMONT TOOLS            ","WV00009100040","WV","110063897136","211111",39.4218399,-80.1859677,,"POF","Privately Owned Facility"
"ALTIVIA SERVICES, LLC, INSTITUTE PLANT","WV00003900692","WV","110070676994","325110 325199 325320",38.38565,-81.775429,18960,"POF","Privately Owned Facility"
"ALUMINUM RECYCLING SERVICES, INC.,  MILLWOOD      ","WV00003500006","WV","110037519487","331314",38.9039,-81.839433,,"POF","Privately Owned Facility"
"AMERICAN ASPHALT OF WEST VIRGINIA, LLC, KENOVA","WV00009900090","WV","110046467907","324121",38.352252,-82.592355,,"POF","Privately Owned Facility"
"AMERICAN ASPHALT OF WEST VIRGINIA, LLC, ST. ALBANS","WV00003900608","WV","110063233736","324121",38.40968,-81.859,,"POF","Privately Owned Facility"
"AMERICAN BITUMINOUS POWER PARTNERS, L. P.,  GRANT ","WV00004900026","WV","110007881998","221112 221122",39.553631,-80.168374,98682,"POF","Privately Owned Facility"
"AMERICAN DISPOSAL SERVICES OF WV DBA SHORT CREEK LANDFILL, SHORT CREEK LANDFILL","WV00006900071","WV","110045490937","212312 562212",40.18465,-80.67274,,"POF","Privately Owned Facility"
"AMERICAN DRY CLEANERS,  MORGANTOWN                ","WV00006100107","WV","110001931802","812320",39.655477,-79.964131,,"POF","Privately Owned Facility"
"AMERICAN ENVIRONMENTAL SERVICES,  MORGANTOWN      ","WV00006100132","WV","110061079078","924110",39.607928,-79.975156,,"POF","Privately Owned Facility"
"AMERICAN MOUNTAINEER ENERGY, INC., JAKE RUN PLANT ","WV00003300189","WV","110070106721","212112",39.4024703,-80.3932408,,"POF","Privately Owned Facility"
"AMERICAN PUBLIC UNIVERSITY SYSTEM, INC., CHARLES TOWN","WV00003700105","WV","110070361594","611310",39.290483,-77.863434,,"POF","Privately Owned Facility"
"AMERICAN WOODMARK CORPORATION,  MOOREFIELD PLANT  ","WV00003100001","WV","110001929842","337110",39.0609,-78.9648,,"POF","Privately Owned Facility"
"AMERICAN WOODMARK CORPORATION, HARDY COUNTY PLANT","WV00003100003","WV","110000345056","337110",39.04111,-78.98722,,"POF","Privately Owned Facility"
"AMERICAN WOODMARK CORPORATION, SOUTH BRANCH","WV00003100030","WV","110038016232","337110",39.0745,-78.9431,,"POF","Privately Owned Facility"
"AMES TRUE TEMPER,  PARKERSBURG-PLANT #2           ","WV00010700016","WV","110042081813","332212",39.25086,-81.53725,,"POF","Privately Owned Facility"
"AMHERST INDUSTRIES, INC.,  CHARLESTON             ","WV00003900116","WV","110063228993","212111",38.310127,-81.558244,,"POF","Privately Owned Facility"
"AMSTED GRAPHITE MATERIALS LLC, ANMOORE","WV00003300001","WV","110056958608","335991",39.256111,-80.293053,4153,"POF","Privately Owned Facility"
"ANTAEUS GARY PROJECT, INC.,  GARY                 ","WV00004700056","WV","110063897387","212112",37.3811617,-81.5511742,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, BANNER COMPRESSOR STATION","WV00001700079","WV","110063895352","221210",39.207084,-80.657431,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, BLUESTONE COMPRESSOR STATION","WV00003300172","WV","110063885461","486210",39.299015,-80.594498,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, CANTON NORTH STATION","WV00001700084","WV","110063721968","221210",39.4222067,-80.613976,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, CASTLE PEAK STN","WV00009500119","WV","110071655121","486210",39.549623,-80.807495,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, CLARKSBURG","WV00003300181","WV","110063969790","211111",39.288969,-80.419987,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, EAST MOUNTAIN","WV00009500080","WV","110070255746","211111 486210",39.2882979,-80.9391947,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, GRAYS PEAK CS","WV00010300166","WV","110071883655","486210",39.582322,-80.700436,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, JARVISVILLE COMPRESSOR STATION","WV00003300191","WV","110054881641","221210 486210",39.235176,-80.478365,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, LAFFERTY STATION            ","WV00008500055","WV","110070083515","221210",39.224649,-80.906699,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, LINCOLN COMPRESSOR STN","WV00010300134","WV","110070526548","221210 486210",39.517122,-80.739508,,"POF","Privately Owned Facility"
"ANTERO MIDSTREAM LLC, MIDDLEBOURNE III","WV00009500074","WV","110070205289","221210 486210",39.416595,-80.96338,,"POF","Privately Owned Facility"
