"AIRName","SourceID","AIRState","RegistryID","AIRNAICS","FacLat","FacLong","FacTRIAIRReleases","AIRFacilityTypeCode","AIRFacilityTypeDesc"
"44 LUMBER AND TIMBER","WY0000005600700018","WY","110021141236","321113",41.212199,-106.787157,,"POF","Privately Owned Facility"
"50 BUTTES PLANT (THUNDER CREEK GAS SERVICES, LLC)","WY0000005600500350","WY","110071499219","211111",43.92249,-105.6088516,,,
"AA GARAGE","080000005602100040","WY","110001933935","811111",41.13843,-104.790035,,"POF","Privately Owned Facility"
"AAA RECYCLING & SALVAGE","0800000056001X0002","WY","110040420318","423140",41.32514,-105.596299,,"POF","Privately Owned Facility"
"ACE SALVAGE ENTERPRISES, INC","0800000056001X0001","WY","110040417420","423140",41.28972,-105.59758,,"POF","Privately Owned Facility"
"ACTION AUTOMOTIVE","0800000056021X0006","WY","110046386291","811111",41.10234,-104.80053,,"POF","Privately Owned Facility"
"ADMIRAL BEVERAGE CORP","0800000056045X0001","WY","110063233763","312111",43.8462133,-104.5700202,,"POF","Privately Owned Facility"
"AINSWORTH FLARE (NATURAL GAS PROCESSING CO.)","WY0000005600300017","WY","110010412883","211111",44.5251167,-107.9948477,,"POF","Privately Owned Facility"
"AIRPORT (NATRONA COUNTY INTERNATIONAL AIRPORT)","WY0000005602500057","WY","110013034910","488119",42.89691,-106.46434,,"POF","Privately Owned Facility"
"AKA ENERGY GROUP:WATERFALL COMP STATION","WY0000005602300053","WY","110063990631","211111",41.9764852,-110.5474098,,"POF","Privately Owned Facility"
"ALTHOFF (CT-806)","WY0000005677700806","WY","110010412188","212321",44.4037889,-109.6067171,,"POF","Privately Owned Facility"
"AMAZON/CONGO COMPRESSOR STATION (POWDER RIVER MIDSTREAM LLC)","WY0000005601900006","WY","110041354441","486210",44.29468,-105.48111,,"POF","Privately Owned Facility"
"AMER COLLD_UPTON PLANT","WY0000005604500002","WY","110035932042","212325",44.11,-104.65,,"POF","Privately Owned Facility"
"AMERICAN  COLLOID_WEST COLONY","WY0000005601100003","WY","110010411633","212325",44.86668,-104.148109,,"POF","Privately Owned Facility"
"AMOCO PIPELINE CO. - CASPER STATION","WY0000005602500026","WY","110000913361","211111",42.851389,-106.354722,,"POF","Privately Owned Facility"
